Store,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
2004,Half Pallet,39
2010,Half Pallet,39
2022,Half Pallet,39
2030,Half Pallet,39
2032,Half Pallet,39
2055,Half Pallet,39
2077,Half Pallet,39
2078,Half Pallet,39
2086,Half Pallet,39
2088,Half Pallet,39
2091,Half Pallet,39
2104,Half Pallet,39
2107,Half Pallet,39
2111,Half Pallet,39
2116,Half Pallet,39
2127,Half Pallet,39
2130,Half Pallet,39
2133,Half Pallet,39
2140,Half Pallet,39
2146,Half Pallet,39
2150,Half Pallet,39
2153,Half Pallet,39
2158,Half Pallet,39
2177,Half Pallet,39
2191,Half Pallet,39
2200,Half Pallet,39
2202,Half Pallet,39
2204,Half Pallet,39
2210,Half Pallet,39
2221,Half Pallet,39
2227,Half Pallet,39
2228,Half Pallet,39
2233,Half Pallet,39
2236,Half Pallet,39
2243,Half Pallet,39
2249,Half Pallet,39
2252,Half Pallet,39
2266,Half Pallet,39
2270,Half Pallet,39
2273,Half Pallet,39
2281,Half Pallet,39
2330,Half Pallet,39
2331,Half Pallet,39
2334,Half Pallet,39
2338,Half Pallet,39
2351,Half Pallet,39
2366,Half Pallet,39
2385,Half Pallet,39
2386,Half Pallet,39
2387,Half Pallet,39
2403,Half Pallet,39
2405,Half Pallet,39
2417,Half Pallet,39
2434,Half Pallet,39
2436,Half Pallet,39
2443,Half Pallet,39
2445,Half Pallet,39
2448,Half Pallet,39
2463,Half Pallet,39
2482,Half Pallet,39
2483,Half Pallet,39
2491,Half Pallet,39
2492,Half Pallet,39
2507,Half Pallet,39
2512,Half Pallet,39
2522,Half Pallet,39
2527,Half Pallet,39
2531,Half Pallet,39
2537,Half Pallet,39
2538,Half Pallet,39
2539,Half Pallet,39
2544,Half Pallet,39
2546,Half Pallet,39
2553,Half Pallet,39
2594,Half Pallet,39
2596,Half Pallet,39
2619,Half Pallet,39
2621,Half Pallet,39
2640,Half Pallet,39
2641,Half Pallet,39
2671,Half Pallet,39
2678,Half Pallet,39
2681,Half Pallet,39
2687,Half Pallet,39
2688,Half Pallet,39
2692,Half Pallet,39
2693,Half Pallet,39
2708,Half Pallet,39
2724,Half Pallet,39
2756,Half Pallet,39
2757,Half Pallet,39
2764,Half Pallet,39
2766,Half Pallet,39
2767,Half Pallet,39
2774,Half Pallet,39
2777,Half Pallet,39
2780,Half Pallet,39
2781,Half Pallet,39
2788,Half Pallet,39
2808,Half Pallet,39
2811,Half Pallet,39
2812,Half Pallet,39
2814,Half Pallet,39
2819,Half Pallet,39
2825,Half Pallet,39
2834,Half Pallet,39
2871,Half Pallet,39
2882,Half Pallet,39
2886,Half Pallet,39
2890,Half Pallet,39
2902,Half Pallet,39
2903,Half Pallet,39
2917,Half Pallet,39
2924,Half Pallet,39
2927,Half Pallet,39
2929,Half Pallet,39
2945,Half Pallet,39
2946,Half Pallet,39
2952,Half Pallet,39
2957,Half Pallet,39
2958,Half Pallet,39
2973,Half Pallet,39
2986,Half Pallet,39
2990,Half Pallet,39
3035,Half Pallet,39
3159,Half Pallet,39
3209,Half Pallet,39
3219,Half Pallet,39
3227,Half Pallet,39
3233,Half Pallet,39
3239,Half Pallet,39
3255,Half Pallet,39
3259,Half Pallet,39
3273,Half Pallet,39
3274,Half Pallet,39
3277,Half Pallet,39
3293,Half Pallet,39
3322,Half Pallet,39
3332,Half Pallet,39
3352,Half Pallet,39
3360,Half Pallet,39
3366,Half Pallet,39
3380,Half Pallet,39
3387,Half Pallet,39
3407,Half Pallet,39
3417,Half Pallet,39
3418,Half Pallet,39
3422,Half Pallet,39
3435,Half Pallet,39
3439,Half Pallet,39
3443,Half Pallet,39
3460,Half Pallet,39
3463,Half Pallet,39
3464,Half Pallet,39
3469,Half Pallet,39
3477,Half Pallet,39
3486,Half Pallet,39
3488,Half Pallet,39
3498,Half Pallet,39
3500,Half Pallet,39
3520,Half Pallet,39
3522,Half Pallet,39
3523,Half Pallet,39
3534,Half Pallet,39
3535,Half Pallet,39
3547,Half Pallet,39
3564,Half Pallet,39
3583,Half Pallet,39
3584,Half Pallet,39
3585,Half Pallet,39
3587,Half Pallet,39
3624,Half Pallet,39
3630,Half Pallet,39
3765,Half Pallet,39
3777,Half Pallet,39
3780,Half Pallet,39
3784,Half Pallet,39
3786,Half Pallet,39
3794,Half Pallet,39
3795,Half Pallet,39
3823,Half Pallet,39
3830,Half Pallet,39
3833,Half Pallet,39
3835,Half Pallet,39
3840,Half Pallet,39
3867,Half Pallet,39
4065,Half Pallet,39
4108,Half Pallet,39
4118,Half Pallet,39
4156,Half Pallet,39
4176,Half Pallet,39
4216,Half Pallet,39
4219,Half Pallet,39
4240,Half Pallet,39
4243,Half Pallet,39
4274,Half Pallet,39
4332,Half Pallet,39
4352,Half Pallet,39
4389,Half Pallet,39
4412,Half Pallet,39
4417,Half Pallet,39
4438,Half Pallet,39
4458,Half Pallet,39
4475,Half Pallet,39
4512,Half Pallet,39
4529,Half Pallet,39
4590,Half Pallet,39
4599,Half Pallet,39
4612,Half Pallet,39
4637,Half Pallet,39
4644,Half Pallet,39
4660,Half Pallet,39
4695,Half Pallet,39
4849,Half Pallet,39
4865,Half Pallet,39
5032,Half Pallet,39
5045,Half Pallet,39
5048,Half Pallet,39
5055,Half Pallet,39
5056,Half Pallet,39
5070,Half Pallet,39
5073,Half Pallet,39
5077,Half Pallet,39
5078,Half Pallet,39
5082,Half Pallet,39
5085,Half Pallet,39
5111,Half Pallet,39
5133,Half Pallet,39
5134,Half Pallet,39
5136,Half Pallet,39
5141,Half Pallet,39
5154,Half Pallet,39
5156,Half Pallet,39
5157,Half Pallet,39
5160,Half Pallet,39
5178,Half Pallet,39
5184,Half Pallet,39
5185,Half Pallet,39
5186,Half Pallet,39
5190,Half Pallet,39
5191,Half Pallet,39
5200,Half Pallet,39
5214,Half Pallet,39
5227,Half Pallet,39
5233,Half Pallet,39
5234,Half Pallet,39
5235,Half Pallet,39
5242,Half Pallet,39
5245,Half Pallet,39
5252,Half Pallet,39
5253,Half Pallet,39
5270,Half Pallet,39
5272,Half Pallet,39
