Store #,City,State,BU,Region,Market,Upstream Node,Max Packages, Launch Week, Launch Date:,Van Launch,# of Vans
389,EDMOND,OK,SOUTHWEST,44,352,DFW5,250,Wk.20,6/18/25,,
472,BROKEN ARROW,OK,SOUTHWEST,44,356,DFW5,200,Wk.20,6/18/25,,
517,MUSTANG,OK,SOUTHWEST,44,353,DFW5,200,Wk.20,6/18/25,,
838,SAND SPRINGS,OK,SOUTHWEST,44,345,DFW5,180,Wk.20,6/18/25,,
992,TULSA,OK,SOUTHWEST,44,356,DFW5,350,Wk.20,6/18/25,,
1056,NEWCASTLE,OK,SOUTHWEST,44,353,DFW5,320,Wk.20,6/18/25,,
1071,WOOD RIVER,IL,NORTH,40,341,IND3,200,Wk.20,6/18/25,,
1515,GERMANTOWN,WI,NORTH,53,442,IL9,240,Wk.20,6/18/25,,
1619,ROCHESTER,NY,EAST,76,192,PHL5,300,Wk.20,6/18/25,,
1631,HAMPTON,VA,EAST,75,288,PHL5,200,Wk.20,6/18/25,,
1742,TURNERSVILLE,NJ,EAST,22,165,NJ9,250,Wk.20,6/18/25,,
1811,NORFOLK,VA,EAST,75,289,PHL5,550,Wk.20,6/18/25,,
1909,NIAGARA FALLS,NY,EAST,76,195,PHL5,250,Wk.20,6/18/25,,
1993,BROCKPORT,NY,EAST,76,195,PHL5,150,Wk.20,6/18/25,,
2040,BURLINGTON,NJ,EAST,22,558,NJ9,590,Wk.20,6/18/25,,
2068,LEVITTOWN,PA,EAST,22,170,NJ9,290,Wk.20,6/18/25,,
2103,WALPOLE,MA,EAST,16,159,PHL5,340,Wk.20,6/18/25,,
2142,SALEM,NH,EAST,16,184,PHL5,300,Wk.20,6/18/25,,
2157,NORTH DARTMOUTH,MA,EAST,16,160,PHL5,300,Wk.20,6/18/25,,
2195,HOWELL,NJ,EAST,22,178,NJ9,630,Wk.20,6/18/25,,
2213,SAINT LOUIS,MO,NORTH,40,340,IND3,340,Wk.20,6/18/25,,
2261,NORTH KINGSTOWN,RI,EAST,17,161,PHL5,510,Wk.20,6/18/25,,
2355,WILLIAMSVILLE,NY,EAST,76,195,PHL5,300,Wk.20,6/18/25,,
2515,PHOENIX,AZ,SOUTHWEST,46,370,PHX1,314,Wk.20,6/18/25,,
2616,O FALLON,MO,NORTH,40,339,IND3,350,Wk.20,6/18/25,,
2830,EDDYSTONE,PA,EAST,22,166,NJ9,236,Wk.20,6/18/25,6/25/25,3
2904,AVON,MA,EAST,16,159,PHL5,550,Wk.20,6/18/25,,
3842,MACEDON,NY,EAST,76,192,PHL5,300,Wk.20,6/18/25,,
3861,GILBERT,AZ,SOUTHWEST,46,373,PHX1,316,Wk.20,6/18/25,,
4623,NEWPORT NEWS,VA,EAST,75,288,PHL5,250,Wk.20,6/18/25,,
5027,LANCASTER,NY,EAST,76,194,PHL5,350,Wk.20,6/18/25,,
5414,LANOKA HARBOR,NJ,EAST,22,178,NJ9,236,Wk.20,6/18/25,,
5669,WEST MILWAUKEE,WI,NORTH,53,442,IL9,410,Wk.20,6/18/25,,
