Store,Market,Store Type,Approved Alcohol Offering
2126,470,SUP,Pickup & Delivery
2314,470,SUP,Pickup & Delivery
3478,470,SUP,Pickup & Delivery
3883,470,SUP,Pickup & Delivery
5274,470,SUP,Pickup & Delivery
2308,470,SUP,Pickup only
