Store Nbr,Store Name,Curr Str On Hand Qty,Curr Str On Hand Retail,Curr Str On Hand Cost
1,"ROGERS, AR",65 ,"$1,166 ",$763 
2,HARRISON AR,67 ,"$1,202 ",$776 
4,SILOAM SPRINGS AR,64 ,"$1,148 ",$754 
5,CONWAY AR,62 ,"$1,112 ",$722 
8,MORRILTON AR,56 ,"$1,005 ",$647 
13,CARTHAGE MO,66 ,"$1,184 ",$764 
14,LEBANON MO,50 ,$897 ,$585 
16,VAN BUREN AR,57 ,"$1,023 ",$658 
17,NEOSHO MO,59 ,"$1,058 ",$680 
18,NEWPORT AR,63 ,"$1,130 ",$741 
24,JACKSONVILLE AR,68 ,"$1,220 ",$790 
26,LEAVENWORTH KS,60 ,"$1,076 ",$705 
29,JEFFERSON CITY MO,51 ,$915 ,$593 
31,POTEAU OK,70 ,"$1,256 ",$812 
32,BRANSON MO,55 ,$987 ,$640 
44,ELDON MO,4 ,$72 ,$51 
47,SALLISAW OK,55 ,$987 ,$638 
48,MONETT MO,77 ,"$1,381 ",$900 
51,FULTON MO,60 ,"$1,076 ",$695 
52,HOT SPRINGS AR,59 ,"$1,058 ",$692 
54,SPRINGDALE AR,67 ,"$1,202 ",$791 
55,BOONEVILLE AR,76 ,"$1,363 ",$883 
56,AVA MO,65 ,"$1,102 ",$760 
58,RUSSELLVILLE AR,64 ,"$1,148 ",$751 
60,TROY MO,66 ,"$1,184 ",$765 
65,SULLIVAN MO,64 ,"$1,148 ",$745 
66,CLARKSVILLE AR,68 ,"$1,220 ",$794 
67,MENA AR,57 ,"$1,023 ",$664 
70,WEST MEMPHIS AR,65 ,"$1,166 ",$746 
71,POCAHONTAS AR,76 ,"$1,363 ",$887 
73,SAPULPA OK,65 ,"$1,166 ",$750 
76,BERRYVILLE AR,71 ,"$1,274 ",$826 
77,TAYLOR TX,80 ,"$1,435 ",$922 
78,MARSHFIELD MO,81 ,"$1,453 ",$946 
81,STILWELL OK,67 ,"$1,202 ",$783 
82,PERRYVILLE MO,74 ,"$1,328 ",$863 
86,SPRINGFIELD MO,68 ,"$1,220 ",$795 
88,MOUNTAIN GROVE MO,72 ,"$1,292 ",$839 
89,CAMDENTON MO,66 ,"$1,184 ",$772 
90,GROVE OK,49 ,$879 ,$565 
92,AURORA MO,74 ,"$1,328 ",$858 
95,DESLOGE MO,76 ,"$1,363 ",$885 
96,HARRISONVILLE MO,75 ,"$1,346 ",$872 
99,UNION MO,76 ,"$1,363 ",$894 
100,"BENTONVILLE, AR",66 ,"$1,184 ",$771 
101,ROLLA MO,68 ,"$1,220 ",$805 
110,WINTER GARDEN FL,61 ,"$1,094 ",$717 
117,BROKEN BOW OK,64 ,"$1,148 ",$743 
126,LITTLE ROCK AR,65 ,"$1,166 ",$762 
127,MALVERN AR,62 ,"$1,112 ",$717 
134,ELK CITY OK,70 ,"$1,256 ",$819 
136,BLACKWELL OK  EF,1 ,$18 ,$13 
137,STILLWATER OK,57 ,"$1,023 ",$668 
138,"SPRINGFIELD (NE), MO",70 ,"$1,256 ",$817 
141,"FORT SMITH, AR",51 ,$915 ,$594 
144,FAYETTEVILLE AR (WEST),69 ,"$1,238 ",$813 
145,BOWLING GREEN MO,83 ,"$1,489 ",$963 
147,DENISON TX,80 ,"$1,435 ",$933 
148,PARIS TX,82 ,"$1,471 ",$960 
151,MCALESTER OK,73 ,"$1,310 ",$847 
152,DESOTO MO,52 ,$933 ,$599 
157,SEARCY AR,7 ,$66 ,$86 
159,COLUMBIA MO,73 ,"$1,310 ",$854 
166,HOUSTON MO,62 ,"$1,112 ",$725 
168,OWASSO OK,72 ,"$1,292 ",$833 
169,LONOKE AR,78 ,"$1,399 ",$910 
171,"CAMDEN, AR",71 ,"$1,274 ",$824 
172,WASHINGTON MO,54 ,$969 ,$639 
173,POTOSI MO,69 ,"$1,238 ",$796 
179,"SPRINGFIELD, MO",73 ,"$1,310 ",$840 
186,EL DORADO KS,74 ,"$1,328 ",$862 
194,BAYTOWN TX,67 ,"$1,202 ",$778 
201,BELLEVILLE IL,58 ,"$1,041 ",$676 
202,FRISCO CUSTER & 121 TX,74 ,"$1,328 ",$865 
206,MCKINNEY TX,69 ,"$1,238 ",$802 
209,OZARK AR,73 ,"$1,310 ",$851 
210,HOLDENVILLE OK,79 ,"$1,417 ",$913 
213,LITCHFIELD IL,65 ,"$1,166 ",$767 
214,JASPER TX,60 ,"$1,076 ",$697 
221,YUKON OK,70 ,"$1,256 ",$817 
228,CLEBURNE TX.,63 ,"$1,120 ",$727 
234,"KANSAS CITY, MO.",68 ,"$1,220 ",$791 
247,HENRYETTA OK.,55 ,$987 ,$638 
250,WARSAW MO.,63 ,"$1,130 ",$738 
251,MINEOLA TX.,74 ,"$1,328 ",$876 
262,BENTON IL /WEST CITY.,59 ,"$1,058 ",$686 
266,"SOUTHLAKE, TX",62 ,"$1,112 ",$727 
267,WEBB CITY MO,62 ,"$1,112 ",$723 
268,SAVANNAH TN,41 ,$736 ,$482 
276,STIGLER OK,65 ,"$1,164 ",$762 
277,MOORE OK,72 ,"$1,252 ",$846 
279,DE QUEEN AR,69 ,"$1,238 ",$802 
280,ROCKDALE TX,74 ,"$1,328 ",$860 
281,HEBER SPRINGS AR.,67 ,"$1,202 ",$776 
289,MCGEHEE AR EF,74 ,"$1,328 ",$857 
292,LOCKHART TX,70 ,"$1,256 ",$813 
295,EUREKA MO,60 ,"$1,076 ",$705 
296,DARDANELLE AR,69 ,"$1,238 ",$807 
299,BOWLING GREEN KY,54 ,$969 ,$627 
311,FRANKLIN LA EF,71 ,"$1,274 ",$825 
313,HIGH RIDGE MO,68 ,"$1,220 ",$797 
317,VANDALIA IL,60 ,"$1,076 ",$702 
320,MARLIN TX EF,84 ,$924 ,$963 
328,"WATERLOO, IL",72 ,"$1,292 ",$839 
331,SULPHUR LA,48 ,$849 ,$561 
334,CARLINVILLE IL,63 ,"$1,130 ",$740 
336,SHERIDAN AR,64 ,"$1,148 ",$747 
337,FREDERICKTOWN MO,79 ,"$1,417 ",$923 
339,FORDYCE AR,81 ,"$1,453 ",$936 
340,CHECOTAH OK,63 ,"$1,130 ",$734 
343,TAYLORVILLE IL,70 ,"$1,256 ",$827 
348,MONTICELLO AR,66 ,"$1,184 ",$765 
350,YORK NE,80 ,"$1,435 ",$930 
354,OWENSVILLE MO,71 ,"$1,274 ",$828 
358,ALMA AR,73 ,"$1,310 ",$845 
368,"PARSONS, KS",74 ,"$1,328 ",$856 
379,OZARK MO,55 ,$987 ,$638 
381,COPPERAS COVE TX,69 ,"$1,238 ",$806 
382,OTTAWA KS,76 ,"$1,363 ",$887 
389,EDMOND OK,56 ,"$1,005 ",$654 
404,SAN MARCOS TX,56 ,"$1,005 ",$649 
412,ATHENS TX,62 ,"$1,112 ",$720 
414,WICHITA FALLS TX,70 ,"$1,256 ",$817 
420,"WICHITA FALLS (N), TX",72 ,"$1,292 ",$848 
421,DECATUR TX,70 ,"$1,256 ",$815 
424,CLANTON AL,59 ,"$1,058 ",$692 
426,THE COLONY TX,68 ,"$1,220 ",$795 
436,CARLYLE IL,67 ,"$1,202 ",$776 
444,SPRINGFIELD MO,64 ,"$1,148 ",$746 
446,MADISONVILLE TX,0 ,$0 ,$0 
451,COLUMBIA MO,58 ,"$1,041 ",$675 
453,MALDEN MO,71 ,"$1,274 ",$818 
464,CORPUS CHRISTI TX,95 ,"$1,704 ","$1,110 "
477,SODDY-DAISY TN,60 ,"$1,076 ",$703 
489,HAMMOND LA,57 ,"$1,008 ",$661 
491,PADUCAH KY,60 ,"$1,076 ",$696 
494,"NEWNAN, GA",42 ,$743 ,$489 
497,"SHELBYVILLE, KY",40 ,$718 ,$466 
503,COLUMBUS TX,62 ,"$1,112 ",$721 
507,LAWRENCEBURG KY,51 ,$915 ,$596 
510,GAINESVILLE GA,48 ,$849 ,$569 
517,MUSTANG OK,64 ,"$1,148 ",$747 
518,CANTON GA,65 ,"$1,149 ",$763 
528,"BRADENTON, FL",51 ,$915 ,$594 
535,ABILENE TX (S),60 ,"$1,076 ",$703 
536,ABILENE TX (N),59 ,"$1,058 ",$690 
538,GAINESVILLE FL,55 ,$987 ,$642 
540,MORGAN CITY LA,54 ,$955 ,$631 
545,MANCHESTER KY,38 ,$682 ,$438 
546,"RICHMOND, TX",89 ,"$1,597 ","$1,035 "
551,PALATKA FL,61 ,"$1,094 ",$710 
552,WHITESBURG KY,50 ,$897 ,$572 
567,CALDWELL TX,76 ,"$1,363 ",$883 
573,LEE'S SUMMIT MO,65 ,"$1,166 ",$758 
578,SEVIERVILLE TN,25 ,$434 ,$292 
579,ST AUGUSTINE FL,49 ,$879 ,$565 
