,,,,,,Milk 1% Gallon,,,Milk 1% Half Gallon,,,Chocolate Milk 1% Gallon,,,Chocolate Milk 1% Half Gallon,,,Milk Fat Free/Skim Gallon,,,Milk Fat Free/Skim Half Gallon,,,Chocolate Milk Fat Free/Skim Gallon,,,Chocolate Milk Fat Free/Skim Half Gallon,,,Whole Milk Gallon,,,Whole Milk Half Gallon,,,Dry Powder Milk 9.6 oz,,, Milk Lactose Free/Reduced Gallon,,, Milk Lactose Free/Reduced Half Gallon,,, Milk Ultra High Temperature (UHT) Quart,N/A,,Eggs Grade A Large White 1 Dozen,,Block,Processed American Block,,Processed Cheddar Block,,Colby Block,,Monterey Jack Block,,Colby Jack Block,,Mozarella Block,,Swiss Block,,String,Processed American String,,Cheddar String,,Colby String,,Monterey Jack String,,Colby Jack String,,Mozarella String,,Swiss String,,Sliced,Processed American Sliced,,Cheddar Sliced,,Colby Sliced,,Monterey Jack Sliced,,Colby Jack Sliced,,Mozarella Sliced,,Swiss Sliced,,Shred,Processed American Shredded,,Processed Cheddar Shredded,,Colby Shredded,,Monterey Jack Shredded,,Colby Jack Shredded,,Mozarella Shredded,,Swiss Shredded,,Cubed,Processed American Cubed,,Processed Cheddar Cubed,,Colby Cubed,,Monterey Jack Cubed,,Colby Jack Cubed,,Mozarella Cubed,,Swiss Cubed,
StrNbr,StreetAddr,StrCity,StrState,StrType,Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Size,Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits),Declared Store Brand Name,UPC (all digits)
183,159 HIGHWAY 15 S,LOUISVILLE,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
205,1002 W BEACON ST,PHILADELPHIA,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
239,220 VETERANS MEMORIAL DR,KOSCIUSKO,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Sargento,046100201091,N/A,N/A,N/A,N/A,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
258,3929 N GLOSTER ST,TUPELO,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Sargento,046100201091,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
273,100 INTERCHANGE DR,FULTON,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,N/A,N/A,Great Value,078742079646,Great Value,078742430195,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
303,950 MACKIE DR,HOLLY SPRINGS,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
305,905 HIGHWAY 16 W,CARTHAGE,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
347,633 HIGHWAY 82 W,INDIANOLA,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
365,5520 HIGHWAY 80 E,PEARL,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
391,2270 W MAIN ST,TUPELO,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
495,1913 HIGHWAY 45 N,COLUMBUS,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
501,1621 HIGHWAY 15 N,LAUREL,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
699,2530 JACKSON AVE W,OXFORD,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
707,1000 S STATE ST,CLARKSDALE,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
708,2150 IOWA BLVD,VICKSBURG,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
716,2202 HIGHWAY 82 W,GREENWOOD,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
785,1350 AZALEA DR,WAYNESBORO,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
816,960 BROOKWAY BLVD,BROOKHAVEN,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
848,6811 SOUTHCREST PKWY,SOUTHAVEN,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,N/A,N/A,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
874,314 SGT. S. PRENTISS,NATCHEZ,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
875,815 S WHEATLEY ST,RIDGELAND,MS,Supercenter,Gallon,Great Value,078742351889,Half Gal,Great Value,078742352022,Gallon,Great Value,0605388187345,Half Gal,Great Value,078742006505,Gallon,Great Value,078742351896,Half Gal,Great Value,078742352039,Gallon,na,na,Half Gal,na,na,Gallon,Great Value,078742351865,Half Gal,Great Value,078742352008,9.6 oz,Great Value,078742135410,Gallon,na,na,Half Gal,Great Value,078742036410,Quart,Parmalat Whole,0857065007013,Dozen,Great Value,078742127071,16 oz,N/A,N/A,Great Value,078742374581,Great Value,078742430201,Great Value,078742430218,Great Value,078742079646,Great Value,078742430195,Great Value,078742130460,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Frigo,041716232163,N/A,N/A,16 oz,Great Value,078742353272,Great Value,078742148908,N/A,N/A,N/A,N/A,Great Value,078742148885,N/A,N/A,Great Value,078742148878,16 oz,N/A,N/A,Great Value,078742374437,N/A,N/A,N/A,N/A,Great Value,078742044842,Great Value,078742353210,N/A,N/A,16 oz,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
