Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
58,64,3341,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202335,1,83.70%,95.90%,9.3,86.40%,72.30%,87.80%,89.40%
56,5,6300,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,39,92.80%,96.50%,10,93.20%,94.40%,93.80%,89.20%
81,7,781,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,21,92.20%,99.20%,5.9,97.90%,87.50%,89.40%,93.80%
344,44,132,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,15,85.90%,98.50%,5.4,100.00%,77.40%,92.90%,76.90%
347,44,63,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,11,87.60%,95.30%,6.7,90.20%,88.80%,87.30%,84.90%
410,44,242,SPARK,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202335,7,85.10%,100.00%,6.1,81.00%,92.70%,87.10%,80.60%
129,13,311,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202335,10,91.10%,97.50%,8.3,100.00%,97.60%,88.90%,83.00%
131,13,1196,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202335,4,85.90%,96.60%,7.4,86.70%,87.30%,93.90%,76.50%
541,64,4659,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,3,88.10%,91.50%,8.8,91.60%,90.10%,84.40%,86.70%
46,13,918,SPARK,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202335,12,91.40%,97.90%,7.2,89.70%,95.80%,83.50%,97.00%
125,13,2665,ROADIE,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202335,5,84.50%,96.90%,8.4,98.00%,81.30%,86.40%,71.70%
543,64,3042,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202335,4,89.90%,92.10%,8,94.20%,89.00%,87.20%,89.60%
