Store Number,Item Number,UPC,Item Description,Store On-Hand Quantity,In Transit Quantity
3883,668598184,19434621948,PC PURIFIED 10/15,16,10
2473,668598184,19434621948,PC PURIFIED 10/15,11,20
5274,668598184,19434621948,PC PURIFIED 10/15,19,29
2308,668598184,19434621948,PC PURIFIED 10/15,9,7
3478,668598184,19434621948,PC PURIFIED 10/15,8,9
2126,668598184,19434621948,PC PURIFIED 10/15,7,11
2314,668598184,19434621948,PC PURIFIED 10/15,104,58
3290,668598184,19434621948,PC PURIFIED 10/15,11,10
2321,668598184,19434621948,PC PURIFIED 10/15,6,11
