10,10,25,35
102,10,4,14
1057,8,9,17
1058,12,28,40
1080,10,30,40
1081,8,23,31
1108,8,8,16
1170,8,20,28
1185,10,23,33
1190,8,21,29
1211,8,17,25
1265,8,22,30
1274,8,16,24
1299,18,17,35
13,8,23,31
1305,10,23,33
1307,12,25,37
1324,10,26,36
1333,8,19,27
1335,8,19,27
1338,8,21,29
1341,10,26,36
1363,10,19,29
1377,10,21,31
1392,18,18,36
1400,10,26,36
1404,10,25,35
1417,20,14,34
1421,10,25,35
1438,12,31,43
1458,10,25,35
1463,10,30,40
1474,16,18,34
1485,10,24,34
1487,8,21,29
1497,10,24,34
1512,11,15,26
1526,8,17,25
1531,10,23,33
1536,12,29,41
1548,8,19,27
1561,10,10,20
1565,12,23,35
1572,10,22,32
1585,12,30,42
1592,10,19,29
1602,10,19,29
1626,10,26,36
1640,10,26,36
1650,8,23,31
1651,8,23,31
1671,10,23,33
1681,8,21,29
1682,8,25,33
17,10,24,34
1724,8,17,25
1727,6,17,23
1732,8,9,17
1737,10,25,35
1745,10,28,38
1772,10,28,38
1779,8,15,23
18,8,15,23
1801,10,23,33
1812,12,27,39
1817,12,28,40
1839,10,25,35
1841,0,0,0
1878,8,25,33
1882,10,14,24
1884,12,29,41
1898,8,17,25
1900,8,19,27
1908,8,23,31
1915,10,25,35
1929,10,24,34
1932,12,23,35
1933,8,19,27
1939,10,23,33
1965,12,25,37
197,10,21,31
1978,12,26,38
1989,10,23,33
2016,12,23,35
2021,10,23,33
2046,10,27,37
2059,11,20,31
2069,8,23,31
2077,8,21,29
2081,8,21,29
2096,7,16,23
21,10,21,31
2104,15,19,34
2105,8,23,31
2108,12,23,35
2116,14,22,36
2131,10,20,30
2133,8,23,31
217,8,24,32
2192,8,23,31
2197,12,27,39
220,10,25,35
221,8,21,29
2210,12,17,29
2221,10,30,40
2242,8,21,29
2294,12,15,27
2313,10,23,33
2322,20,16,36
2323,10,21,31
2325,10,22,32
2359,12,23,35
2360,8,22,30
2362,8,21,29
2387,10,28,38
2402,8,23,31
2405,15,17,32
2431,4,9,13
2432,8,18,26
2433,4,9,13
2443,10,21,31
2451,4,9,13
2473,9,8,17
2483,8,21,29
2506,8,23,31
2508,10,25,35
2511,10,27,37
2516,8,27,35
2542,8,7,15
2545,12,21,33
2554,13,19,32
2561,10,25,35
2575,10,23,33
2585,7,9,16
2593,12,25,37
2600,8,23,31
2649,10,30,40
265,10,21,31
2652,8,7,15
2686,2,14,16
2688,8,26,34
2695,8,30,38
2714,10,22,32
2734,8,23,31
2768,18,17,35
28,10,21,31
2816,8,19,27
2834,10,25,35
284,10,28,38
2870,2,13,15
2884,8,32,40
2891,10,25,35
2919,4,9,13
292,8,9,17
2929,11,16,27
2941,10,24,34
295,10,19,29
2956,12,30,42
296,8,9,17
2991,10,28,38
3061,10,23,33
3118,10,21,31
3151,10,21,31
3154,2,14,16
3156,4,9,13
3169,8,17,25
3170,8,19,27
3206,8,25,33
3210,12,29,41
3212,17,12,29
3251,8,21,29
3267,10,24,34
3293,8,23,31
3308,10,25,35
3320,12,16,28
3331,12,24,36
3356,4,12,16
3357,4,10,14
3367,12,18,30
3394,8,20,28
3411,4,9,13
3417,10,29,39
3419,2,12,14
3423,8,18,26
3476,10,21,31
3479,4,12,16
3497,8,21,29
351,6,16,22
354,8,9,17
3545,4,10,14
355,10,24,34
359,8,32,40
3600,4,9,13
361,12,27,39
3614,4,9,13
3619,4,9,13
3645,8,27,35
3659,8,21,29
3709,8,27,35
3713,4,9,13
