DC,Load Planner Presentation,Shadow Routing,Go Live,Date,Time,Hyper-Care,Status
7014,,,,,,4,Complete
6077,,48-49,50,Jan. 11,12:30 a.m. - 4:30 a.m.,50,Complete
6090,,48-49,50,Jan. 12, 2 a.m. - 6 a.m.,50,Complete
6062,,49-50,51,Jan. 17,12:30 a.m. - 4:30 a.m.,51,Complete
7017,,49-51,52,Jan. 18, 11 p.m. - 3 a.m.,51,Delayed
6091,48,49-50,51,Jan. 19,12 a.m. - 4 a.m.,51,On Track
7079,48,49-51,51,Jan. 21,1:30 a.m. - 5:30 a.m.,52,On Track
6074,49,50-51,52,Jan. 25,10 a.m. - 2 p.m.,52,On Track
6073,51,52-1,2,Feb. 7,11:30 p.m. - 3:30 a.m.,2,On Track
7013,51,52-1,2,Feb. 8, 1 a.m. - 5 a.m.,2,On Track
6059,51,52-1,2,Feb. 9,12:30 a.m. - 4:30 a.m.,2,On Track
6083,51,52-1,2,Feb. 10,12:30 a.m. - 4:30 a.m.,2,On Track
6055,52,2-Jan,3,Feb. 13,11:30 p.m. - 3:30 a.m.,3,On Track
6064,52,2-Jan,3,Feb. 15,12:30 a.m. - 4:30 a.m.,3,On Track
6082,52,3-Feb,4,Feb. 22,12:30 a.m. - 4:30 a.m.,4,On Track
7018,3,5-Apr,6,5-Mar,12 a.m. - 4 a.m.,6,On Track
6085,3,5-Apr,6,9-Mar,12 a.m. - 4 a.m.,6,On Track
7023,3,10-Sep,10,6-Apr,11:30 p.m. - 3:30 a.m.,10,On Track
7048,3,5-Apr,6,10-Mar, 1 a.m. - 5 a.m.,6,On Track
7015,4,6-May,7,16-Mar,10 p.m. - 2 a.m. ,7,On Track
7024,4,6-May,7,17-Mar, 11 p.m. - 3 a.m.,7,On Track
7030,4,6-May,7,17-Mar, 12 a.m. - 4 a.m.,7,On Track
6858,5,7-Jun,8,21-Mar, 1 a.m. - 5 a.m.,8,On Track
7019,5,7-Jun,8,22-Mar,12 a.m. - 4 a.m.,8,On Track
7010,8,10-Sep,11,11-Apr, 1 a.m. - 5 a.m.,11,On Track
6072,8,10-Sep,11,11-Apr,12:30 a.m. - 4:30 a.m.,11,On Track
6095,8,10-Sep,11,12-Apr,12 1 a.m. - 5 a.m.,11,On Track
7077,8,10-Sep,11,13-Apr,3 11 p.m. - 3 a.m.,11,On Track
6084,9,11-Oct,19,5-Jun,12:00 - 4:00,19,On Track
6065,9,11-Oct,12,21-Apr,12:30 a.m. - 4:30 a.m.,12,On Track
6096,9,11-Oct,12,18-Apr,11:30 p.m. - 3:30 a.m.,12,On Track
7012,9,11-Oct,12,19-Apr,1:30 p.m. - 3:30 a.m.,12,On Track
6097,10,12-Nov,13,25-Apr,12 a.m. - 4 a.m.,13,On Track
7055,11,13-Dec,14,1-May,10:30 p.m. - 2:30 a.m.,14,On Track
7047,12,13-14,15,10-May,3 a.m. - 7 a.m.,15,On Track
7084,13,14-15,16,17-May,3:30 a.m. - 7:30 a.m.,16,On Track
7016,13,14-15,16,17-May, 12 p.m. - 4 p.m.,16,On Track
6056,14,15-16,17,24-May,11 p.m. - 3 a.m.,17,On Track
7390,TBD,TBD,TBD,TBD,TBD,TBD,On Track
8851,16,17-18,19,7-Jun,12 a.m. - 4 a.m.,19,On Track
8397,16,17-18,19,9-Jun,3 a.m. - 7 a.m.,19,On Track
7021,18,19-20,21,18-Jun,1 a.m. - 5 a.m.,21,On Track
6099,18,19-20,21,21-Jun,1:30 p.m. - 3:30 a.m.,21,On Track
