CLUB #,ITEM #,SDC,DC name,Item Description,DISTRO,Region,Market
4109,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,25,Mississippi Valley,17
4702,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,21,South Central,15
4703,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,17,South Central,6
4704,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,41,Western,1
4707,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,21,Central,9
4709,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,44,Western,2
4710,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,23,Northeast,34
4711,668305,4891,Henderson,UNICED WHITE CUPCAKES 150CT,19,Northeast,34
4712,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,15,South Central,15
4713,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,29,South Central,13
4718,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,14,Western,3
4720,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,14,South Central,13
4721,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,22,South Central,13
4722,668305,4886,Pottsville,UNICED WHITE CUPCAKES 150CT,26,Northeast,39
4724,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,31,Mississippi Valley,24
4728,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,20,Central,22
4729,668305,6296,Bedford,UNICED WHITE CUPCAKES 150CT,11,Northeast,38
4730,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,23,Western,3
4731,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,18,Central,10
4732,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,31,Western,4
4735,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,29,Western,2
4736,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,22,North Central,18
4738,668305,7328,Mankato,UNICED WHITE CUPCAKES 150CT,17,North Central,18
4739,668305,4880,Monroe,UNICED WHITE CUPCAKES 150CT,34,Mississippi Valley,28
4740,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,44,Mississippi Valley,23
4741,668305,6294,Olney,UNICED WHITE CUPCAKES 150CT,40,Central,19
4742,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,29,South Central,11
4743,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,16,South Central,14
4745,668305,4877,Cheyenne,UNICED WHITE CUPCAKES 150CT,23,Western,5
4749,668305,4882,Harrisonville,UNICED WHITE CUPCAKES 150CT,23,Central,16
4750,668305,4885,Washington Court House,UNICED WHITE CUPCAKES 150CT,23,Northeast,33
4755,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,19,Western,1
4761,668305,4883,Pauls Valley,UNICED WHITE CUPCAKES 150CT,25,Central,10
4763,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,24,South Central,15
4764,668305,6295,Terrell,UNICED WHITE CUPCAKES 150CT,25,South Central,15
4767,668305,4888,Colton,UNICED WHITE CUPCAKES 150CT,37,Western,1
