Store Nbr,Market,Region,Tier,Details
1766,23,2,Tier 1,ISA On in Total Store
5831,548,72,Tier 1,ISA On in Total Store
3044,50,5,Tier 1,ISA On in Total Store
4390,507,64,Tier 2,GM Pause
3761,412,52,Tier 1,ISA On in Total Store
1383,29,4,Tier 1,ISA On in Total Store
820,359,40,Tier 1,ISA On in Total Store
2636,466,57,Tier 1,ISA On in Total Store
3347,116,9,Tier 1,ISA On in Total Store
1048,257,41,Tier 1,ISA On in Total Store
5722,543,64,Tier 1,ISA On in Total Store
1390,111,9,Tier 1,ISA On in Total Store
2563,580,25,Tier 1,ISA On in Total Store
5671,110,9,Tier 1,ISA On in Total Store
4127,552,61,Tier 1,ISA On in Total Store
1221,409,44,Tier 1,ISA On in Total Store
402,132,13,Tier 1,ISA On in Total Store
2255,232,22,Tier 1,ISA On in Total Store
2667,55,5,Tier 1,ISA On in Total Store
562,2,14,Tier 1,ISA On in Total Store
5363,16,3,Tier 1,ISA On in Total Store
4049,266,25,Tier 1,ISA On in Total Store
543,132,13,Tier 1,ISA On in Total Store
758,32,3,Tier 1,ISA On in Total Store
136,345,44,Tier 1,ISA On in Total Store
1799,441,53,Tier 1,ISA On in Total Store
3713,496,59,Tier 1,ISA On in Total Store
7324,5,12,Tier 1,ISA On in Total Store
5131,170,22,Tier 1,ISA On in Total Store
2163,173,17,Tier 1,ISA On in Total Store
5312,479,5,Tier 1,ISA On in Total Store
3107,506,6,Tier 2,GM Pause
2803,352,44,Tier 1,ISA On in Total Store
4407,8,14,Tier 1,ISA On in Total Store
2004,415,52,Tier 1,ISA On in Total Store
1558,298,26,Tier 1,ISA On in Total Store
3305,298,26,Tier 1,ISA On in Total Store
1996,553,9,Tier 1,ISA On in Total Store
1066,143,13,Tier 1,ISA On in Total Store
1268,300,26,Tier 1,ISA On in Total Store
1464,305,4,Tier 1,ISA On in Total Store
2195,178,22,Tier 1,ISA On in Total Store
2727,110,9,Tier 1,ISA On in Total Store
2080,202,19,Tier 1,ISA On in Total Store
1771,202,19,Tier 1,ISA On in Total Store
2989,511,56,Tier 1,ISA On in Total Store
5472,202,19,Tier 1,ISA On in Total Store
3640,65,6,Tier 1,ISA On in Total Store
1933,267,25,Tier 1,ISA On in Total Store
6932,127,42,Tier 1,ISA On in Total Store
3547,173,17,Tier 1,ISA On in Total Store
5398,263,53,Tier 1,ISA On in Total Store
1223,97,3,Tier 1,ISA On in Total Store
1618,238,19,Tier 1,ISA On in Total Store
7326,353,44,Tier 1,ISA On in Total Store
3638,497,59,Tier 1,ISA On in Total Store
1003,262,25,Tier 1,ISA On in Total Store
3425,63,6,Tier 1,ISA On in Total Store
2911,191,17,Tier 1,ISA On in Total Store
819,105,9,Tier 1,ISA On in Total Store
3784,221,21,Tier 1,ISA On in Total Store
3406,51,5,Tier 1,ISA On in Total Store
1161,339,40,Tier 1,ISA On in Total Store
1895,215,20,Tier 1,ISA On in Total Store
1894,214,20,Tier 1,ISA On in Total Store
2098,219,21,Tier 1,ISA On in Total Store
3785,14,14,Tier 1,ISA On in Total Store
2805,314,75,Tier 1,ISA On in Total Store
2176,107,9,Tier 1,ISA On in Total Store
555,32,3,Tier 1,ISA On in Total Store
1590,553,9,Tier 1,ISA On in Total Store
3453,200,19,Tier 1,ISA On in Total Store
72,410,44,Tier 1,ISA On in Total Store
1574,447,57,Tier 1,ISA On in Total Store
4517,546,72,Tier 1,ISA On in Total Store
5603,551,61,Tier 1,ISA On in Total Store
2109,165,22,Tier 1,ISA On in Total Store
5612,63,6,Tier 1,ISA On in Total Store
3730,364,46,Tier 1,ISA On in Total Store
1174,14,14,Tier 1,ISA On in Total Store
4631,238,19,Tier 1,ISA On in Total Store
2499,96,72,Tier 1,ISA On in Total Store
2690,137,12,Tier 1,ISA On in Total Store
5079,143,13,Tier 1,ISA On in Total Store
29,359,40,Tier 1,ISA On in Total Store
1352,300,26,Tier 1,ISA On in Total Store
2783,260,41,Tier 1,ISA On in Total Store
224,272,25,Tier 1,ISA On in Total Store
5329,370,46,Tier 1,ISA On in Total Store
874,141,13,Tier 1,ISA On in Total Store
5409,223,21,Tier 1,ISA On in Total Store
3476,197,19,Tier 1,ISA On in Total Store
199,278,25,Tier 1,ISA On in Total Store
4111,65,6,Tier 1,ISA On in Total Store
5347,105,9,Tier 1,ISA On in Total Store
1540,201,19,Tier 1,ISA On in Total Store
3383,70,46,Tier 1,ISA On in Total Store
1287,296,26,Tier 1,ISA On in Total Store
1385,305,4,Tier 1,ISA On in Total Store
1068,92,9,Tier 1,ISA On in Total Store
5122,492,72,Tier 1,ISA On in Total Store
5646,495,59,Tier 1,ISA On in Total Store
433,5,12,Tier 1,ISA On in Total Store
5781,267,25,Tier 1,ISA On in Total Store
631,35,2,Tier 1,ISA On in Total Store
1869,165,22,Tier 2,GM Pause
2786,482,25,Tier 1,ISA On in Total Store
3611,26,2,Tier 1,ISA On in Total Store
1652,312,75,Tier 1,ISA On in Total Store
1158,2,14,Tier 1,ISA On in Total Store
3059,140,13,Tier 1,ISA On in Total Store
4323,262,25,Tier 1,ISA On in Total Store
1098,84,6,Tier 1,ISA On in Total Store
1294,247,21,Tier 1,ISA On in Total Store
6807,145,12,Tier 1,ISA On in Total Store
4141,548,72,Tier 1,ISA On in Total Store
1938,268,25,Tier 1,ISA On in Total Store
5418,242,41,Tier 1,ISA On in Total Store
5467,498,59,Tier 1,ISA On in Total Store
2584,20,2,Tier 1,ISA On in Total Store
2588,235,20,Tier 1,ISA On in Total Store
5027,194,17,Tier 1,ISA On in Total Store
1538,430,54,Tier 1,ISA On in Total Store
3465,369,46,Tier 1,ISA On in Total Store
3571,221,21,Tier 1,ISA On in Total Store
2772,300,26,Tier 1,ISA On in Total Store
5124,370,46,Tier 1,ISA On in Total Store
94,145,12,Tier 1,ISA On in Total Store
1029,104,9,Tier 1,ISA On in Total Store
2323,215,20,Tier 1,ISA On in Total Store
4161,110,9,Tier 1,ISA On in Total Store
382,410,44,Tier 1,ISA On in Total Store
1443,225,21,Tier 1,ISA On in Total Store
3432,49,5,Tier 1,ISA On in Total Store
3789,401,54,Tier 1,ISA On in Total Store
908,90,9,Tier 1,ISA On in Total Store
5488,288,75,Tier 1,ISA On in Total Store
3728,394,57,Tier 1,ISA On in Total Store
5980,552,61,Tier 1,ISA On in Total Store
2463,53,5,Tier 1,ISA On in Total Store
1551,435,53,Tier 1,ISA On in Total Store
5842,197,19,Tier 1,ISA On in Total Store
4529,266,25,Tier 1,ISA On in Total Store
2731,554,59,Tier 1,ISA On in Total Store
2546,464,57,Tier 1,ISA On in Total Store
377,497,59,Tier 1,ISA On in Total Store
655,253,41,Tier 1,ISA On in Total Store
2104,164,17,Tier 1,ISA On in Total Store
947,350,44,Tier 1,ISA On in Total Store
952,27,3,Tier 1,ISA On in Total Store
4504,544,72,Tier 1,ISA On in Total Store
2400,218,21,Tier 1,ISA On in Total Store
2194,283,75,Tier 1,ISA On in Total Store
5625,422,52,Tier 1,ISA On in Total Store
2687,35,2,Tier 1,ISA On in Total Store
1131,304,4,Tier 1,ISA On in Total Store
3348,107,9,Tier 1,ISA On in Total Store
2423,801,29,Tier 1,ISA On in Total Store
2769,87,6,Tier 1,ISA On in Total Store
1210,260,41,Tier 1,ISA On in Total Store
2938,132,13,Tier 1,ISA On in Total Store
5481,305,4,Tier 1,ISA On in Total Store
2774,217,21,Tier 1,ISA On in Total Store
5366,96,72,Tier 1,ISA On in Total Store
3607,195,17,Tier 1,ISA On in Total Store
3659,119,2,Tier 1,ISA On in Total Store
174,92,9,Tier 1,ISA On in Total Store
4617,103,72,Tier 1,ISA On in Total Store
4216,580,25,Tier 1,ISA On in Total Store
3255,246,21,Tier 1,ISA On in Total Store
1392,300,26,Tier 1,ISA On in Total Store
5787,310,26,Tier 1,ISA On in Total Store
2967,225,21,Tier 1,ISA On in Total Store
1991,251,25,Tier 1,ISA On in Total Store
4473,9,61,Tier 1,ISA On in Total Store
5285,215,20,Tier 1,ISA On in Total Store
2073,214,20,Tier 1,ISA On in Total Store
502,129,13,Tier 1,ISA On in Total Store
1328,364,46,Tier 1,ISA On in Total Store
2976,561,64,Tier 1,ISA On in Total Store
2359,209,20,Tier 1,ISA On in Total Store
2974,561,64,Tier 1,ISA On in Total Store
5880,292,75,Tier 1,ISA On in Total Store
87,127,42,Tier 1,ISA On in Total Store
585,42,4,Tier 1,ISA On in Total Store
5215,581,57,Tier 1,ISA On in Total Store
935,130,13,Tier 1,ISA On in Total Store
5339,235,20,Tier 1,ISA On in Total Store
5183,494,59,Tier 1,ISA On in Total Store
1,323,42,Tier 1,ISA On in Total Store
313,335,40,Tier 1,ISA On in Total Store
436,272,25,Tier 1,ISA On in Total Store
3653,58,64,Tier 1,ISA On in Total Store
2946,109,9,Tier 1,ISA On in Total Store
1651,453,56,Tier 1,ISA On in Total Store
549,71,46,Tier 1,ISA On in Total Store
4108,323,42,Tier 1,ISA On in Total Store
814,107,9,Tier 1,ISA On in Total Store
5195,471,60,Tier 1,ISA On in Total Store
5273,472,60,Tier 1,ISA On in Total Store
4164,55,5,Tier 1,ISA On in Total Store
1600,447,57,Tier 1,ISA On in Total Store
3804,293,75,Tier 1,ISA On in Total Store
4461,259,41,Tier 1,ISA On in Total Store
575,24,2,Tier 1,ISA On in Total Store
5292,297,26,Tier 1,ISA On in Total Store
816,141,13,Tier 1,ISA On in Total Store
1602,275,25,Tier 1,ISA On in Total Store
5107,566,59,Tier 1,ISA On in Total Store
5245,77,6,Tier 1,ISA On in Total Store
6936,502,59,Tier 1,ISA On in Total Store
3276,445,57,Tier 1,ISA On in Total Store
2891,73,46,Tier 1,ISA On in Total Store
930,8,14,Tier 1,ISA On in Total Store
4298,59,6,Tier 1,ISA On in Total Store
5299,89,9,Tier 1,ISA On in Total Store
2270,375,46,Tier 1,ISA On in Total Store
542,129,13,Tier 1,ISA On in Total Store
1103,59,6,Tier 1,ISA On in Total Store
5023,458,57,Tier 1,ISA On in Total Store
3594,58,64,Tier 1,ISA On in Total Store
1264,222,21,Tier 1,ISA On in Total Store
5609,552,61,Tier 1,ISA On in Total Store
2132,131,13,Tier 1,ISA On in Total Store
7206,499,59,Tier 1,ISA On in Total Store
1348,300,26,Tier 1,ISA On in Total Store
2039,450,56,Tier 1,ISA On in Total Store
5670,548,72,Tier 1,ISA On in Total Store
5449,62,6,Tier 1,ISA On in Total Store
724,123,2,Tier 1,ISA On in Total Store
6286,81,5,Tier 1,ISA On in Total Store
2865,474,60,Tier 1,ISA On in Total Store
565,55,5,Tier 1,ISA On in Total Store
2471,217,21,Tier 1,ISA On in Total Store
1666,306,4,Tier 1,ISA On in Total Store
1924,179,16,Tier 1,ISA On in Total Store
1097,309,26,Tier 1,ISA On in Total Store
28,347,44,Tier 1,ISA On in Total Store
2679,247,21,Tier 1,ISA On in Total Store
2312,312,75,Tier 1,ISA On in Total Store
891,279,25,Tier 2,GM Pause
3796,462,57,Tier 1,ISA On in Total Store
553,125,13,Tier 1,ISA On in Total Store
152,335,40,Tier 1,ISA On in Total Store
3014,49,5,Tier 1,ISA On in Total Store
843,27,3,Tier 1,ISA On in Total Store
3515,218,21,Tier 2,GM Pause
5142,178,22,Tier 1,ISA On in Total Store
4250,297,26,Tier 1,ISA On in Total Store
7347,58,64,Tier 1,ISA On in Total Store
5617,267,25,Tier 1,ISA On in Total Store
1305,441,53,Tier 1,ISA On in Total Store
3601,266,25,Tier 1,ISA On in Total Store
2075,478,60,Tier 1,ISA On in Total Store
2656,375,46,Tier 1,ISA On in Total Store
3336,197,19,Tier 1,ISA On in Total Store
3812,217,21,Tier 1,ISA On in Total Store
1125,278,25,Tier 1,ISA On in Total Store
298,5,12,Tier 1,ISA On in Total Store
5994,550,61,Tier 1,ISA On in Total Store
5021,561,64,Tier 1,ISA On in Total Store
5455,92,9,Tier 1,ISA On in Total Store
686,28,3,Tier 1,ISA On in Total Store
1678,442,53,Tier 1,ISA On in Total Store
5078,473,60,Tier 1,ISA On in Total Store
7307,102,72,Tier 1,ISA On in Total Store
2341,159,16,Tier 1,ISA On in Total Store
175,144,12,Tier 1,ISA On in Total Store
1604,430,54,Tier 1,ISA On in Total Store
2145,168,22,Tier 1,ISA On in Total Store
3218,467,60,Tier 1,ISA On in Total Store
1920,477,60,Tier 1,ISA On in Total Store
2202,180,16,Tier 1,ISA On in Total Store
2936,442,53,Tier 1,ISA On in Total Store
622,344,44,Tier 1,ISA On in Total Store
3067,20,2,Tier 1,ISA On in Total Store
702,259,41,Tier 1,ISA On in Total Store
1178,50,5,Tier 1,ISA On in Total Store
4593,42,4,Tier 1,ISA On in Total Store
2111,13,14,Tier 1,ISA On in Total Store
2583,172,17,Tier 1,ISA On in Total Store
1614,297,26,Tier 1,ISA On in Total Store
1974,179,16,Tier 1,ISA On in Total Store
2181,463,57,Tier 1,ISA On in Total Store
5614,58,64,Tier 1,ISA On in Total Store
2621,446,57,Tier 1,ISA On in Total Store
2058,297,26,Tier 1,ISA On in Total Store
3614,509,59,Tier 1,ISA On in Total Store
5991,491,61,Tier 1,ISA On in Total Store
1417,364,46,Tier 1,ISA On in Total Store
1994,187,17,Tier 1,ISA On in Total Store
856,22,2,Tier 1,ISA On in Total Store
5156,463,57,Tier 1,ISA On in Total Store
5348,8,14,Tier 1,ISA On in Total Store
3183,103,72,Tier 1,ISA On in Total Store
747,341,25,Tier 1,ISA On in Total Store
5113,2,14,Tier 1,ISA On in Total Store
963,48,5,Tier 1,ISA On in Total Store
2272,285,75,Tier 1,ISA On in Total Store
1321,299,26,Tier 1,ISA On in Total Store
3270,311,20,Tier 1,ISA On in Total Store
38,47,44,Tier 1,ISA On in Total Store
3139,481,61,Tier 1,ISA On in Total Store
6958,310,26,Tier 1,ISA On in Total Store
36,329,12,Tier 1,ISA On in Total Store
4687,167,22,Tier 1,ISA On in Total Store
153,4,12,Tier 1,ISA On in Total Store
2914,215,20,Tier 1,ISA On in Total Store
3310,94,3,Tier 1,ISA On in Total Store
1595,217,21,Tier 1,ISA On in Total Store
1788,183,16,Tier 1,ISA On in Total Store
1971,425,53,Tier 1,ISA On in Total Store
