Store,Market,Store Type,Associate User ID,,
54,322,SUP,us\l0p055s.s00054,,
144,322,SUP,us\j0b0fz4.s00144,,
144,322,SUP,us\jlb013f.s00144,,
184,361,SUP,us\s0l0dqy.s00184,,
201,341,SUP,us\j0j07wt.s00201,,
206,52,SUP,us\sdbirds.s00206,,
220,48,SUP,us\kdr004d.s00220,,
220,48,SUP,us\s0h0hy9.s00220,,
220,48,SUP,us\v0l0126.s00220,,
256,341,SUP,us\k0w0cez.s00256,,
359,322,SUP,us\pdb0014.s00359,,
467,52,SUP,us\r0b045g.s00467,,
475,83,SUP,us\axs000b.s00475,,
529,61,SUP,us\p0r03o0.s00529,,
529,61,SUP,us\x0g01lb.s00529,,
548,25,SUP,us\k0t07g0.s00548,,
573,361,SUP,us\gqd0000.s00573,,
585,42,SUP,us\l0s0coc.s00585,,
594,22,SUP,us\semallo.s00594,,
618,26,SUP,us\n0m0agu.s00618,,
618,26,SUP,us\d0b0l6i.s00618,,
703,67,SUP,us\s0v02nu.s00703,,
745,19,SUP,us\i0h01k7.s00745,,
807,50,SUP,us\jpm00bz.s00807,,
849,59,SUP,us\b0w07lg.s00849,,
857,94,SUP,us\m0c0g98.s00857,,
890,91,SUP,us\z0f00om.s00890,,
908,90,SUP,us\j0c0tyx.s00908,,
908,90,SUP,us\y0n00d7.s00908,,
955,91,SUP,us\j0w064l.s00955,,
955,91,SUP,us\m0g0gva.s00955,,
992,356,SUP,us\slritze.s00992,,
1055,583,SUP,us\j0d0kkf.s01055,,
1083,101,SUP,us\tkcunni.s01083,,
1083,101,SUP,us\s0w08zw.s01083,,
1094,361,SUP,us\m0w0ch6.s01094,,
1094,361,SUP,us\j0t0cea.s01094,,
1102,130,SUP,us\a0f047z.s01102,,
1117,51,SUP,us\jarevel.s01117,,
1118,55,SUP,us\mfc000t.s01118,,
1118,55,SUP,us\j0c0xtj.s01118,,
1161,339,SUP,us\r0s0enq.s01161,,
1172,98,SUP,us\blb009q.s01172,,
1173,98,SUP,us\ttreed.s01173,,
1173,98,SUP,us\d0b079p.s01173,,
1206,130,SUP,us\slgremi.s01206,,
1220,90,SUP,us\p0c02ud.s01220,,
1314,24,SUP,us\i0a00pm.s01314,,
1373,24,SUP,us\ced003s.s01373,,
1373,24,SUP,us\h0s06mh.s01373,,
1409,65,SUP,us\c0d07f4.s01409,,
1413,270,SUP,us\k0w037w.s01413,,
1424,290,SUP,us\s1b0bh9.s01424,,
1443,225,SUP,us\l0e01ww.s01443,,
1455,44,SUP,us\adh00fh.s01455,,
1481,13,SUP,us\ljritte.s01481,,
1524,290,SUP,us\a0m0xx4.s01524,,
1552,308,SUP,us\c0o03m8.s01552,,
1590,553,SUP,us\jam01cn.s01590,,
1594,219,SUP,us\sbdanie.s01594,,
1597,356,SUP,us\t0m0dps.s01597,,
1597,356,SUP,us\w0m02d6.s01597,,
1618,238,SUP,us\a0e04s4.s01618,,
1631,288,SUP,us\k0l09p5.s01631,,
1671,433,SUP,us\o0e00hs.s01671,,
1688,289,SUP,us\g0n01ts.s01688,,
1688,289,SUP,us\j0p0rpp.s01688,,
1735,269,SUP,us\a0s0qec.s01735,,
1735,269,SUP,us\d0r0ays.s01735,,
1735,269,SUP,us\jjp00d8.s01735,,
1735,269,SUP,us\f0g03ek.s01735,,
1801,44,SUP,us\j0s0rqc.s01801,,
1810,164,SUP,us\e0j00k0.s01810,,
1814,264,SUP,us\a0p03og.s01814,,
1852,291,SUP,us\k0c0cpw.s01852,,
1881,454,SUP,us\n0b013l.s01881,,
1941,462,SUP,us\a0a0bjy.s01941,,
1941,462,SUP,us\nlverin.s01941,,
1988,455,SUP,us\ymborra.s01988,,
1998,267,SUP,us\makhaza.s01998,,
2005,306,SUP,us\l0s0glx.s02005,,
2015,292,SUP,us\e0s09br.s02015,,
2066,64,SUP,us\s0c0lil.s02066,,
2082,464,SUP,us\o0s00te.s02082,,
2082,464,SUP,us\m0h0drc.s02082,,
2086,56,SUP,us\m0v05ce.s02086,,
2104,164,SUP,us\e0c096v.s02104,,
2104,164,SUP,us\s0s0l9c.s02104,,
2105,53,SUP,us\b0c03pr.s02105,,
2105,53,SUP,us\d0b0fv6.s02105,,
2119,451,SUP,us\m0r0khn.s02119,,
2176,107,SUP,us\e0t05lu.s02176,,
2218,466,SUP,us\j0k051y.s02218,,
2218,466,SUP,us\i0g00wo.s02218,,
2226,481,WNM,us\c0c04t5.s02226,,
2307,582,SUP,us\myn0003.s02307,,
