Store #,City,State,Confirmed Install Date
488,QUINCY,FL,3/3/2024
720,FRANKFORT,KY,3/3/2024
1286,COLUMBIA,SC,3/3/2024
1525,MECHANICSVILLE,VA,3/3/2024
1210,NICHOLASVILLE,KY,3/4/2024
2795,ASHLAND,VA,3/4/2024
4521,LEXINGTON,SC,3/4/2024
3531,LACEY,WA,3/5/2024
1077,TALLAHASSEE,FL,3/6/2024
5853,LONGVIEW,WA,3/6/2024
493,PARIS,KY,3/10/2024
571,GEORGETOWN,KY,3/11/2024
1375,MARIANNA,FL,3/11/2024
584,DRY RIDGE,KY,3/12/2024
1408,TALLAHASSEE,FL,3/12/2024
692,DANVILLE,KY,3/13/2024
519,HARRODSBURG,KY,3/17/2024
3218,SPANAWAY,WA,3/17/2024
507,LAWRENCEBURG,KY,3/18/2024
4440,IRMO,SC,3/18/2024
881,LEXINGTON,SC,3/19/2024
1523,GLEN ALLEN,VA,3/19/2024
2214,COLUMBIA,SC,3/20/2024
3537,LAKEWOOD,WA,3/20/2024
4191,RICHMOND,VA,3/20/2024
1183,WEST COLUMBIA,SC,3/21/2024
4137,TACOMA,WA,3/21/2024
4350,KILMARNOCK,VA,3/21/2024
1339,COLUMBIA,SC,3/24/2024
2295,RICHMOND,VA,3/24/2024
1164,COLUMBIA,SC,3/25/2024
2469,LONGVIEW,WA,3/25/2024
3869,RICHMOND,VA,3/25/2024
4506,COLUMBIA,SC,3/26/2024
4420,LEESVILLE,SC,3/27/2024
7032,HENRICO,VA,3/27/2024
