Store #,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,
44,1,2,1,1,1,1,1,1,1,
57,2,2,2,2,5,5,5,3,1,
116,1,1,1,1,1,2,2,1,1,
117,2,2,2,3,4,6,8,2,2,
136,1,1,1,1,1,1,1,1,1,
176,2,2,1,2,2,2,2,1,1,
209,3,1,1,2,2,3,3,1,1,
210,1,1,1,1,1,1,1,1,1,
232,1,1,1,1,1,2,1,1,1,
247,1,1,1,1,2,1,1,1,1,
274,1,1,1,1,2,3,1,1,1,
283,2,2,2,2,2,2,2,2,1,
289,1,1,2,2,2,2,2,1,1,
293,1,1,1,1,2,2,2,2,1,
311,1,1,2,2,2,2,2,1,1,
320,1,1,1,2,2,2,3,2,1,
326,2,1,1,1,1,1,1,1,1,
339,2,1,1,1,1,3,3,1,1,
352,1,3,2,2,3,2,4,2,2,
385,1,1,1,2,2,1,2,2,1,
411,1,2,1,1,2,2,2,1,1,
446,2,1,3,3,3,3,2,1,1,
453,1,2,1,1,1,2,1,1,1,
473,2,2,2,2,3,4,4,1,1,
478,1,2,1,2,1,1,1,1,2,
480,1,2,2,4,2,4,3,1,1,
482,1,1,1,2,1,2,1,1,1,
503,1,2,1,1,1,1,1,1,1,
545,3,3,3,4,5,5,5,3,1,
552,3,4,9,8,11,11,11,6,6,
554,1,2,1,2,1,1,2,2,1,
567,2,1,1,2,1,3,3,1,1,
596,2,2,2,2,7,7,8,6,1,
606,1,1,1,3,1,1,1,1,1,
607,2,1,1,2,1,2,1,2,1,
617,5,3,3,3,8,8,9,4,1,
693,4,3,3,3,7,7,7,3,1,
696,4,4,4,4,6,6,7,4,1,
713,1,1,1,1,1,2,3,1,1,
747,1,1,1,1,2,1,1,1,1,
760,4,4,4,4,7,7,7,7,3,
783,2,1,1,1,2,1,3,2,1,
792,1,3,3,3,3,5,3,1,1,
830,1,3,1,3,2,3,2,1,1,
837,2,1,1,3,2,2,1,1,1,
841,1,2,2,2,3,3,2,1,1,
845,1,3,1,1,3,3,3,1,1,
871,1,1,1,1,2,3,1,1,1,
873,2,1,1,2,2,3,2,1,1,
893,1,1,1,1,1,2,1,1,1,
895,2,2,2,2,4,5,5,3,1,
898,1,1,1,2,1,1,2,2,1,
925,1,1,3,1,2,2,2,2,1,
951,1,1,2,1,1,4,1,1,1,
956,1,1,1,1,1,2,4,1,1,
957,1,4,3,4,1,3,1,1,1,
977,1,1,1,2,1,2,1,1,1,
986,1,1,2,1,3,5,5,1,1,
996,2,1,1,3,4,9,9,2,1,
1013,6,3,3,3,7,6,7,4,1,
1046,1,1,1,2,1,2,3,2,1,
1063,1,1,1,1,1,2,2,1,1,
1067,1,1,1,6,2,2,2,1,1,
1078,1,1,1,6,2,4,6,4,1,
1084,1,2,2,2,1,1,3,4,1,
1095,2,1,3,2,3,3,3,1,1,
