STORE,Alignment Week,Alignment Date,Delivery Type,Current DC,New DC,MPDD SD/ND,MPDD Delivery Window,First Day MPDD Comments
578,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-22:00:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
599,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
620,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
685,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,16:00:00-22:00:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
724,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,18:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
742,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
2089,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
3234,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,18:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
5467,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,16:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
5734,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,16:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
5908,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,16:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
6370,37,10/14/2025,MPDD,6097,3010,Next Day Delivery,09:00:00-23:59:00,No MPDD Mismatch Delivery from 3010 on 8/19/25. Additional Freight will be added to deliveries before alignment date
