Store #,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail,State Min Retail,Current Store Retail
2141,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
2830,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
3252,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
3541,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
5495,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
5881,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
5891,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
2167,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
2263,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
2945,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
3501,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
5795,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
2446,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
3810,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
2096,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
2445,4.81,,2.46,,4.44,,2.28,,4.19,,2.15,,3.97,,2.05,,4.54,,2.33,
