Store Nbr,Prime Item Nbr,Prime Item Desc,Dept Category Group Description,Curr Str On Hand Qty
590,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
593,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
594,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
603,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
605,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
610,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
616,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
618,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
621,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
623,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
628,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
629,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
630,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
634,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
641,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
649,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
655,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
663,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
664,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
667,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
672,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
677,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
678,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
682,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
688,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
692,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
694,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
700,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
705,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
709,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
710,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
711,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
716,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
719,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
720,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
721,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
722,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
728,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
741,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
743,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
745,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
