0,1,2,3,4
Store,Feature Name- Brand ,Dept Number,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
3,USPA Fashion Rack,24,Rack,WK 50
4,USPA Fashion Rack,24,Rack,WK 50
7,USPA Fashion Rack,24,Rack,WK 50
10,USPA Fashion Rack,24,Rack,WK 50
20,USPA Fashion Rack,24,Rack,WK 50
22,USPA Fashion Rack,24,Rack,WK 50
24,USPA Fashion Rack,24,Rack,WK 50
28,USPA Fashion Rack,24,Rack,WK 50
31,USPA Fashion Rack,24,Rack,WK 50
46,USPA Fashion Rack,24,Rack,WK 50
52,USPA Fashion Rack,24,Rack,WK 50
58,USPA Fashion Rack,24,Rack,WK 50
62,USPA Fashion Rack,24,Rack,WK 50
64,USPA Fashion Rack,24,Rack,WK 50
78,USPA Fashion Rack,24,Rack,WK 50
85,USPA Fashion Rack,24,Rack,WK 50
92,USPA Fashion Rack,24,Rack,WK 50
95,USPA Fashion Rack,24,Rack,WK 50
98,USPA Fashion Rack,24,Rack,WK 50
99,USPA Fashion Rack,24,Rack,WK 50
107,USPA Fashion Rack,24,Rack,WK 50
127,USPA Fashion Rack,24,Rack,WK 50
128,USPA Fashion Rack,24,Rack,WK 50
140,USPA Fashion Rack,24,Rack,WK 50
147,USPA Fashion Rack,24,Rack,WK 50
148,USPA Fashion Rack,24,Rack,WK 50
150,USPA Fashion Rack,24,Rack,WK 50
161,USPA Fashion Rack,24,Rack,WK 50
167,USPA Fashion Rack,24,Rack,WK 50
174,USPA Fashion Rack,24,Rack,WK 50
181,USPA Fashion Rack,24,Rack,WK 50
185,USPA Fashion Rack,24,Rack,WK 50
186,USPA Fashion Rack,24,Rack,WK 50
194,USPA Fashion Rack,24,Rack,WK 50
200,USPA Fashion Rack,24,Rack,WK 50
201,USPA Fashion Rack,24,Rack,WK 50
211,USPA Fashion Rack,24,Rack,WK 50
216,USPA Fashion Rack,24,Rack,WK 50
218,USPA Fashion Rack,24,Rack,WK 50
220,USPA Fashion Rack,24,Rack,WK 50
224,USPA Fashion Rack,24,Rack,WK 50
226,USPA Fashion Rack,24,Rack,WK 50
228,USPA Fashion Rack,24,Rack,WK 50
231,USPA Fashion Rack,24,Rack,WK 50
237,USPA Fashion Rack,24,Rack,WK 50
242,USPA Fashion Rack,24,Rack,WK 50
244,USPA Fashion Rack,24,Rack,WK 50
254,USPA Fashion Rack,24,Rack,WK 50
260,USPA Fashion Rack,24,Rack,WK 50
261,USPA Fashion Rack,24,Rack,WK 50
265,USPA Fashion Rack,24,Rack,WK 50
268,USPA Fashion Rack,24,Rack,WK 50
278,USPA Fashion Rack,24,Rack,WK 50
284,USPA Fashion Rack,24,Rack,WK 50
286,USPA Fashion Rack,24,Rack,WK 50
294,USPA Fashion Rack,24,Rack,WK 50
297,USPA Fashion Rack,24,Rack,WK 50
299,USPA Fashion Rack,24,Rack,WK 50
301,USPA Fashion Rack,24,Rack,WK 50
316,USPA Fashion Rack,24,Rack,WK 50
317,USPA Fashion Rack,24,Rack,WK 50
321,USPA Fashion Rack,24,Rack,WK 50
333,USPA Fashion Rack,24,Rack,WK 50
338,USPA Fashion Rack,24,Rack,WK 50
350,USPA Fashion Rack,24,Rack,WK 50
353,USPA Fashion Rack,24,Rack,WK 50
355,USPA Fashion Rack,24,Rack,WK 50
