Store Number,Workgroup,City,State,Date Offering Testing Began,Date Offering Testing Ended,
3352,Digital,STOCKTON,CA,07/21/2021,08/24/2021,08/24/2021
2951,Deli/Bakery,LANCASTER,CA,07/29/2021,08/24/2021,08/24/2021
5133,Digital,ANDERSON,CA,08/05/2021,08/24/2021,08/24/2021
1988,Apparel,ROSEVILLE,CA,08/06/2021,08/24/2021,08/24/2021
5136,Front End,MARYSVILLE,CA,07/29/2021,09/03/2021,09/03/2021
2245,Overnight,OCEANSIDE,CA,07/30/2021,09/03/2021,09/03/2021
3352,Front End,STOCKTON,CA,08/04/2021,09/03/2021,09/03/2021
2044,Overnight,CHICO,CA,08/10/2021,09/03/2021,09/03/2021
3139,Digital,BAKERSFIELD,CA,08/16/2021,09/03/2021,09/03/2021
3516,Overnight,CHULA VISTA,CA,08/18/2021,09/03/2021,09/03/2021
2077,Overnight,LAKE ELSINORE,CA,08/25/2021,09/16/2021,09/16/2021
1624,Digital,BAKERSFIELD,CA,09/03/2021,09/16/2021,09/16/2021
1608,Overnight,RED BLUFF,CA,09/17/2021,10/29/2021,10/29/2021
1608,Digital,RED BLUFF,CA,09/03/2021,09/29/2021,09/29/2021
2479,Digital,SAN DIEGO,CA,09/14/2021,09/29/2021,09/29/2021
3141,Digital,BAKERSFIELD,CA,09/21/2021,10/11/2021,10/11/2021
1912,Replenishment 1,CORONA,CA,09/21/2021,10/11/2021,10/11/2021
1575,Overnight,OROVILLE,CA,09/21/2021,10/11/2021,10/11/2021
2537,Overnight,REDDING,CA,09/21/2021,10/11/2021,10/11/2021
1624,Overnight,BAKERSFIELD,CA,09/28/2021,10/11/2021,10/11/2021
2457,Digital,RANCHO CORDOVA,CA,10/07/2021,10/29/2021,10/29/2021
2117,Fresh,LOS BANOS,CA,10/15/2021,11/04/2021,11/04/2021
1853,Overnight,HEMET,CA,10/20/2021,11/04/2021,11/04/2021
1826,Front End,VISALIA,CA,10/20/2021,11/11/2021,11/11/2021
1979,Overnight,CLEARLAKE,CA,11/10/2021,12/02/2021,12/02/2021
3947,Digital,CHULA VISTA,CA,12/20/2021,1/20/2022,1/20/2022
5884,Front End,SAN JOSE,CA,12/31/2021,1/20/2022,1/20/2022
2044,Vision Center,CHICO,CA,12/31/2021,1/20/2022,1/20/2022
5751,Digital,SALINAS,CA,12/31/2021,1/20/2022,1/20/2022
5605,Replenishment 1,PANORAMA CITY,CA,12/31/2021,1/20/2022,1/20/2022
5886,Overnight,ENCINITAS,CA,01/05/2022,1/20/2022,1/20/2022
5193,Overnight,MORENO VALLEY,CA,01/03/2022,1/20/2022,1/20/2022
3099,Digital,LA PALMA,CA,01/03/2022,1/20/2022,1/20/2022
2094,Digital,VISTA,CA,01/03/2022,1/20/2022,1/20/2022
5603,Pharmacy,DOWNEY,CA,01/03/2022,1/20/2022,1/20/2022
5644,Front End,IRVINE,CA,01/05/2022,1/20/2022,1/20/2022
4134,Fresh,STANTON,CA,01/05/2022,1/20/2022,1/20/2022
1882,Digital,SELMA,CA,01/05/2022,1/20/2022,1/20/2022
