Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
1161,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202251,90.60%,82.80%,10.7,82.20%,97.20%,94.50%,89.40%
1188,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202251,83.20%,74.20%,18.8,76.80%,85.00%,90.40%,88.10%
2600,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202251,82.20%,66.60%,12.6,91.30%,75.90%,85.90%,63.80%
1265,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202251,86.80%,90.00%,17.9,79.30%,87.00%,92.30%,87.00%
2213,,Scheduled Delivery Standard,30,Executive Review,Recovering,Store Focus,202251,93.80%,95.30%,12.8,97.00%,95.20%,95.10%,83.50%
2694,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202251,92.40%,92.70%,11.3,89.70%,92.60%,97.60%,89.10%
3061,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202251,78.20%,73.50%,18.4,86.50%,80.10%,66.20%,78.40%
5150,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202251,87.90%,96.40%,11.8,86.30%,90.40%,88.90%,84.80%
5927,,Scheduled Delivery Standard,35,Executive Review,Recovering,Store Focus,202251,92.60%,88.60%,12.6,94.00%,92.20%,95.30%,86.10%
179,,Scheduled Delivery Standard,9,Executive Review,Recovering,Store Focus,202251,93.40%,86.80%,10.4,94.90%,97.20%,98.70%,80.00%
29,,Scheduled Delivery Standard,11,Executive Review,Degrading,Store Focus,202251,92.50%,92.20%,10.2,89.00%,91.50%,96.20%,95.60%
80,,Scheduled Delivery Standard,29,Executive Review,Recovering,Store Focus,202251,93.30%,86.80%,8.2,91.70%,95.50%,95.40%,87.20%
234,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202251,94.30%,90.10%,13,97.50%,95.50%,94.60%,87.40%
560,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202251,94.70%,87.30%,12,94.00%,96.00%,97.70%,88.20%
1094,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202251,92.00%,86.90%,10.6,94.90%,92.90%,91.10%,86.60%
1151,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202251,91.10%,94.50%,11,97.00%,94.20%,91.70%,79.60%
2855,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202251,83.40%,68.10%,13.8,79.60%,80.60%,93.30%,79.90%
2955,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202251,92.20%,82.50%,11.9,93.30%,93.40%,91.20%,87.00%
4475,,Scheduled Delivery Standard,10,Executive Review,Recovering,Store Focus,202251,95.20%,92.40%,13.7,98.00%,95.30%,96.10%,89.20%
4611,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202251,94.70%,92.30%,10.8,96.20%,97.00%,97.10%,88.00%
2442,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202251,90.90%,77.30%,10.8,94.30%,91.80%,94.90%,81.80%
6172,,Scheduled Delivery Standard,18,Executive Review,Recovering,Store Focus,202251,87.50%,72.30%,12,91.10%,90.90%,90.50%,75.70%
6500,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202251,90.80%,74.90%,8.3,94.20%,95.20%,94.20%,78.10%
5421,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202251,79.60%,59.50%,10,84.30%,86.40%,91.00%,45.30%
5427,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202251,91.90%,78.00%,9.6,95.70%,97.90%,97.90%,68.80%
2417,,Scheduled Delivery Standard,9,Executive Review,Recovering,Store Focus,202251,90.40%,83.70%,8.9,95.10%,96.00%,94.60%,73.80%
2545,,Scheduled Delivery Standard,18,Executive Review,Recovering,Store Focus,202251,91.90%,83.60%,15.4,95.30%,93.70%,85.90%,93.00%
1955,,Scheduled Delivery Standard,34,Executive Review,Recovering,Store Focus,202251,89.10%,94.60%,13,94.60%,89.10%,91.80%,77.10%
5398,,Scheduled Delivery Standard,23,Executive Review,Degrading,Store Focus,202251,85.70%,82.60%,13.9,84.90%,86.90%,85.40%,85.40%
982,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202251,86.30%,86.30%,8.5,88.10%,76.40%,89.70%,96.00%
1657,,Scheduled Delivery Express,13,Executive Review,Degrading,Store Focus,202251,83.90%,48.50%,12.4,88.90%,83.30%,83.30%,75.00%
1657,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202251,77.00%,79.90%,9.8,85.00%,61.80%,73.90%,92.50%
1971,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202251,80.20%,67.00%,16.1,87.80%,68.20%,79.90%,85.00%
2668,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202251,90.70%,86.20%,16.1,93.20%,90.80%,90.90%,87.70%
1669,,Scheduled Delivery Standard,7,Executive Review,Degrading,Store Focus,202251,86.20%,76.80%,12,86.10%,89.60%,86.10%,82.20%
1828,,Scheduled Delivery Express,12,Executive Review,Recovering,Store Focus,202251,94.40%,77.70%,10.8,100.00%,95.70%,90.90%,88.20%
1453,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202251,90.90%,85.70%,10.2,98.80%,98.60%,97.20%,72.40%
1138,,Scheduled Delivery Standard,22,Executive Review,Recovering,Store Focus,202251,76.30%,64.20%,12,91.90%,87.30%,74.30%,51.60%
1176,,Scheduled Delivery Standard,10,Executive Review,Recovering,Store Focus,202251,92.30%,87.70%,9.3,98.10%,95.00%,89.20%,85.50%
1267,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202251,92.20%,79.80%,10.7,94.40%,96.60%,92.00%,83.10%
1305,,Scheduled Delivery Standard,7,Executive Review,Recovering,Store Focus,202251,93.40%,90.20%,10.8,97.70%,96.90%,90.50%,87.40%
1396,,Scheduled Delivery Standard,7,Executive Review,Recovering,Store Focus,202251,93.20%,76.90%,11.4,93.90%,94.10%,95.40%,88.80%
3857,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202251,80.80%,69.20%,12.5,87.80%,80.80%,84.60%,65.20%
1515,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202251,80.80%,72.10%,13.1,76.50%,86.30%,90.90%,66.70%
1635,,Scheduled Delivery Standard,7,Executive Review,Recovering,Store Focus,202251,90.80%,88.20%,11.4,94.70%,93.00%,95.80%,78.50%
2936,,Scheduled Delivery Standard,11,Executive Review,Degrading,Store Focus,202251,82.20%,81.00%,16.4,84.80%,79.60%,85.60%,77.50%
1012,,Scheduled Delivery Express,39,Executive Review,Recovering,Store Focus,202251,75.00%,84.30%,8.7,100.00%,71.40%,61.50%,77.80%
1276,,Scheduled Delivery Standard,7,Executive Review,Recovering,Store Focus,202251,92.40%,81.90%,11.7,98.00%,97.40%,97.30%,74.20%
2452,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202251,92.40%,96.10%,10.2,94.80%,95.60%,93.40%,84.70%
5438,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202251,80.10%,81.30%,19.1,88.50%,85.70%,76.50%,68.90%
6394,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202251,78.70%,70.40%,17.9,76.00%,77.90%,84.00%,76.40%
2426,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202251,91.50%,88.30%,12.6,86.20%,94.90%,94.20%,90.50%
2774,,Scheduled Delivery Standard,7,Executive Review,Recovering,Store Focus,202251,91.70%,90.90%,10.9,96.60%,95.20%,88.80%,83.90%
3812,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202251,91.70%,97.50%,10.4,95.10%,95.80%,96.10%,76.50%
5185,,Scheduled Delivery Standard,9,Executive Review,Recovering,Store Focus,202251,91.60%,97.40%,13.9,96.70%,93.10%,96.30%,75.70%
1564,,Scheduled Delivery Standard,24,Executive Review,Recovering,Store Focus,202251,83.30%,95.50%,12.4,90.30%,85.20%,85.30%,70.90%
2400,,Scheduled Delivery Standard,7,Executive Review,Recovering,Store Focus,202251,91.10%,88.90%,10.4,94.50%,95.20%,97.20%,72.80%
3515,,Scheduled Delivery Express,10,Executive Review,Recovering,Store Focus,202251,91.70%,89.50%,11.2,100.00%,87.50%,100.00%,77.80%
2726,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202251,87.40%,90.10%,14.4,95.10%,94.80%,95.20%,54.30%
3447,,Scheduled Delivery Express,11,Executive Review,Recovering,Store Focus,202251,96.20%,68.60%,16,97.90%,98.20%,99.20%,89.70%
3447,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202251,77.50%,87.40%,15.6,86.30%,93.20%,92.50%,29.00%
5466,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202251,92.80%,97.20%,13.4,94.60%,93.90%,95.30%,80.60%
1407,,Scheduled Delivery Standard,9,Executive Review,Recovering,Store Focus,202251,81.60%,87.30%,10.8,95.70%,81.90%,91.90%,53.50%
1441,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202251,91.80%,82.90%,12.8,93.80%,95.90%,89.40%,87.10%
1463,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202251,93.30%,90.80%,10.7,95.80%,96.50%,94.10%,86.30%
1503,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202251,86.00%,89.00%,14.1,94.10%,93.70%,91.30%,61.50%
3571,,Scheduled Delivery Express,11,Executive Review,Recovering,Store Focus,202251,95.60%,63.80%,14.5,98.40%,95.50%,100.00%,88.00%
3571,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202251,85.30%,87.30%,12.4,97.30%,87.60%,89.80%,56.00%
5104,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202251,85.70%,85.80%,15,90.20%,88.30%,90.70%,67.80%
