Region Number,Market Number,Store Number,Item Description,Over Shipped Qty
42,324,126,WAL VEST PETE XL WMN BLU,80
42,324,126,WAL VEST PETE 2XL WMN BLU,81
44,347,130,WAL VEST PETE XL WMN BLU,88
44,347,130,WAL VEST PETE 2XL WMN BLU,89
11,144,175,WAL VEST PETE 2XL WMN BLU,12
11,144,175,WAL VEST PETE 2XL WMN BLU,120
13,503,249,WAL VEST PETE 2XL WMN BLU,141
11,147,393,WAL VEST PETE XL WMN BLU,21
11,147,393,WAL VEST PETE 2XL WMN BLU,20
47,429,637,WAL VEST PETE XL WMN BLU,52
40,339,648,WAL VEST PETE 2XL WMN BLU,82
12,120,658,WAL VEST PETE XS WMN BLU,103
12,120,658,WAL VEST PETE XL WMN BLU,105
12,120,658,WAL VEST PETE 2XL WMN BLU,104
12,153,659,WAL VEST PETE XL WMN BLU,93
12,153,659,WAL VEST PETE 2XL WMN BLU,94
3,101,767,WAL VEST PETE XS WMN BLU,19
3,101,767,WAL VEST PETE XS WMN BLU,68
3,101,767,WAL VEST PETE 2XL WMN BLU,28
3,101,767,WAL VEST PETE 2XL WMN BLU,58
6,65,768,WAL VEST PETE XS WMN BLU,25
6,65,768,WAL VEST PETE XS WMN BLU,51
6,65,768,WAL VEST PETE XL WMN BLU,77
6,65,768,WAL VEST PETE 2XL WMN BLU,35
6,65,768,WAL VEST PETE 2XL WMN BLU,40
41,482,923,WAL VEST PETE XL WMN BLU,55
41,482,923,WAL VEST PETE XL WMN BLU,60
40,339,1021,WAL VEST PETE XL WMN BLU,30
40,339,1021,WAL VEST PETE XL WMN BLU,49
42,325,1065,WAL VEST PETE XS WMN BLU,97
42,325,1065,WAL VEST PETE XL WMN BLU,15
42,325,1065,WAL VEST PETE XL WMN BLU,83
42,325,1065,WAL VEST PETE 2XL WMN BLU,99
3,101,1083,WAL VEST PETE XS WMN BLU,16
3,101,1083,WAL VEST PETE XL WMN BLU,15
3,101,1083,WAL VEST PETE 2XL WMN BLU,14
3,104,1085,WAL VEST PETE XL WMN BLU,95
6,85,1150,WAL VEST PETE 2XL WMN BLU,161
13,125,1163,WAL VEST PETE XS WMN BLU,69
13,125,1163,WAL VEST PETE XL WMN BLU,70
13,125,1163,WAL VEST PETE 2XL WMN BLU,71
40,340,1177,WAL VEST PETE XS WMN BLU,126
40,340,1177,WAL VEST PETE XL WMN BLU,127
52,426,1332,WAL VEST PETE XS WMN BLU,19
52,426,1332,WAL VEST PETE XL WMN BLU,18
52,426,1332,WAL VEST PETE 2XL WMN BLU,17
53,441,1396,WAL VEST PETE 2XL WMN BLU,116
19,204,1422,WAL VEST PETE XS WMN BLU,63
19,204,1422,WAL VEST PETE XL WMN BLU,64
19,204,1422,WAL VEST PETE 2XL WMN BLU,62
54,403,1440,WAL VEST PETE XS WMN BLU,112
54,403,1440,WAL VEST PETE 2XL WMN BLU,111
26,309,1452,WAL VEST PETE XS WMN BLU,53
26,309,1452,WAL VEST PETE XS WMN BLU,66
26,309,1452,WAL VEST PETE XL WMN BLU,120
26,309,1452,WAL VEST PETE 2XL WMN BLU,10
26,309,1452,WAL VEST PETE 2XL WMN BLU,111
41,251,1629,WAL VEST PETE 2XL WMN BLU,24
41,251,1629,WAL VEST PETE 2XL WMN BLU,141
56,453,1704,WAL VEST PETE XL WMN BLU,41
19,203,1754,WAL VEST PETE XL WMN BLU,63
53,441,1799,WAL VEST PETE 2XL WMN BLU,180
22,558,1807,WAL VEST PETE XL WMN BLU,78
57,394,1838,WAL VEST PETE 2XL WMN BLU,100
29,811,1854,WAL VEST PETE XL WMN BLU,25
29,811,1854,WAL VEST PETE XL WMN BLU,30
20,215,1894,WAL VEST PETE XL WMN BLU,15
20,215,1894,WAL VEST PETE XL WMN BLU,52
20,215,1894,WAL VEST PETE 2XL WMN BLU,68
75,290,1969,WAL VEST PETE 2XL WMN BLU,146
16,154,1984,WAL VEST PETE 2XL WMN BLU,169
16,160,2021,WAL VEST PETE XS WMN BLU,83
16,160,2021,WAL VEST PETE XL WMN BLU,85
16,160,2021,WAL VEST PETE 2XL WMN BLU,84
56,453,2048,WAL VEST PETE XS WMN BLU,53
60,469,2070,WAL VEST PETE 2XL WMN BLU,40
3,111,2081,WAL VEST PETE 2XL WMN BLU,150
57,465,2110,WAL VEST PETE XS WMN BLU,8
57,465,2110,WAL VEST PETE XS WMN BLU,35
57,465,2110,WAL VEST PETE XL WMN BLU,42
57,465,2110,WAL VEST PETE 2XL WMN BLU,12
57,465,2110,WAL VEST PETE 2XL WMN BLU,32
16,156,2155,WAL VEST PETE XL WMN BLU,15
16,156,2155,WAL VEST PETE XL WMN BLU,75
22,178,2195,WAL VEST PETE XS WMN BLU,79
22,178,2195,WAL VEST PETE XL WMN BLU,122
22,178,2195,WAL VEST PETE 2XL WMN BLU,124
57,484,2251,WAL VEST PETE XS WMN BLU,46
57,484,2251,WAL VEST PETE XL WMN BLU,13
57,484,2251,WAL VEST PETE XL WMN BLU,34
57,484,2251,WAL VEST PETE 2XL WMN BLU,45
22,285,2272,WAL VEST PETE XS WMN BLU,21
22,285,2272,WAL VEST PETE XS WMN BLU,87
22,285,2272,WAL VEST PETE XL WMN BLU,1
22,285,2272,WAL VEST PETE XL WMN BLU,109
22,285,2272,WAL VEST PETE 2XL WMN BLU,24
22,285,2272,WAL VEST PETE 2XL WMN BLU,85
29,811,2302,WAL VEST PETE XS WMN BLU,54
53,196,2338,WAL VEST PETE 2XL WMN BLU,154
53,196,2417,WAL VEST PETE 2XL WMN BLU,183
22,285,2460,WAL VEST PETE XL WMN BLU,59
22,285,2460,WAL VEST PETE 2XL WMN BLU,60
22,285,2514,WAL VEST PETE 2XL WMN BLU,133
57,446,2526,WAL VEST PETE 2XL WMN BLU,1
57,446,2526,WAL VEST PETE 2XL WMN BLU,112
16,156,2629,WAL VEST PETE XS WMN BLU,118
16,156,2629,WAL VEST PETE XL WMN BLU,15
16,156,2629,WAL VEST PETE XL WMN BLU,102
76,231,2664,WAL VEST PETE 2XL WMN BLU,162
54,380,2751,WAL VEST PETE XS WMN BLU,49
54,380,2751,WAL VEST PETE XL WMN BLU,50
54,380,2751,WAL VEST PETE 2XL WMN BLU,51
4,42,2806,WAL VEST PETE 2XL WMN BLU,157
16,159,2904,WAL VEST PETE 2XL WMN BLU,145
53,439,2986,WAL VEST PETE 2XL WMN BLU,114
7,83,3169,WAL VEST PETE 2XL WMN BLU,96
47,383,3259,WAL VEST PETE 2XL WMN BLU,34
47,383,3259,WAL VEST PETE 2XL WMN BLU,129
44,352,3430,WAL VEST PETE 2XL WMN BLU,147
57,470,3478,WAL VEST PETE XS WMN BLU,48
53,441,3505,WAL VEST PETE XS WMN BLU,61
56,455,3587,WAL VEST PETE XS WMN BLU,101
56,455,3587,WAL VEST PETE 2XL WMN BLU,102
58,462,3796,WAL VEST PETE 2XL WMN BLU,13
58,462,3796,WAL VEST PETE 2XL WMN BLU,157
59,496,3899,WAL VEST PETE 2XL WMN BLU,30
