Store Number,150lb,300lb,400lb
3,12,4,4
174,0,2,2
355,6,4,4
459,12,4,4
488,0,4,3
494,6,4,4
510,12,4,4
514,0,0,2
518,12,6,4
520,0,6,6
548,0,4,4
551,6,4,4
555,12,4,4
556,0,4,2
575,6,4,4
579,0,4,2
588,6,4,4
593,6,4,2
594,0,2,2
604,0,0,2
605,0,4,4
606,0,0,2
613,0,0,2
614,6,4,4
615,0,4,4
616,0,0,2
618,0,4,4
639,0,0,2
649,0,0,3
666,0,0,2
686,6,4,2
722,12,4,4
723,0,4,2
726,12,4,4
733,0,4,4
734,0,2,3
740,0,4,3
745,0,2,2
754,0,4,4
758,0,4,4
767,0,4,4
778,6,2,2
780,12,4,4
795,0,2,3
811,0,2,3
836,0,4,4
843,0,0,3
855,0,0,2
856,6,4,4
857,0,0,2
858,0,4,4
860,0,4,3
862,0,0,3
863,0,4,2
864,6,4,2
878,6,4,4
889,0,2,3
899,0,2,2
907,12,4,4
919,0,4,4
928,6,4,2
932,0,4,4
938,0,0,2
944,0,4,4
952,6,4,2
960,0,0,2
988,0,0,2
1006,0,4,4
1011,0,4,4
1018,6,4,2
1024,6,4,2
1029,0,0,2
1032,0,4,2
1061,0,0,2
1063,0,0,2
1068,0,0,2
1072,6,4,4
1077,0,0,3
1079,0,4,2
1082,0,4,4
1083,0,0,3
1087,0,0,2
1091,0,4,4
1104,0,4,4
1121,12,6,4
1134,0,4,4
1143,0,4,4
1153,0,4,3
1205,12,4,2
1207,0,0,2
1223,0,0,2
1227,0,4,2
1270,0,0,2
1283,6,4,4
1284,0,4,4
1297,12,4,4
1311,6,4,4
1314,6,4,4
1338,6,0,2
1358,0,0,2
1363,12,6,4
1367,0,0,3
1375,6,4,4
1383,0,4,2
1400,12,4,4
1403,12,4,4
1408,0,0,2
1462,6,4,2
1488,0,4,4
1578,6,4,4
1638,0,4,2
1658,6,4,4
1702,0,0,2
1720,0,0,2
1748,0,4,2
1847,0,0,2
2114,0,4,4
2348,0,4,4
2513,12,4,4
2534,0,0,2
2626,6,4,4
2630,6,4,4
2732,6,4,4
2733,6,4,4
2754,0,4,4
2811,12,6,4
2832,0,0,2
2860,0,4,4
2890,0,4,4
2920,0,4,4
2941,6,4,4
3075,6,0,2
3307,0,4,4
3308,0,4,2
3310,6,4,4
3402,0,4,4
3403,12,4,4
3471,0,4,4
3526,0,0,2
3570,12,4,4
3609,0,0,2
3611,0,4,4
3627,6,4,4
3702,6,0,2
3748,6,4,4
3750,6,4,4
3786,0,4,2
3874,12,4,4
3877,0,0,2
3887,0,0,2
4185,0,0,3
4200,6,4,4
4283,0,4,4
4368,0,0,3
4436,6,4,4
4487,0,4,2
4520,0,0,3
4558,0,4,4
4616,12,4,4
5037,0,0,3
5172,6,4,6
5252,6,4,4
5275,12,4,4
5326,0,0,2
5363,0,4,4
5392,0,4,2
5422,0,6,4
5455,0,2,2
5482,12,6,4
5709,6,4,4
5735,0,4,4
5797,0,4,4
5814,6,4,4
6190,0,2,2
6576,6,4,4
6978,0,0,3
7181,0,0,3
7185,6,4,4
7194,0,0,2
7245,0,4,4
1288,6,4,2
1568,0,6,4
1794,6,4,4
2528,6,2,1
2705,6,4,1
1,0,2,2
2,12,4,2
10,6,4,4
13,0,2,1
16,6,2,2
17,0,4,2
20,0,0,1
22,6,4,2
26,0,0,1
28,0,2,2
31,0,2,2
34,0,0,1
35,0,0,1
39,6,4,2
41,0,2,2
42,0,0,2
47,6,4,4
49,6,2,4
50,0,2,1
54,0,0,1
55,0,2,2
59,0,0,1
61,0,0,1
66,6,4,4
67,6,2,2
72,0,0,1
73,0,2,2
77,0,0,1
79,0,2,2
87,6,2,2
90,6,2,2
96,0,2,2
100,6,2,0
103,6,4,4
108,6,4,4
111,0,0,4
116,0,2,2
121,6,2,2
123,6,4,4
125,0,2,2
129,0,2,2
130,6,2,2
131,0,0,1
134,6,0,2
136,0,2,2
137,0,2,2
139,6,4,4
140,6,4,2
141,0,4,2
144,0,2,2
146,0,2,3
147,0,2,3
148,6,4,2
150,0,2,2
151,6,2,2
158,0,2,2
162,0,2,2
163,6,4,4
165,6,4,4
168,0,2,2
178,0,2,2
180,6,2,2
181,6,4,2
186,0,2,2
195,0,2,2
207,0,2,2
211,0,2,2
212,0,2,2
214,6,2,2
221,0,2,2
225,6,4,4
226,12,4,2
227,0,2,2
228,0,2,2
230,0,2,2
231,6,4,4
232,6,4,4
234,0,2,2
236,0,2,2
242,0,2,2
246,6,4,4
247,6,2,2
248,6,4,2
249,6,4,2
251,0,2,2
267,0,0,3
271,0,4,3
275,0,2,2
276,6,4,4
277,0,2,2
278,6,2,2
280,0,2,2
285,0,2,2
288,6,2,2
290,6,0,1
297,0,2,3
320,0,0,1
322,0,2,2
324,6,4,4
340,0,2,2
345,6,4,4
346,0,0,1
353,6,4,2
358,6,2,2
360,0,2,2
364,6,4,2
368,6,4,2
369,0,2,2
370,0,2,2
371,6,0,1
373,6,2,4
374,6,2,2
376,0,2,2
378,0,2,2
383,6,4,2
387,0,4,2
388,6,2,1
389,12,6,4
392,0,2,2
398,0,2,2
399,6,4,2
412,0,2,2
414,6,4,2
417,6,4,2
419,0,2,2
420,0,2,2
421,6,4,2
438,0,2,2
440,0,0,2
442,0,0,2
443,0,0,2
447,6,4,2
448,0,0,2
465,0,2,2
472,0,2,2
476,6,4,2
482,0,0,1
484,0,2,2
486,0,0,2
499,0,0,1
508,0,2,2
513,0,2,2
517,0,2,2
523,6,4,2
527,0,2,2
536,12,2,2
544,6,2,2
557,0,2,2
561,0,2,2
564,0,2,2
567,0,2,1
572,0,2,2
600,0,0,2
601,0,2,2
607,0,0,2
622,0,2,2
626,6,0,0
664,0,0,1
703,0,2,2
743,0,2,2
755,0,0,1
781,0,2,2
782,6,6,6
791,6,4,2
804,0,6,4
813,0,2,3
823,0,2,3
827,0,2,2
838,0,2,2
846,0,0,2
900,0,0,2
901,0,0,2
917,0,2,2
918,6,4,4
963,6,4,2
975,6,4,4
978,0,2,2
1042,0,0,2
1043,6,4,4
1044,0,2,2
1046,0,0,2
1073,6,2,2
1078,0,0,2
1116,6,4,4
1126,0,6,2
1147,0,2,2
1148,0,2,2
1154,6,4,2
1186,6,4,3
1187,6,2,2
1221,0,4,2
1232,0,4,3
1249,0,2,3
1257,0,2,3
1272,0,2,2
