Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
781,SPARK,Scheduled Standard Delivery,45,Executive Review,Recovering,Driver Supply Focus,202407,87.20%,98.40%,7.4,91.70%,84.40%,87.70%,84.50%
63,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202407,91.10%,99.00%,7.3,92.60%,91.70%,88.10%,91.60%
111,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202407,90.70%,94.90%,9,98.50%,81.00%,90.00%,93.70%
38,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202407,88.20%,99.10%,6.7,88.10%,87.00%,89.60%,88.50%
3167,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202407,87.50%,93.50%,9.4,92.00%,81.00%,88.40%,88.50%
3106,UBER,Scheduled Standard Delivery,15,Executive Review,Recovering,Driver Supply Focus,202407,94.20%,92.30%,9.6,97.30%,88.90%,97.30%,93.60%
5145,UBER,Scheduled Standard Delivery,16,Executive Review,Recovering,Driver Supply Focus,202407,91.80%,97.70%,6.5,93.50%,85.40%,92.90%,95.20%
482,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202407,90.30%,100.00%,4.1,86.50%,97.20%,90.70%,86.20%
5959,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202407,87.30%,98.50%,7.7,88.90%,86.90%,86.10%,87.50%
293,SPARK,Scheduled Standard Delivery,34,Executive Review,Recovering,Driver Supply Focus,202407,93.40%,98.90%,3.6,95.80%,100.00%,90.00%,83.30%
567,SPARK,Scheduled Standard Delivery,35,Executive Review,Degrading,Driver Supply Focus,202407,66.70%,100.00%,5.2,70.00%,80.00%,44.40%,70.00%
2515,UBER,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202407,90.40%,98.20%,9.1,89.20%,88.00%,94.10%,89.70%
4053,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202407,87.60%,94.00%,9,86.40%,86.60%,92.80%,84.70%
5804,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202407,91.10%,89.90%,7.5,88.40%,,100.00%,91.30%
1783,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202407,91.80%,96.60%,9.4,97.20%,93.30%,87.00%,89.30%
493,SPARK,Scheduled Standard Delivery,8,Executive Review,Recovering,Driver Supply Focus,202407,86.40%,96.20%,8.9,90.30%,89.10%,84.00%,82.00%
2783,UBER,Scheduled Standard Delivery,30,Executive Review,Recovering,Driver Supply Focus,202407,94.70%,96.20%,9.7,94.40%,97.10%,87.50%,100.00%
4450,UBER,Scheduled Standard Delivery,15,Executive Review,Recovering,Driver Supply Focus,202407,91.50%,96.00%,8,90.80%,94.80%,87.10%,93.30%
2080,UBER,Scheduled Standard Delivery,10,At Risk,Degrading,Driver Supply Focus,202407,87.40%,94.40%,9.1,77.30%,87.00%,90.50%,95.20%
2350,SPARK,Scheduled Standard Delivery,7,Active Monitoring,Recovering,Driver Supply Focus,202407,92.60%,98.00%,9.2,93.70%,96.30%,89.90%,90.30%
1429,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202407,82.60%,98.80%,8.9,84.70%,85.90%,77.30%,82.90%
1423,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202407,95.50%,96.40%,7.3,97.50%,96.80%,89.20%,98.20%
1432,SPARK,Scheduled Standard Delivery,42,Executive Review,Recovering,Driver Supply Focus,202407,91.80%,97.80%,8.6,95.80%,92.80%,90.30%,88.30%
2354,SPARK,Scheduled Standard Delivery,29,Executive Review,Degrading,Driver Supply Focus,202407,88.50%,91.10%,8.9,83.40%,85.60%,93.80%,90.30%
