Store Number,Affected
3,515
4,515
7,515
9,515
10,515
11,515
15,515
20,515
22,515
24,515
25,515
28,515
34,515
36,515
39,515
40,515
43,515
47,515
58,515
64,515
70,515
73,515
79,515
80,515
83,515
89,515
91,515
93,515
94,515
96,515
97,515
102,515
103,515
107,515
110,515
111,515
112,515
113,515
114,515
115,515
116,515
120,515
124,515
126,515
128,515
134,515
135,515
139,515
140,515
141,515
144,515
148,515
150,515
162,515
164,515
165,515
167,515
168,515
170,515
181,515
182,515
185,515
186,515
190,515
192,515
194,515
195,515
199,515
204,515
205,515
220,515
224,515
227,515
231,515
234,515
237,515
238,515
243,515
248,515
249,515
253,515
254,515
259,515
260,515
261,515
265,515
267,515
269,515
272,515
278,515
282,515
294,515
299,515
300,515
301,515
304,515
306,515
307,515
308,515
309,515
314,515
315,515
316,515
321,515
323,515
329,515
331,515
332,515
335,515
344,515
347,515
350,515
356,515
357,515
359,515
363,515
365,515
366,515
368,515
369,515
371,515
372,515
374,515
376,515
381,515
382,515
383,515
386,515
389,515
391,515
393,515
394,515
399,515
400,515
402,515
403,515
404,515
406,515
407,515
408,515
409,515
410,515
413,515
416,515
423,515
428,515
431,515
433,515
434,515
438,515
440,515
442,515
448,515
450,515
451,515
458,515
462,515
463,515
465,515
467,515
468,515
470,515
471,515
475,515
476,515
477,515
479,515
483,515
490,515
492,515
493,515
494,515
495,515
499,515
500,515
501,515
502,515
504,515
508,515
511,515
512,515
513,515
514,515
515,515
521,515
522,515
526,515
528,515
529,515
530,515
531,515
532,515
533,515
535,515
536,515
540,515
542,515
543,515
544,515
548,515
549,515
551,515
553,515
555,515
556,515
557,515
559,515
560,515
564,515
565,515
569,515
572,515
574,515
579,515
581,515
583,515
584,515
585,515
586,515
588,515
589,515
591,515
592,515
593,515
594,515
599,515
600,515
601,515
604,515
605,515
608,515
612,515
614,515
615,515
621,515
622,515
623,515
624,515
625,515
627,515
629,515
631,515
634,515
635,515
638,515
639,515
640,515
641,515
642,515
643,515
644,515
645,515
651,515
652,515
653,515
655,515
656,515
659,515
660,515
661,515
662,515
663,515
664,515
665,515
666,515
667,515
668,515
669,515
671,515
672,515
674,515
675,515
680,515
681,515
684,515
687,515
689,515
690,515
694,515
697,515
698,515
699,515
703,515
706,515
707,515
709,515
710,515
711,515
712,515
719,515
721,515
724,515
726,515
728,515
729,515
736,515
737,515
738,515
739,515
742,515
743,515
745,515
746,515
749,515
753,515
754,515
