Store Number,Tracking Number,Ship date ,Status ,Delivered date,Service type 
1513,391049245152,7/21/2025,Delivered,7/24/2025,FedEx Ground
2069,391049245244,7/21/2025,On the way,,FedEx Ground
725,391049245391,7/21/2025,Delivered,7/24/2025,FedEx Ground
556,391049245450,7/21/2025,Delivered,7/24/2025,FedEx Ground
4224,391049245472,7/21/2025,Out for delivery,,FedEx Ground
3947,391049245509,7/21/2025,Out for delivery,,FedEx Ground
1841,391049245873,7/21/2025,Out for delivery,,FedEx Ground
1831,391049246240,7/21/2025,Out for delivery,,FedEx Ground
4237,391049246332,7/21/2025,Out for delivery,,FedEx Ground
5814,391049246343,7/21/2025,Out for delivery,,FedEx Ground
2334,391049246376,7/21/2025,Out for delivery,,FedEx Ground
1362,391049246869,7/21/2025,Out for delivery,,FedEx Ground
3188,391049247144,7/21/2025,Delivered,7/23/2025,FedEx Ground
4501,391049247339,7/21/2025,Delivered,7/23/2025,FedEx Ground
1511,391049247692,7/21/2025,Out for delivery,,FedEx Ground
1651,391049247800,7/21/2025,Out for delivery,,FedEx Ground
2612,391049249743,7/21/2025,Out for delivery,,FedEx Ground
2112,391049252132,7/21/2025,Out for delivery,,FedEx Ground
2821,391049252588,7/21/2025,Out for delivery,,FedEx Ground
2402,391049252740,7/21/2025,On the way,,FedEx Ground
3053,391049253850,7/21/2025,On the way,,FedEx Ground
2791,391049257123,7/21/2025,Out for delivery,,FedEx Ground
2446,391049257498,7/21/2025,Out for delivery,,FedEx Ground
2496,391049257991,7/21/2025,Out for delivery,,FedEx Ground
5070,391049265430,7/21/2025,Delivery updated,,FedEx Ground
2740,391049266161,7/21/2025,Out for delivery,,FedEx Ground
727,391049266301,7/21/2025,Delivered,7/23/2025,FedEx Ground
3219,391049266850,7/21/2025,Out for delivery,,FedEx Ground
787,391049267558,7/21/2025,Out for delivery,,FedEx Ground
1760,391049268186,7/21/2025,Out for delivery,,FedEx Ground
1181,391049269322,7/21/2025,Delivered,7/23/2025,FedEx Ground
3741,391049270050,7/21/2025,Out for delivery,,FedEx Ground
2145,391049270337,7/21/2025,Delivered,7/24/2025,FedEx Ground
5301,391049270598,7/21/2025,Out for delivery,,FedEx Ground
2782,391049271149,7/21/2025,Out for delivery,,FedEx Ground
1442,391049271377,7/21/2025,Out for delivery,,FedEx Ground
5054,391049272189,7/21/2025,Out for delivery,,FedEx Ground
2749,391049272318,7/21/2025,Out for delivery,,FedEx Ground
2000,391049272535,7/21/2025,Out for delivery,,FedEx Ground
5186,391049272855,7/21/2025,Out for delivery,,FedEx Ground
3220,391049272888,7/21/2025,Out for delivery,,FedEx Ground
2564,391049273163,7/21/2025,Out for delivery,,FedEx Ground
4664,391049273244,7/21/2025,Out for delivery,,FedEx Ground
1122,391049273943,7/21/2025,Out for delivery,,FedEx Ground
878,391049274056,7/21/2025,Delivered,7/23/2025,FedEx Ground
3253,391049274148,7/21/2025,Delivered,7/24/2025,FedEx Ground
1600,391049274402,7/21/2025,On the way,,FedEx Ground
5023,391049274446,7/21/2025,On the way,,FedEx Ground
5872,391049275431,7/21/2025,Out for delivery,,FedEx Ground
2218,391049275832,7/21/2025,Out for delivery,,FedEx Ground
2195,391049277066,7/21/2025,Out for delivery,,FedEx Ground
1035,391049277342,7/21/2025,Out for delivery,,FedEx Ground
800,391049278154,7/21/2025,Out for delivery,,FedEx Ground
2796,391049278989,7/21/2025,Out for delivery,,FedEx Ground
1207,391049279356,7/21/2025,Out for delivery,,FedEx Ground
7238,391049279698,7/21/2025,Delivery updated,,FedEx Ground
3712,391049280511,7/21/2025,Out for delivery,,FedEx Ground
2370,391049280647,7/21/2025,Out for delivery,,FedEx Ground
1940,391049280691,7/21/2025,Out for delivery,,FedEx Ground
1901,391049280728,7/21/2025,Out for delivery,,FedEx Ground
3843,391049280772,7/21/2025,Out for delivery,,FedEx Ground
5839,391049281117,7/21/2025,On the way,,FedEx Ground
4274,391049281220,7/21/2025,Delivered,7/24/2025,FedEx Ground
3644,391049281437,7/21/2025,Out for delivery,,FedEx Ground
2520,391049281643,7/21/2025,Out for delivery,,FedEx Ground
2754,391049281779,7/21/2025,Out for delivery,,FedEx Ground
1882,391049281952,7/21/2025,On the way,,FedEx Ground
5489,391049282250,7/21/2025,Delivered,7/24/2025,FedEx Ground
3763,391049282433,7/21/2025,Out for delivery,,FedEx Ground
