,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of LOADS,,DATE,,,,,,,,,,,,,,,,,,,,,,,
DC,BANNER ,3-Mar,4-Mar,5-Mar,6-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,Grand Total
6042,SAMS,0.1,0.1,0.1,0.1,0,0.8,0.8,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0,0,0,0,1.9,0,1.5,0,9
6042,WM,0,0,0,0,0,0,1,0,0,0.9,0,0,1,0.6,0,0,1.9,1.5,0.5,0,0,0,0,7.4
6047,SAMS,0,0,0,0,0,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,1.3,0,1.4,0,4
6047,WM,0,0,0,0,0,1.5,0,0,0,0.5,0.9,0,1.2,1.5,0,0.9,3.4,2.8,0,0,0,0,0,12.7
6055,SAMS,0.1,0.1,0.1,0.1,0,0.6,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0.9,0,1.8,0,0,0,7
6055,WM,0,0,0,0,0,0,0,0,0,0,0.9,0,4.1,0.8,0,0,0.3,1.5,1.9,0,0,0,0,9.5
6056,SAMS,0.1,0.1,0.1,0.1,0,0.6,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,0,1.8,0,1.5,0,7.6
6056,WM,0,0,0,0,0,0,0.5,0,0,1.1,0,0,0.9,0.4,0,0,1.3,0,1.9,0,0,0,0,6.1
6057,SAMS,0.1,0.1,0.1,0.1,0,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0.9,0,0.4,0,0,4.3
6057,WM,0,0,0,0,0,1,0,0,0,0,1.4,0,1.3,1,0,0.6,1.7,0,3.8,0,0,0,0,10.8
6059,SAMS,0.1,0.1,0.1,0.1,0,0.6,0.6,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,0,0,2.1,0,1.6,0,0,8
6059,WM,0,0,0,0,1.1,0,0,0,0,0,0.9,0.1,0,1.6,1,0.1,1.5,1.8,0,0,0,0,0,8.1
6062,WM,0,0,0,0,0.5,0,0.6,0,0,0.5,0.9,0,0,3.3,0.5,0,1.9,0,6.6,0,0,0,0,14.8
6064,WM,0,0,0,0,0,0.3,0.7,0,0,0.4,1.1,0,1.4,0.8,0,0.2,4.1,0,1.8,0,0,0,0,10.8
6065,SAMS,0.1,0.1,0.1,0.1,0,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,1.6,0,1.6,0,6.5
6065,WM,0,0,0,0,0,1.1,0,0,0,0,1.3,0,1.5,0,0,0,2.3,0,1.2,0,0,0,0,7.4
6071,WM,0,0,0,0,0,0,0,0,0,0.7,0.6,0,0,1.9,0,0,4.1,0,4.5,0,0,0,0,11.8
6072,WM,0,0,0,0,0,1.3,0,0,0,0.5,0.9,0,0,3.3,0,0.5,1.6,1.8,3.8,0,0,0,0,13.7
