Store,City,State,Battery Supplier ,Effective Week
1,ROGERS,AR,CLARIOS,37
2,HARRISON,AR,CLARIOS,37
3,COMMERCE,GA,CLARIOS,37
4,SILOAM SPRINGS,AR,CLARIOS,37
5,CONWAY,AR,CLARIOS,37
7,SHERWOOD,AR,CLARIOS,37
8,MORRILTON,AR,CLARIOS,37
9,SIKESTON,MO,CLARIOS,37
10,TAHLEQUAH,OK,ELLIOTT AUTO,37
11,MOUNTAIN HOME,AR,CLARIOS,37
12,CLAREMORE,OK,ELLIOTT AUTO,37
13,CARTHAGE,MO,CLARIOS,37
14,LEBANON,MO,CLARIOS,37
15,WEST PLAINS,MO,CLARIOS,37
16,VAN BUREN,AR,CLARIOS,37
17,NEOSHO,MO,CLARIOS,37
18,NEWPORT,AR,CLARIOS,37
19,POPLAR BLUFF,MO,CLARIOS,37
20,CLINTON,MO,CLARIOS,37
21,SAINT ROBERT,MO,CLARIOS,37
22,PRYOR,OK,ELLIOTT AUTO,37
23,RUSTON,LA,CLARIOS,37
24,JACKSONVILLE,AR,CLARIOS,37
25,MEXICO,MO,CLARIOS,37
26,LEAVENWORTH,KS,ELLIOTT AUTO,37
27,SALEM,MO,CLARIOS,37
28,MIAMI,OK,ELLIOTT AUTO,37
29,JEFFERSON CITY,MO,CLARIOS,37
30,DEXTER,MO,CLARIOS,37
31,POTEAU,OK,ELLIOTT AUTO,37
32,BRANSON,MO,CLARIOS,37
33,NASHVILLE,AR,CLARIOS,37
34,NEVADA,MO,CLARIOS,37
35,MANHATTAN,KS,ELLIOTT AUTO,37
36,PARAGOULD,AR,CLARIOS,37
37,FARMINGTON,MO,CLARIOS,37
38,IDABEL,OK,ELLIOTT AUTO,37
39,FORT SCOTT,KS,ELLIOTT AUTO,37
40,MOBERLY,MO,CLARIOS,37
41,BARTLESVILLE,OK,ELLIOTT AUTO,37
42,COFFEYVILLE,KS,ELLIOTT AUTO,37
43,JUNCTION CITY,KS,ELLIOTT AUTO,37
44,ELDON,MO,CLARIOS,37
45,JONESBORO,AR,CLARIOS,37
46,BOLIVAR,MO,CLARIOS,37
47,SALLISAW,OK,ELLIOTT AUTO,37
48,MONETT,MO,CLARIOS,37
49,HUGO,OK,ELLIOTT AUTO,37
50,VINITA,OK,ELLIOTT AUTO,37
51,FULTON,MO,CLARIOS,37
52,HOT SPRINGS,AR,CLARIOS,37
54,SPRINGDALE,AR,CLARIOS,37
55,BOONEVILLE,AR,CLARIOS,37
56,AVA,MO,CLARIOS,37
57,WALNUT RIDGE,AR,CLARIOS,37
58,RUSSELLVILLE,AR,CLARIOS,37
59,JOPLIN,MO,CLARIOS,37
60,TROY,MO,CLARIOS,37
61,WARRENSBURG,MO,CLARIOS,37
62,BLYTHEVILLE,AR,CLARIOS,37
63,WAGONER,OK,ELLIOTT AUTO,37
64,BROWNSVILLE,TN,CLARIOS,37
65,SULLIVAN,MO,CLARIOS,37
66,CLARKSVILLE,AR,CLARIOS,37
67,MENA,AR,CLARIOS,37
68,WYNNE,AR,CLARIOS,37
69,FESTUS,MO,CLARIOS,37
70,WEST MEMPHIS,AR,CLARIOS,37
71,POCAHONTAS,AR,CLARIOS,37
72,PITTSBURG,KS,ELLIOTT AUTO,37
73,SAPULPA,OK,ELLIOTT AUTO,37
74,OSCEOLA,AR,CLARIOS,37
75,PINEVILLE,LA,CLARIOS,37
76,BERRYVILLE,AR,CLARIOS,37
77,TAYLOR,TX,CLARIOS,37
78,MARSHFIELD,MO,CLARIOS,37
79,JOPLIN,MO,CLARIOS,37
80,COLUMBIA,MO,CLARIOS,37
81,STILWELL,OK,ELLIOTT AUTO,37
82,PERRYVILLE,MO,CLARIOS,37
83,MAGNOLIA,AR,CLARIOS,37
85,BENTON,AR,CLARIOS,37
86,SPRINGFIELD,MO,CLARIOS,37
87,MINDEN,LA,CLARIOS,37
88,MOUNTAIN GROVE,MO,CLARIOS,37
89,CAMDENTON,MO,CLARIOS,37
90,GROVE,OK,ELLIOTT AUTO,37
91,FORREST CITY,AR,CLARIOS,37
92,AURORA,MO,CLARIOS,37
93,COVINGTON,TN,CLARIOS,37
94,MILLINGTON,TN,CLARIOS,37
95,DESLOGE,MO,CLARIOS,37
96,HARRISONVILLE,MO,CLARIOS,37
97,RIPLEY,TN,CLARIOS,37
98,BASTROP,LA,CLARIOS,37
99,UNION,MO,CLARIOS,37
100,BENTONVILLE,AR,CLARIOS,37
101,ROLLA,MO,CLARIOS,37
102,STUTTGART,AR,CLARIOS,37
103,SHAWNEE,OK,ELLIOTT AUTO,37
104,MILAN,TN,CLARIOS,37
105,CORINTH,MS,CLARIOS,37
106,FULTON,KY,CLARIOS,37
107,MARTIN,TN,CLARIOS,37
108,GUTHRIE,OK,ELLIOTT AUTO,37
109,CAMERON,MO,CLARIOS,37
110,WINTER GARDEN,FL,CLARIOS,37
111,CHANUTE,KS,ELLIOTT AUTO,37
112,STARKVILLE,MS,CLARIOS,37
113,CHICKASHA,OK,ELLIOTT AUTO,37
114,BOONEVILLE,MS,CLARIOS,37
115,WEST POINT,MS,CLARIOS,37
116,VIVIAN,LA,CLARIOS,37
117,BROKEN BOW,OK,ELLIOTT AUTO,37
118,AMORY,MS,CLARIOS,37
119,BATESVILLE,AR,CLARIOS,37
120,HUMBOLDT,TN,CLARIOS,37
121,OKMULGEE,OK,ELLIOTT AUTO,37
122,JACKSON,MO,CLARIOS,37
123,SEMINOLE,OK,ELLIOTT AUTO,37
124,LITTLE ROCK,AR,CLARIOS,37
125,FORT SMITH,AR,CLARIOS,37
126,LITTLE ROCK,AR,CLARIOS,37
127,MALVERN,AR,CLARIOS,37
128,JONESBORO,AR,CLARIOS,37
129,ARDMORE,OK,ELLIOTT AUTO,37
130,MUSKOGEE,OK,ELLIOTT AUTO,37
131,MOUNT PLEASANT,TX,CLARIOS,37
132,KINGFISHER,OK,ELLIOTT AUTO,37
133,ASHDOWN,AR,CLARIOS,37
134,ELK CITY,OK,ELLIOTT AUTO,37
135,CHILLICOTHE,MO,CLARIOS,37
136,BLACKWELL,OK,ELLIOTT AUTO,37
137,STILLWATER,OK,ELLIOTT AUTO,37
138,SPRINGFIELD,MO,CLARIOS,37
139,PURCELL,OK,ELLIOTT AUTO,37
140,LUFKIN,TX,CLARIOS,37
141,FORT SMITH,AR,CLARIOS,37
143,BENTON,KY,CLARIOS,37
144,FAYETTEVILLE,AR,CLARIOS,37
145,BOWLING GREEN,MO,CLARIOS,37
146,GILMER,TX,CLARIOS,37
147,DENISON,TX,CLARIOS,37
148,PARIS,TX,CLARIOS,37
149,JONESBORO,LA,CLARIOS,37
150,WOODWARD,OK,ELLIOTT AUTO,37
151,MCALESTER,OK,ELLIOTT AUTO,37
152,DE SOTO,MO,CLARIOS,37
153,NEW ALBANY,MS,CLARIOS,37
154,ABINGDON,VA,EAST PENN,37
155,SENATOBIA,MS,CLARIOS,37
157,SEARCY,AR,CLARIOS,37
158,BONHAM,TX,CLARIOS,37
159,COLUMBIA,MO,CLARIOS,37
160,ASH FLAT,AR,CLARIOS,37
161,HUNTINGDON,TN,CLARIOS,37
162,ANADARKO,OK,ELLIOTT AUTO,37
163,NACOGDOCHES,TX,CLARIOS,37
164,PONTOTOC,MS,CLARIOS,37
165,HENDERSON,TX,CLARIOS,37
166,HOUSTON,MO,CLARIOS,37
167,CROSSETT,AR,CLARIOS,37
168,OWASSO,OK,ELLIOTT AUTO,37
169,LONOKE,AR,CLARIOS,37
170,NATCHITOCHES,LA,CLARIOS,37
171,CAMDEN,AR,CLARIOS,37
172,WASHINGTON,MO,CLARIOS,37
173,POTOSI,MO,CLARIOS,37
174,COCOA,FL,CLARIOS,37
175,COLLIERVILLE,TN,CLARIOS,37
176,RIPLEY,MS,CLARIOS,37
177,PARIS,TN,CLARIOS,37
178,ALVA,OK,ELLIOTT AUTO,37
179,SPRINGFIELD,MO,CLARIOS,37
180,JACKSONVILLE,TX,CLARIOS,37
181,NEW BOSTON,TX,CLARIOS,37
182,GREENVILLE,MS,CLARIOS,37
183,LOUISVILLE,MS,CLARIOS,37
184,BLUE SPRINGS,MO,CLARIOS,37
185,GAINESVILLE,TX,CLARIOS,37
186,EL DORADO,KS,ELLIOTT AUTO,37
188,CAPE GIRARDEAU,MO,CLARIOS,37
189,KIRKSVILLE,MO,CLARIOS,37
190,KENNETT,MO,CLARIOS,37
192,COLUMBIA,TN,CLARIOS,37
194,BAYTOWN,TX,CLARIOS,37
195,EXCELSIOR SPRINGS,MO,CLARIOS,37
196,CARBONDALE,IL,CLARIOS,37
197,MACOMB,IL,CLARIOS,37
198,SALEM,IL,CLARIOS,37
199,LINCOLN,IL,CLARIOS,37
200,JACKSONVILLE,IL,CLARIOS,37
201,BELLEVILLE,IL,CLARIOS,37
202,FRISCO,TX,CLARIOS,37
203,BROOKFIELD,MO,CLARIOS,37
204,PRINCETON,KY,CLARIOS,37
205,PHILADELPHIA,MS,CLARIOS,37
206,MCKINNEY,TX,CLARIOS,37
207,CLEVELAND,OK,ELLIOTT AUTO,37
209,OZARK,AR,CLARIOS,37
210,HOLDENVILLE,OK,ELLIOTT AUTO,37
211,HILLSBORO,TX,CLARIOS,37
212,NORMAN,OK,ELLIOTT AUTO,37
213,LITCHFIELD,IL,CLARIOS,37
214,JASPER,TX,CLARIOS,37
216,MARION,IL,CLARIOS,37
217,LEWISVILLE,TX,CLARIOS,37
218,SELMER,TN,CLARIOS,37
219,SEDALIA,MO,CLARIOS,37
220,BURLESON,TX,CLARIOS,37
221,YUKON,OK,ELLIOTT AUTO,37
222,SPARTA,IL,CLARIOS,37
224,MOUNT VERNON,IL,CLARIOS,37
225,SULPHUR,OK,ELLIOTT AUTO,37
226,ATLANTA,TX,CLARIOS,37
227,EL RENO,OK,ELLIOTT AUTO,37
228,CLEBURNE,TX,CLARIOS,37
229,TRUMANN,AR,CLARIOS,37
230,PARIS,AR,CLARIOS,37
231,ADA,OK,ELLIOTT AUTO,37
232,ATOKA,OK,ELLIOTT AUTO,37
233,ANNA,IL,CLARIOS,37
234,KANSAS CITY,MO,CLARIOS,37
236,CROCKETT,TX,CLARIOS,37
237,HARRISBURG,IL,CLARIOS,37
238,PULASKI,TN,CLARIOS,37
