Store Number,Current Delivery,Current MP Delivery Window,Updated Delivery,Updated MP Delivery Window,Comments
75,Next Day,18:00-23:59,Next Day,16:00-04:00,
103,Same Day,18:00-06:00,Same Day,18:00-04:00,
113,Same Day,18:00-06:00,Same Day,16:00-04:00,
129,Same Day,18:00-04:00,Same Day,18:00-04:00,
134,Same Day,18:00-06:00,Same Day,16:00-04:00,
139,Same Day,18:00-07:00,Same Day,16:00-04:00,
147,Same Day,18:00-06:00,Same Day,16:00-04:00,
158,Same Day,18:00-07:00,Same Day,16:00-04:00,
162,Same Day,18:00-07:00,Same Day,16:00-04:00,
185,Same Day,18:00-06:00,Same Day,18:00-04:00,
206,Next Day,18:00-06:00,Next Day,16:00-04:00,
212,Same Day,18:00-04:00,Same Day,16:00-04:00,
221,Same Day,18:00-05:00,Same Day,16:00-04:00,
225,Same Day,18:00-07:00,Same Day,16:00-04:00,
227,Same Day,18:00-06:00,Same Day,16:00-04:00,
231,Same Day,18:00-06:00,Same Day,16:00-04:00,
269,Same Day,18:00-06:00,Same Day,18:00-04:00,
277,Same Day,18:00-04:00,Same Day,16:00-04:00,
389,Next Day,17:00-21:00,Next Day,16:00-21:00,
392,Same Day,18:00-06:00,Same Day,16:00-04:00,
414,Same Day,18:00-06:00,Same Day,16:00-04:00,
420,Same Day,18:00-06:00,Same Day,16:00-04:00,
428,Same Day,18:00-06:00,Same Day,16:00-04:00,
479,Same Day,18:00-06:00,Same Day,16:00-04:00,
485,Same Day,18:00-07:00,Same Day,16:00-04:00,
489,Same Day,18:00-06:00,Same Day,16:00-04:00,
498,Next Day,18:00-23:59,Next Day,16:00-04:00,
501,Next Day,18:00-06:00,Next Day,16:00-04:00,
502,Same Day,18:00-06:00,Same Day,16:00-04:00,
517,Same Day,18:00-04:00,Same Day,16:00-04:00,
532,Same Day,18:00-04:00,Same Day,18:00-04:00,
540,Same Day,18:00-06:00,Same Day,16:00-04:00,
541,Same Day,18:00-04:00,Same Day,16:00-04:00,
542,Same Day,18:00-06:00,Same Day,16:00-04:00,
544,Same Day,18:00-06:00,Same Day,16:00-04:00,
553,Same Day,18:00-04:00,Same Day,16:00-04:00,
564,Next Day,18:00-23:59,Next Day,16:00-04:00,
600,Same Day,18:00-06:00,Same Day,16:00-04:00,
622,Next Day,18:00-23:59,Next Day,16:00-04:00,
743,Same Day,18:00-06:00,Same Day,16:00-04:00,
761,Same Day,18:00-07:00,Same Day,16:00-04:00,
803,Same Day,18:00-07:00,Same Day,16:00-04:00,
816,Next Day,18:00-23:59,Next Day,16:00-04:00,
839,Same Day,18:00-06:00,Same Day,16:00-04:00,
874,Next Day,18:00-23:59,Next Day,16:00-04:00,
900,Same Day,18:00-07:00,Same Day,16:00-04:00,
909,Same Day,18:00-06:00,Same Day,16:00-04:00,
911,Same Day,18:00-06:00,Same Day,16:00-04:00,
912,Same Day,18:00-23:59,Same Day,16:00-04:00,
935,Same Day,18:00-04:00,Same Day,16:00-04:00,
947,Same Day,18:00-06:00,Same Day,18:00-04:00,
954,Next Day,18:00-23:59,Next Day,16:00-04:00,
961,Same Day,18:00-06:00,Same Day,16:00-04:00,
969,Same Day,18:00-06:00,Same Day,16:00-04:00,
970,Same Day,18:00-06:00,Same Day,16:00-04:00,
975,Same Day,18:00-06:00,Same Day,16:00-04:00,
976,Same Day,18:00-06:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on August 26, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
989,Same Day,18:00-06:00,Same Day,16:00-04:00,
1016,Same Day,18:00-06:00,Same Day,16:00-04:00,
1025,Next Day,18:00-23:59,Next Day,16:00-04:00,
1043,Same Day,18:00-07:00,Same Day,16:00-04:00,
1056,Same Day,18:00-06:00,Same Day,16:00-04:00,
1088,Same Day,18:00-06:00,Same Day,16:00-04:00,
1102,Same Day,18:00-06:00,Same Day,16:00-04:00,
1106,Next Day,18:00-23:59,Next Day,16:00-04:00,
1116,Same Day,18:00-06:00,Same Day,18:00-04:00,
1128,Next Day,18:00-23:59,Next Day,16:00-04:00,
1136,Same Day,18:00-06:00,Same Day,16:00-04:00,
1148,Same Day,18:00-06:00,Same Day,16:00-04:00,
1163,Same Day,18:00-06:00,Same Day,16:00-04:00,
1168,Next Day,18:00-23:59,Next Day,16:00-04:00,
1192,Next Day,18:00-23:59,Next Day,16:00-04:00,
1195,Same Day,18:00-06:00,Same Day,16:00-04:00,
1196,Same Day,18:00-07:00,Same Day,16:00-04:00,
1206,Same Day,18:00-06:00,Same Day,16:00-04:00,
1266,Same Day,18:00-04:00,Same Day,16:00-04:00,
1295,Same Day,18:00-07:00,Same Day,16:00-04:00,
1342,Same Day,18:00-04:00,Same Day,16:00-04:00,
1353,Same Day,18:00-06:00,Same Day,16:00-04:00,
1516,Same Day,18:00-06:00,Same Day,16:00-04:00,
1551,Same Day ,16:00-04:00,Next Day,16:00-04:00,"Your store will not receive an MP delivery on August 26, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1555,Same Day,18:00-06:00,Same Day,16:00-04:00,
1588,Same Day,18:00-06:00,Same Day,16:00-04:00,
1626,Next Day,18:00-23:59,Next Day,16:00-04:00,
1692,Same Day,18:00-06:00,Same Day,16:00-04:00,
1698,Same Day,18:00-06:00,Same Day,16:00-04:00,
1700,Next Day,16:00-22:00,Next Day,16:00-22:00,
1747,Same Day,18:00-06:00,Same Day,16:00-04:00,
1749,Same Day,18:00-06:00,Same Day,16:00-04:00,
1753,Same Day,18:00-06:00,Same Day,16:00-04:00,
1762,Same Day,18:00-06:00,Same Day,16:00-04:00,
1788,Same Day,18:00-06:00,Same Day,16:00-04:00,
1796,Same Day,18:00-06:00,Same Day,16:00-04:00,
1797,Same Day,18:00-06:00,Same Day,16:00-04:00,
1805,Same Day,18:00-06:00,Same Day,16:00-04:00,
1832,Same Day,18:00-06:00,Same Day,16:00-04:00,
1853,Same Day,18:00-06:00,Same Day,16:00-04:00,
1859,Same Day,18:00-06:00,Same Day,16:00-04:00,
1862,Same Day,18:00-06:00,Same Day,16:00-04:00,
1866,Same Day,18:00-06:00,Same Day,16:00-04:00,
1873,Same Day,18:00-21:00,Same Day,16:00-21:00,
1891,Same Day,18:00-06:00,Same Day,18:00-04:00,
1899,Same Day,18:00-06:00,Same Day,16:00-04:00,
1907,Same Day,18:00-06:00,Same Day,16:00-04:00,
1912,Same Day,18:00-06:00,Same Day,16:00-04:00,
1914,Same Day,18:00-06:00,Same Day,16:00-04:00,
1915,Same Day,18:00-06:00,Same Day,16:00-04:00,
1924,Same Day,18:00-06:00,Same Day,16:00-04:00,
1932,Same Day,18:00-06:00,Same Day,18:00-04:00,
1939,Same Day,18:00-06:00,Same Day,16:00-04:00,
1941,Same Day,18:00-06:00,Same Day,16:00-04:00,
1954,Same Day,18:00-06:00,Same Day,16:00-04:00,
1964,Same Day,07:00-09:00,Next Day,16:00-20:00,"Your store will not receive an MP delivery on August 26, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1967,Next Day,18:00-21:00,Next Day,16:00-21:00,
1970,Same Day,18:00-06:00,Same Day,16:00-04:00,
1975,Same Day,18:00-06:00,Same Day,16:00-04:00,
1980,Same Day,18:00-06:00,Same Day,16:00-04:00,
1984,Same Day,18:00-06:00,Same Day,16:00-04:00,
2013,Same Day,18:00-06:00,Same Day,16:00-04:00,
2022,Same Day,18:00-06:00,Same Day,16:00-04:00,
2028,Same Day,18:00-06:00,Same Day,16:00-04:00,
2046,Same Day,18:00-06:00,Same Day,16:00-04:00,
2047,Same Day,18:00-06:00,Same Day,16:00-04:00,
2055,Same Day,18:00-06:00,Same Day,16:00-04:00,
2077,Same Day,18:00-06:00,Same Day,16:00-04:00,
2082,Same Day,18:00-06:00,Same Day,16:00-04:00,
2094,Next Day,16:00-22:00,Next Day,16:00-22:00,
2095,Same Day,18:00-06:00,Same Day,16:00-04:00,
2103,Same Day,18:00-21:00,Same Day,16:00-21:00,
2110,Same Day,18:00-06:00,Same Day,16:00-04:00,
2122,Same Day,18:00-06:00,Same Day,16:00-04:00,
2128,Same Day,18:00-06:00,Same Day,16:00-04:00,
2130,Same Day,18:00-06:00,Same Day,16:00-04:00,
2132,Same Day,18:00-06:00,Same Day,16:00-04:00,
2140,Same Day,18:00-06:00,Same Day,16:00-04:00,
2142,Same Day,18:00-06:00,Same Day,16:00-04:00,
2143,Same Day,18:00-06:00,Same Day,16:00-04:00,
2153,Same Day,18:00-06:00,Same Day,16:00-04:00,
2155,Same Day,18:00-06:00,Same Day,16:00-04:00,
2157,Same Day,18:00-06:00,Same Day,16:00-04:00,
2158,Same Day,18:00-06:00,Same Day,16:00-04:00,
2177,Same Day,18:00-06:00,Same Day,16:00-04:00,
2178,Same Day,18:00-06:00,Same Day,16:00-04:00,
2181,Same Day,18:00-06:00,Same Day,16:00-04:00,
2183,Same Day,18:00-06:00,Same Day,16:00-04:00,
2202,Same Day,18:00-06:00,Same Day,16:00-04:00,
2206,Same Day,18:00-06:00,Same Day,16:00-04:00,
2218,Same Day,18:00-06:00,Same Day,16:00-04:00,
2222,Same Day,18:00-06:00,Same Day,16:00-04:00,
2225,Same Day,18:00-06:00,Same Day,18:00-04:00,
2227,Same Day,07:00-09:00,Next Day,14:00-17:00,"Your store will not receive an MP delivery on August 26, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2242,Same Day,18:00-06:00,Same Day,16:00-04:00,
2245,Same Day,18:00-06:00,Same Day,16:00-04:00,
2251,Same Day,18:00-06:00,Same Day,16:00-04:00,
2253,Same Day,18:00-06:00,Same Day,16:00-04:00,
2261,Same Day,18:00-06:00,Same Day,16:00-04:00,
2283,Same Day,18:00-06:00,Same Day,16:00-04:00,
2291,Same Day,18:00-06:00,Same Day,16:00-04:00,
2292,Same Day,18:00-06:00,Same Day,16:00-04:00,
2299,Same Day,18:00-06:00,Same Day,18:00-04:00,
2329,Same Day,18:00-07:00,Same Day,16:00-04:00,
2330,Same Day,18:00-06:00,Same Day,16:00-04:00,
2331,Same Day,18:00-06:00,Same Day,18:00-04:00,
2336,Same Day,18:00-06:00,Same Day,16:00-04:00,
