Store Nbr,Store Type Descr,Store Name,State,Market,Reg,Cupcake Double Bucket,"DZ Roses 
Double Bucket","DZ Roses 
Pallet","DZ Roses 
Double Decker",LG Carnations Double Bucket,LG Vase DZ Roses Pallet,MED Vase Mixed Bqt Display,Mega Mixed Bqt Pallet,Mini Rose Plus Double Bucket,"Mixed BQT 
Double Bucket","Mixed BQT 
Pallet","Mixed BQT 
Double Decker","Rose Lily
Double Bucket",Small Bouquet Double Bucket,"XL Premium Roses
Double Bucket","XL Premium Roses
Pallet",TOTAL PROMO DISPLAYS
5081,Neighborhood Market,MERAUX JUDGE PEREZ LA,LA,543,64,,4,1,,,2,4,,4,1,,,,,4,,20
448,Supercenter,SHREVEPORT LA,LA,127,42,1,3,2,1,,,5,,2,3,2,,,,2,,21
1128,Supercenter,MARKSVILLE LA,LA,134,13,5,2,,1,,7,2,,8,2,1,2,,,,,30
1353,Supercenter,HARAHAN LA,LA,128,13,6,3,2,1,,8,5,,,2,,2,,,,,29
23,Supercenter,RUSTON LA,LA,135,42,1,3,1,1,,5,2,,4,1,2,2,,,,,22
1106,Supercenter,"VIDALIA, LA",LA,141,13,,2,2,,,3,2,,,4,,1,,,,,14
989,Supercenter,METAIRIE LA,LA,128,13,2,2,,3,,4,4,,6,3,2,1,,,,,27
3288,Supercenter,"BATON ROUGE, LA",LA,131,13,6,3,2,,,5,,,4,3,1,1,,,,,25
376,Supercenter,"BOSSIER CITY, LA",LA,127,42,4,2,2,1,,4,3,,2,3,1,1,,,,,23
1193,Supercenter,MONROE LA,LA,135,42,4,3,2,1,,6,4,,6,3,,1,,,,,30
386,Supercenter,JENNINGS LA,LA,132,13,5,3,,3,,3,5,,4,3,,1,,,,,27
3616,Supercenter,"AMITE, LA",LA,128,13,4,4,,1,,4,4,,4,3,,1,,,,,25
1136,Supercenter,PORT ALLEN LA,LA,131,13,3,2,2,1,,6,,,4,3,,1,,,,,22
1016,Supercenter,THIBODAUX LA,LA,129,13,,2,2,1,,6,5,,,3,,1,,,,,20
2665,Supercenter,"SLIDELL, LA",LA,125,13,,1,,2,,3,3,,4,2,2,1,,,,,18
911,Supercenter,HARVEY (NO-S) LA,LA,128,13,4,2,,4,,9,2,,10,2,1,1,,,,,35
553,Supercenter,SLIDELL LA,LA,125,13,5,3,2,2,,4,2,,4,2,1,1,,,,,26
935,Supercenter,DENHAM SPRINGS LA,LA,130,13,4,2,2,1,,6,2,,2,2,1,1,,,,,23
502,Supercenter,GALLIANO LA,LA,129,13,5,2,1,2,,3,4,,6,2,,1,,,,,26
540,Supercenter,MORGAN CITY LA,LA,129,13,2,2,1,1,,5,3,,4,2,,1,,,,,21
6932,Supercenter,BLANCHARD LA,LA,127,42,4,3,,2,,5,2,,4,2,,1,,,,,23
3483,Supercenter,HOUMA LA,LA,129,13,2,1,1,1,,4,,,4,2,,1,,,,,16
3167,Supercenter,NEW ORLEANS GENTILLY,LA,125,13,2,3,,1,,4,3,,2,2,,1,,,,,18
428,Supercenter,ZACHARY LA,LA,130,13,7,2,,2,,5,,,2,2,,1,,,,,21
2938,Supercenter,"LAFAYETTE (S), LA",LA,132,13,1,4,1,2,,3,4,,,2,,1,,,,,18
2822,Supercenter,"WALKER, LA",LA,131,13,5,3,2,2,,3,2,,8,1,2,1,,,,,29
307,Supercenter,W MONROE LA,LA,135,42,3,2,2,2,,5,2,,,1,2,1,,,,,20
489,Supercenter,HAMMOND LA,LA,128,13,1,2,1,2,,6,,,8,1,1,1,,,,,23
405,Supercenter,LEESVILLE LA,LA,134,13,7,2,1,3,,3,2,2,6,1,1,1,,,,,29
4129,Supercenter,PONCHATOULA LA,LA,128,13,4,3,,2,,4,4,,4,1,1,1,,,,,24
1206,Supercenter,BATON ROUGE LA,LA,130,13,2,3,,2,,3,4,,4,1,1,1,,,,,21
278,Supercenter,SHREVEPORT LA,LA,127,42,7,2,,2,,3,5,,2,1,1,1,,,,,24
543,Supercenter,OPELOUSAS LA,LA,132,13,1,2,,3,,3,3,,,1,1,1,,,,,15
1342,Supercenter,KENNER LA,LA,128,13,5,3,,2,,4,2,,6,1,,1,,,,,24
909,Supercenter,CHALMETTE LA,LA,125,13,4,3,,2,,3,2,,6,1,,1,,,,,22
2913,Supercenter,"BOUTTE, LA",LA,129,13,,2,,2,,3,2,,4,1,,1,,,,,15
505,Supercenter,"DERIDDER, LA",LA,134,13,3,3,,4,,2,,,4,1,,1,,,,,18
2132,Supercenter,"BATON ROUGE (S), LA",LA,131,13,,4,,1,,3,5,,2,1,,1,,,,,17
4679,Supercenter,"WATSON, LA",LA,131,13,4,2,1,1,,3,4,,2,1,,1,,,,,19
5773,Neighborhood Market,NEW IBERIA C LA,LA,541,64,,3,,,,,,,2,1,,1,,,,,7
5327,Neighborhood Market,"BATON ROUGE (HAMMOND), LA",LA,541,64,,3,,,,1,6,,,1,,1,,,,,12
98,Supercenter,BASTROP LA,LA,135,42,1,3,1,1,,3,5,,,1,,1,,,,,16
450,Supercenter,SHREVEPORT LA,LA,127,42,8,3,1,1,,4,,,,1,,1,,,,,19
2724,Supercenter,"PASADENA, TX",TX,63,6,6,3,1,4,9,8,5,2,6,1,1,5,4,7,8,2,72
58,Supercenter,RUSSELLVILLE AR,AR,325,42,6,3,2,3,7,8,2,2,6,1,,4,4,5,3,2,58
61,Supercenter,WARRENSBURG MO,MO,361,40,2,2,,3,8,5,,2,2,1,,4,4,5,3,1,42
286,Supercenter,ENNIS TX,TX,55,5,5,2,2,3,9,10,4,2,4,1,,4,4,9,,2,61
456,Supercenter,BROWNSVILLE TX,TX,569,6,2,2,2,4,9,4,5,2,10,2,1,4,4,4,6,2,63
472,Supercenter,"BROKEN ARROW, OK",OK,356,44,4,2,2,1,9,8,3,2,,3,,4,2,6,2,2,50
517,Supercenter,MUSTANG OK,OK,353,44,7,3,,2,5,10,5,2,,1,2,4,2,5,5,2,55
564,Supercenter,"OKLAHOMA CITY(W), OK",OK,344,44,3,2,2,2,9,18,3,2,,1,,4,4,7,7,2,66
1585,Supercenter,NORTH PLATTE NE,NE,429,47,6,3,,2,8,10,2,2,6,3,,4,2,5,2,2,57
3380,Supercenter,PASCO WA,WA,475,60,8,4,1,3,10,9,4,2,10,2,1,4,3,4,8,2,75
3425,Supercenter,HOUSTON (ALMEDA GENOA) TX,TX,63,6,1,1,,2,10,8,3,2,6,4,1,4,4,9,6,2,63
3780,Supercenter,"FALLSTON, MD",MD,281,75,2,3,2,1,,3,5,,,3,,4,3,4,2,,32
5167,Supercenter,PAYSON UT,UT,582,54,3,3,2,1,,8,3,,4,1,,4,3,6,,1,39
5312,Supercenter,FT WORTH (121) TX,TX,479,5,4,2,,5,7,7,5,2,2,2,1,4,4,5,,2,52
5612,Supercenter,HOUSTON I-45 AND WAYSIDE,TX,63,6,2,3,,3,9,9,4,2,6,2,2,4,4,4,8,2,64
5987,Supercenter,ROYSE CITY TX,TX,583,5,3,3,2,2,7,5,5,2,4,1,,4,2,2,,2,44
2,Supercenter,HARRISON AR,AR,322,42,4,6,2,3,4,5,2,,4,10,2,3,3,5,2,1,56
4,Supercenter,SILOAM SPRINGS AR,AR,323,42,5,3,,4,5,8,4,,,6,1,3,3,1,5,1,49
12,Supercenter,CLAREMORE OK,OK,347,44,10,4,2,1,,6,2,2,,2,1,3,3,,1,2,39
13,Supercenter,CARTHAGE MO,MO,334,42,3,4,2,2,5,6,2,2,,3,,3,3,6,3,2,46
14,Supercenter,LEBANON MO,MO,357,40,4,4,1,1,,3,2,,2,2,1,3,3,,3,1,30
16,Supercenter,VAN BUREN AR,AR,321,42,2,4,,4,,7,2,2,4,1,,3,3,6,2,,40
19,Supercenter,POPLAR BLUFF MO,MO,335,40,10,3,2,1,,8,2,,10,1,1,3,3,,3,2,49
36,Supercenter,PARAGOULD AR,AR,329,12,7,2,,4,7,10,5,2,8,3,2,3,3,2,2,,60
37,Supercenter,FARMINGTON MO,MO,335,40,4,2,,2,,4,,,2,1,,3,,,5,2,25
46,Supercenter,BOLIVAR MO,MO,357,40,7,3,,1,,4,3,,2,2,,3,3,,3,2,33
59,Supercenter,JOPLIN MO,MO,334,42,6,2,,3,6,5,2,2,,1,1,3,3,4,4,2,44
157,Supercenter,SEARCY AR,AR,328,42,8,2,,1,3,13,5,,20,3,,3,3,5,4,2,72
260,Supercenter,WAXAHACHIE TX.,TX,55,5,5,2,2,4,9,10,,3,2,2,,3,4,4,4,1,55
264,Supercenter,DICKSON TN,TN,149,12,7,2,2,3,,9,5,2,10,1,,3,3,7,,2,56
282,Supercenter,FRANKLIN KY,KY,253,41,6,3,2,2,5,7,2,2,10,2,,3,3,3,2,1,53
284,Supercenter,MANSFIELD TX,TX,44,5,3,3,1,6,3,5,5,2,4,1,2,3,3,2,4,1,48
287,Supercenter,JASPER AL,AL,11,14,7,2,2,5,,4,3,,12,1,1,3,3,5,1,1,50
298,Supercenter,BOAZ AL,AL,5,12,11,3,,,3,16,5,2,4,2,,3,3,9,,,61
379,Supercenter,OZARK MO,MO,333,40,7,4,,1,7,7,,2,,1,1,3,2,1,3,1,40
403,Supercenter,RUSSELVILLE AL,AL,137,12,5,3,1,2,6,7,2,,6,1,1,3,2,2,,1,42
410,Supercenter,MURRAY KY,KY,146,41,8,3,1,1,3,3,5,,6,1,,3,2,,,1,37
421,Supercenter,DECATUR TX,TX,479,5,6,2,2,2,8,10,,3,4,1,,3,4,7,1,2,55
430,Supercenter,MAYFIELD KY,KY,253,41,6,3,,2,,6,,,6,1,1,3,,4,5,,37
447,Supercenter,DEL RIO TX,TX,88,46,4,3,,5,,9,,2,10,2,,3,4,,2,,44
495,Supercenter,COLUMBUS MS,MS,138,14,2,3,,2,,7,2,,2,3,1,3,2,,3,,30
522,Supercenter,CROSBY TX,TX,60,6,7,2,1,4,8,6,3,2,2,1,,3,4,4,1,2,50
549,Supercenter,HOBBS NM,NM,71,46,6,2,1,4,9,18,5,2,20,2,,3,4,10,2,2,90
557,Supercenter,EMPORIA KS,KS,407,47,7,2,1,4,9,8,2,2,6,2,,3,4,5,2,,57
563,Supercenter,ORANGE CITY FL,FL,94,3,2,3,1,2,,4,5,2,2,1,1,3,2,,3,1,32
595,Supercenter,HARLINGEN TX,TX,569,6,6,3,1,2,,9,,2,2,1,,3,,,,2,31
622,Supercenter,OKLA CITY (NW),OK,344,44,3,2,2,6,9,8,3,2,,3,1,3,2,2,5,2,53
661,Supercenter,ATHENS AL,AL,137,12,6,3,,6,9,10,4,2,8,2,,3,2,3,2,1,61
670,Supercenter,CULLMAN AL,AL,2,14,7,2,,5,5,10,2,2,8,3,,3,4,,3,1,55
673,Supercenter,CLARKSVILLE (E) TN,TN,149,12,9,3,2,3,,7,,2,10,1,,3,,8,,2,50
687,Supercenter,CROSSVILLE TN,TN,121,2,9,2,1,2,,7,,2,12,3,,3,,6,,1,48
769,Supercenter,VENICE FL,FL,115,9,6,3,2,3,,5,5,2,8,2,1,3,4,3,2,2,51
860,Supercenter,DELAND FL,FL,94,3,2,2,2,1,,5,2,2,,1,,3,2,6,3,1,32
894,Supercenter,"TULSA,OK",OK,356,44,4,2,2,1,5,6,2,2,,4,,3,2,4,2,2,41
