Store Number,State,Date,Number of Dumpsters
965,WI,WK 24,3
979,WI,WK 24,3
1277,WI,WK 24,3
1366,WI,WK 24,3
1828,WI,WK 24,3
1931,WI,WK 24,3
2127,WI,WK 24,3
2510,WI,WK 24,3
2813,WI,WK 24,3
3268,WI,WK 24,3
3643,WI,WK 24,3
5432,WI,WK 24,3
971,WI,WK 25,3
1007,WI,WK 25,3
1012,WI,WK 25,3
1202,WI,WK 25,3
1396,WI,WK 25,3
1672,WI,WK 25,3
1799,WI,WK 25,3
3505,WI,WK 25,3
1276,WI,WK 23,3
1316,WI,WK 23,3
1430,WI,WK 23,3
1449,WI,WK 23,3
1453,WI,WK 23,3
1643,WI,WK 23,3
1650,WI,WK 23,3
1727,WI,WK 23,3
1908,WI,WK 23,3
1982,WI,WK 23,3
2271,WI,WK 23,3
2509,WI,WK 23,3
2545,WI,WK 23,3
2658,WI,WK 23,3
2958,WI,WK 23,3
2986,WI,WK 23,3
3324,WI,WK 23,3
3497,WI,WK 23,3
5090,WI,WK 23,3
5463,WI,WK 23,3
1919,ME,7/3/2025,3
4156,VT,7/7/2025,3
2332,VT,7/8/2025,1
2224,VT,7/8/2025,1
2682,VT,7/8/2025,3
2530,VT,7/9/2025,1
2289,VT,7/9/2025,3
