DC Number,Type,Date,Application,Summary,Status,CRQ NUMBER,CRQ Link
2364,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
2364,Enhancement,7/28/2025,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,Deployed,CHG3366662,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
2971,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
4020,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
4020,Enhancement,7/28/2025,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,Deployed,CHG3366662,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
4047,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6047,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6055,Enhancement,7/28/2025,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,Deployed,CHG3366662,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6055,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6059,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6062,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6062,Enhancement,7/28/2025,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,Deployed,CHG3366662,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6071,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6071,Enhancement,7/28/2025,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,Deployed,CHG3366662,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6073,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
6073,Enhancement,7/28/2025,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,Deployed,CHG3366662,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6074,Bug fix,7/28/2025,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,Deployed,CHG3366741,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
