Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
503,13,364,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202428,89.70%,98.10%,7.7,91.80%,89.80%,87.20%,89.80%
85,6,567,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202428,88.40%,100.00%,5.8,90.00%,96.70%,84.20%,75.00%
200,19,1791,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202428,89.20%,95.10%,7,95.00%,87.80%,86.20%,87.50%
200,19,2102,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202428,92.30%,91.80%,9.3,92.90%,99.00%,92.20%,84.40%
229,20,2540,SPARK,Scheduled Standard Delivery,7,Active Monitoring,Degrading,Driver Supply Focus,202428,93.40%,99.30%,9.2,86.90%,96.30%,96.30%,95.00%
235,20,2281,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202428,91.00%,99.70%,9.3,97.80%,97.50%,89.20%,83.40%
336,40,44,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202428,88.40%,98.80%,4.1,80.00%,85.40%,100.00%,85.20%
436,53,3245,SPARK,Scheduled Standard Delivery,9,Executive Review,Recovering,Driver Supply Focus,202428,91.20%,95.40%,5.9,96.30%,98.70%,89.70%,74.10%
439,53,1316,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202428,82.40%,90.90%,8.9,89.00%,89.10%,75.80%,74.50%
440,53,2510,SPARK,Scheduled Standard Delivery,11,At Risk,Recovering,Driver Supply Focus,202428,81.20%,91.00%,7.3,90.80%,85.20%,90.00%,62.00%
124,12,1694,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202428,92.40%,99.80%,8.6,91.30%,98.00%,93.10%,86.90%
124,12,2749,SPARK,Scheduled Standard Delivery,31,Executive Review,Recovering,Driver Supply Focus,202428,93.50%,94.60%,7.3,95.30%,98.30%,92.10%,86.90%
476,60,1876,SPARK,Scheduled Standard Delivery,35,Executive Review,Recovering,Driver Supply Focus,202428,86.90%,94.10%,5.5,97.90%,94.50%,87.00%,67.30%
475,60,2006,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202428,93.30%,91.30%,9.7,97.90%,99.50%,91.00%,84.90%
414,52,647,SPARK,Scheduled Standard Delivery,9,Active Monitoring,Recovering,Driver Supply Focus,202428,91.90%,99.80%,6.2,91.60%,90.50%,97.90%,87.80%
426,52,2714,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202428,83.20%,98.80%,5.6,85.90%,85.20%,78.60%,83.30%
421,52,1415,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202428,84.80%,94.20%,8.3,92.80%,91.70%,78.90%,75.50%
421,52,4374,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202428,72.40%,97.50%,6.4,78.60%,83.30%,58.00%,67.90%
422,52,1864,SPARK,Scheduled Standard Delivery,46,Executive Review,Recovering,Driver Supply Focus,202428,96.40%,95.80%,9.5,99.10%,99.10%,97.70%,88.50%
423,52,5089,SPARK,Scheduled Standard Delivery,8,Active Monitoring,Recovering,Driver Supply Focus,202428,95.20%,97.90%,6,93.20%,100.00%,98.40%,89.70%
470,57,2321,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202428,89.90%,96.60%,9.2,91.30%,89.60%,89.70%,89.20%
159,16,3200,SPARK,Scheduled Standard Delivery,16,Executive Review,Recovering,Driver Supply Focus,202428,95.40%,99.90%,6,96.50%,99.40%,96.10%,89.80%
160,16,3561,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202428,91.70%,90.30%,6.6,97.20%,98.50%,86.90%,85.10%
179,16,1797,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202428,87.70%,94.80%,7.8,84.10%,88.60%,89.80%,88.50%
179,16,1932,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202428,85.50%,97.10%,8.4,81.50%,89.40%,85.40%,85.10%
180,16,2140,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202428,88.90%,97.10%,6.8,98.00%,90.90%,83.00%,82.70%
181,16,2224,SPARK,Scheduled Standard Delivery,46,Executive Review,Recovering,Driver Supply Focus,202428,93.30%,94.80%,9.5,99.20%,98.60%,88.70%,87.70%
283,76,1985,SPARK,Scheduled Standard Delivery,7,Active Monitoring,Recovering,Driver Supply Focus,202428,95.20%,95.70%,7.8,99.10%,99.50%,93.80%,89.20%
320,76,2833,SPARK,Scheduled Standard Delivery,24,Executive Review,Degrading,Driver Supply Focus,202428,90.50%,99.10%,5.8,86.30%,96.70%,91.80%,86.70%
171,17,2906,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202428,92.80%,97.20%,6.7,93.20%,98.40%,94.90%,85.40%
164,17,2547,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202428,91.30%,99.60%,7.2,97.90%,92.30%,91.10%,80.20%
130,13,935,,Scheduled Delivery Standard,38,Executive Review,Recovering,Store Focus,202428,93.60%,98.90%,14.9,97.80%,96.80%,91.30%,88.90%
130,13,1266,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202428,90.60%,76.80%,15.7,94.40%,97.50%,88.40%,81.90%
46,13,398,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202428,94.00%,99.40%,19.2,99.40%,99.40%,90.70%,86.70%
68,13,400,,Scheduled Delivery Standard,2,Active Monitoring,Recovering,Store Focus,202428,79.30%,69.10%,24.7,92.20%,89.80%,63.50%,66.60%
141,13,916,,Scheduled Delivery Standard,10,Executive Review,Recovering,Store Focus,202428,79.30%,65.90%,36.1,98.90%,65.70%,88.00%,56.40%
141,13,1025,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202428,89.60%,78.80%,17.9,96.00%,89.80%,89.80%,80.90%
67,6,4416,,Scheduled Delivery Standard,10,At Risk,Recovering,Store Focus,202428,92.40%,94.70%,12.4,97.30%,98.50%,93.10%,81.30%
61,6,504,,Scheduled Delivery Standard,8,Active Monitoring,Recovering,Store Focus,202428,92.60%,94.90%,12.4,93.10%,98.00%,85.30%,94.80%
63,6,5612,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202428,90.80%,90.50%,15.6,95.20%,97.10%,92.00%,80.00%
63,6,5959,,Scheduled Delivery Standard,22,Executive Review,Recovering,Store Focus,202428,90.00%,89.50%,12.2,90.50%,93.30%,91.00%,85.30%
498,59,4524,,Scheduled Delivery Standard,21,Executive Review,Recovering,Store Focus,202428,89.90%,79.90%,16.3,97.10%,98.10%,93.80%,70.90%
260,41,2628,,Scheduled Delivery Standard,6,Active Monitoring,Recovering,Store Focus,202428,92.90%,79.90%,18.1,95.70%,95.90%,91.70%,89.00%
242,41,5417,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202428,89.00%,81.00%,19,96.90%,96.20%,97.20%,49.90%
197,19,4383,,Scheduled Delivery Standard,37,Executive Review,Degrading,Store Focus,202428,88.00%,94.60%,16.2,85.20%,94.70%,92.80%,74.80%
204,19,2644,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202428,77.70%,46.90%,25,67.70%,87.10%,69.20%,84.10%
204,19,5376,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202428,80.30%,96.50%,10.6,90.20%,72.50%,80.40%,76.80%
206,19,5844,,Scheduled Delivery Standard,36,Executive Review,Recovering,Store Focus,202428,85.90%,82.50%,21.6,95.30%,95.20%,90.50%,63.90%
200,19,1923,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202428,91.40%,75.60%,16.2,98.50%,97.00%,90.10%,81.30%
200,19,3453,,Scheduled Delivery Standard,24,Executive Review,Recovering,Store Focus,202428,90.20%,79.80%,17.4,99.60%,99.90%,83.20%,78.90%
238,19,1618,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202428,95.80%,96.00%,14.9,99.40%,97.50%,96.90%,87.90%
265,25,4531,,Scheduled Delivery Standard,12,At Risk,Recovering,Store Focus,202428,94.10%,91.00%,15.7,96.60%,97.10%,98.20%,84.90%
208,20,2063,,Scheduled Delivery Standard,7,At Risk,Recovering,Store Focus,202428,92.10%,83.10%,14.7,96.90%,99.10%,96.50%,75.40%
209,20,2362,,Scheduled Delivery Standard,43,Executive Review,Degrading,Store Focus,202428,81.00%,83.40%,12.2,84.10%,87.60%,82.00%,68.70%
215,20,5285,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202428,87.60%,90.20%,24.6,92.80%,98.30%,76.80%,81.30%
339,40,2600,,Scheduled Delivery Standard,12,At Risk,Recovering,Store Focus,202428,94.20%,85.60%,14.2,95.50%,99.80%,93.70%,88.50%
340,40,5150,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202428,95.30%,93.20%,13.1,98.60%,98.60%,94.80%,89.00%
221,21,3502,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202428,88.40%,82.50%,15.5,78.00%,95.00%,90.10%,90.20%
225,21,1510,,Scheduled Delivery Standard,45,Executive Review,Degrading,Store Focus,202428,93.30%,85.30%,12.8,88.60%,91.80%,96.20%,96.20%
225,21,3749,,Scheduled Delivery Standard,37,Executive Review,Recovering,Store Focus,202428,92.20%,72.30%,15.3,91.60%,93.20%,95.90%,88.00%
239,21,1728,,Scheduled Delivery Standard,9,At Risk,Degrading,Store Focus,202428,92.40%,88.10%,30.2,88.00%,95.70%,97.80%,87.90%
219,21,2726,,Scheduled Delivery Standard,47,Executive Review,Recovering,Store Focus,202428,88.40%,85.70%,12.4,90.80%,91.90%,92.00%,79.20%
196,53,2417,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202428,92.30%,84.50%,11.4,92.90%,96.20%,92.10%,87.10%
444,53,6394,,Scheduled Delivery Standard,43,Executive Review,Recovering,Store Focus,202428,93.00%,82.80%,19.5,98.20%,97.90%,96.20%,81.00%
436,53,2421,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202428,84.60%,94.70%,10.4,91.10%,79.80%,82.50%,84.30%
1,14,2748,,Scheduled Delivery Standard,9,At Risk,Recovering,Store Focus,202428,94.00%,98.40%,11,99.70%,89.60%,97.30%,88.90%
14,14,990,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202428,94.10%,77.90%,18.9,97.20%,94.70%,93.80%,89.60%
15,14,1362,,Scheduled Delivery Standard,9,At Risk,Recovering,Store Focus,202428,93.40%,95.10%,14.2,97.70%,97.30%,93.70%,85.40%
15,14,3075,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202428,94.00%,79.60%,14.1,99.50%,96.00%,93.50%,87.40%
15,14,3119,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202428,93.10%,97.40%,11.7,99.20%,97.40%,90.20%,87.10%
15,14,3439,,Scheduled Delivery Standard,21,Executive Review,Recovering,Store Focus,202428,92.20%,87.80%,14.8,99.80%,97.60%,92.20%,78.30%
15,14,5872,,Scheduled Delivery Standard,10,Executive Review,Recovering,Store Focus,202428,93.80%,91.50%,14,99.40%,93.00%,93.90%,88.00%
97,14,4520,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202428,89.80%,75.80%,14.6,98.30%,97.70%,97.00%,73.60%
2,14,5113,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202428,85.60%,94.70%,15.8,86.30%,82.10%,87.80%,86.70%
111,3,1390,,Scheduled Delivery Standard,23,Executive Review,Recovering,Store Focus,202428,94.10%,88.70%,21.2,99.70%,99.70%,92.90%,84.70%
123,12,578,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202428,88.40%,76.60%,9.4,92.70%,84.60%,88.20%,88.30%
123,12,2310,,Scheduled Delivery Standard,47,Executive Review,Degrading,Store Focus,202428,82.20%,68.50%,15,75.10%,85.10%,89.60%,77.00%
144,11,848,,Scheduled Delivery Standard,44,Executive Review,Recovering,Store Focus,202428,86.20%,84.40%,16.7,97.20%,99.00%,94.50%,51.80%
22,2,722,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202428,89.40%,91.40%,11.2,94.00%,92.50%,88.10%,82.30%
22,2,3205,,Scheduled Delivery Standard,36,Executive Review,Recovering,Store Focus,202428,90.50%,93.20%,12.9,96.30%,97.80%,87.90%,80.20%
30,2,1227,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202428,91.20%,76.40%,12.7,94.90%,95.00%,89.20%,86.40%
324,42,124,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202428,88.40%,84.00%,15.2,85.10%,92.30%,93.80%,82.80%
127,42,278,,Scheduled Delivery Standard,23,Executive Review,Recovering,Store Focus,202428,87.60%,83.20%,15.3,97.00%,98.50%,90.80%,64.60%
474,60,2485,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202428,89.50%,84.00%,10.3,95.00%,95.30%,89.00%,77.90%
477,60,5935,,Scheduled Delivery Standard,44,Executive Review,Degrading,Store Focus,202428,92.10%,93.20%,12.9,89.10%,95.80%,92.80%,90.70%
422,52,3404,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202428,94.30%,90.80%,17.5,97.50%,98.60%,91.90%,88.70%
423,52,1855,,Scheduled Delivery Standard,27,Executive Review,Recovering,Store Focus,202428,88.20%,89.50%,12.3,98.90%,99.20%,93.30%,65.30%
