Market Number,Store Number,Total Season Pallets Shipped ,Total Season Pallets Sold ,FY26 Projected Pallet Ships 
1,853,19,18,18
1,866,41,39,39
1,904,17,17,18
1,934,12,11,11
1,991,29,26,27
1,1212,27,25,26
1,2748,10,9,9
1,4333,16,15,16
1,4581,13,13,14
1,5174,23,21,22
1,6173,18,16,17
2,562,13,13,14
2,670,32,29,31
2,762,13,12,13
2,1158,18,16,17
2,1711,14,11,11
2,2723,13,15,16
2,5113,29,23,23
2,7280,27,22,22
3,298,24,23,24
3,300,16,15,16
3,301,24,22,23
3,315,24,21,22
3,316,22,20,20
3,691,29,26,27
3,1201,22,21,22
3,2713,20,19,19
3,3386,24,23,24
3,5126,16,16,17
4,105,36,31,31
4,114,18,16,17
4,118,16,15,16
4,153,20,19,20
4,164,21,18,19
4,258,24,22,23
4,273,12,11,12
4,303,8,6,5
4,391,15,14,15
5,306,28,26,26
5,314,22,19,19
5,332,9,10,10
5,375,12,10,10
5,433,26,19,17
5,434,16,13,14
5,681,25,22,21
5,712,25,22,22
5,5197,22,20,19
5,6878,27,25,27
5,7324,11,12,12
7,604,33,28,29
7,723,17,15,16
7,734,30,27,28
7,740,21,18,17
7,1091,27,25,26
7,1134,24,23,24
7,1462,14,14,14
7,1638,14,15,16
7,2114,34,29,30
7,2534,28,26,27
8,424,14,12,13
8,483,18,16,17
8,700,20,19,20
8,930,13,8,8
8,938,15,14,15
8,1101,21,18,19
8,4318,25,26,27
8,4407,23,21,20
8,5348,20,15,14
9,3049,13,13,13
9,3143,14,13,13
9,3357,9,8,8
9,3377,22,20,21
9,4264,7,8,9
9,4293,10,8,8
9,4324,7,6,6
9,4473,21,18,19
9,4490,25,23,24
9,4603,10,7,7
9,5304,7,6,6
9,5725,14,13,14
10,329,15,14,15
10,355,25,18,18
10,356,13,12,12
10,432,12,11,11
10,726,16,14,14
10,730,17,16,17
10,733,15,15,15
10,809,26,24,26
10,863,16,13,13
10,1057,5,4,4
11,287,32,23,22
11,362,12,11,11
11,425,8,7,7
11,715,22,19,20
11,731,14,14,15
11,764,22,19,19
11,1052,10,8,9
11,2306,16,16,16
13,423,22,21,21
13,1229,17,15,16
