DC Number,Type,Date,Application,Summary,CRQ,CRQ Link,Blast Radius
6056,Enhancement Pilot,8/1/2025,Shore,Unused tables were successfully truncated to reduce cloud costs.,CHG3372238,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=ac551cc9c3c3ae5890873adb05013179&recordUrl=change_request.do%3Fsys_id%3Dac551cc9c3c3ae5890873adb05013179&sysparm_stack=&sysparm_view=,GDC CELL000
6064,Enhancement Pilot,8/1/2025,Shore,Unused tables were successfully truncated to reduce cloud costs.,CHG3372238,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=ac551cc9c3c3ae5890873adb05013179&recordUrl=change_request.do%3Fsys_id%3Dac551cc9c3c3ae5890873adb05013179&sysparm_stack=&sysparm_view=,GDC CELL000
6090,Enhancement Pilot,8/1/2025,Shore,Unused tables were successfully truncated to reduce cloud costs.,CHG3372238,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=ac551cc9c3c3ae5890873adb05013179&recordUrl=change_request.do%3Fsys_id%3Dac551cc9c3c3ae5890873adb05013179&sysparm_stack=&sysparm_view=,GDC CELL000
7010,Enhancement Pilot,8/1/2025,Shore,Unused tables were successfully truncated to reduce cloud costs.,CHG3372238,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=ac551cc9c3c3ae5890873adb05013179&recordUrl=change_request.do%3Fsys_id%3Dac551cc9c3c3ae5890873adb05013179&sysparm_stack=&sysparm_view=,GDC CELL000
7015,Enhancement Pilot,8/1/2025,Shore,Unused tables were successfully truncated to reduce cloud costs.,CHG3372238,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=ac551cc9c3c3ae5890873adb05013179&recordUrl=change_request.do%3Fsys_id%3Dac551cc9c3c3ae5890873adb05013179&sysparm_stack=&sysparm_view=,GDC CELL000
7018,Enhancement Pilot,8/1/2025,Shore,Unused tables were successfully truncated to reduce cloud costs.,CHG3372238,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=ac551cc9c3c3ae5890873adb05013179&recordUrl=change_request.do%3Fsys_id%3Dac551cc9c3c3ae5890873adb05013179&sysparm_stack=&sysparm_view=,GDC CELL000
7024,Enhancement Pilot,8/1/2025,Shore,Unused tables were successfully truncated to reduce cloud costs.,CHG3372238,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=ac551cc9c3c3ae5890873adb05013179&recordUrl=change_request.do%3Fsys_id%3Dac551cc9c3c3ae5890873adb05013179&sysparm_stack=&sysparm_view=,GDC CELL000
7079,Enhancement Pilot,8/1/2025,Shore,Unused tables were successfully truncated to reduce cloud costs.,CHG3372238,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=ac551cc9c3c3ae5890873adb05013179&recordUrl=change_request.do%3Fsys_id%3Dac551cc9c3c3ae5890873adb05013179&sysparm_stack=&sysparm_view=,GDC CELL000
6056,Enhancement Pilot,8/5/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3388563,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
6064,Enhancement Pilot,8/5/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3388563,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
6090,Enhancement Pilot,8/5/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3388563,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
7010,Enhancement Pilot,8/5/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3388563,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
7015,Enhancement Pilot,8/5/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3388563,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
7018,Enhancement Pilot,8/5/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3388563,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
7024,Enhancement Pilot,8/5/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3388563,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
7079,Enhancement Pilot,8/5/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3388563,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
6056,Enhancement Pilot,8/6/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3389328,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
6064,Enhancement Pilot,8/6/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3389328,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
6090,Enhancement Pilot,8/6/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3389328,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
7010,Enhancement Pilot,8/6/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3389328,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
7015,Enhancement Pilot,8/6/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3389328,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
7018,Enhancement Pilot,8/6/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3389328,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
7024,Enhancement Pilot,8/6/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3389328,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
7079,Enhancement Pilot,8/6/2025,Shore,GDC feature changes were successfully installed as part of a Shore pilot.,CHG3389328,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=9d971413870fa2dcd32143b6cebb35a6&recordUrl=change_request.do%3Fsys_id%3D9d971413870fa2dcd32143b6cebb35a6&sysparm_stack=&sysparm_view=,CELL000
3010,Enhancement Pilot,8/6/2025,Smart Slotting,Pilot bug fixes were deployed to resolve multiple slotting and tray issues.,CHG3380192,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a8a2a0314747621ce7b7be74236d43d3&recordUrl=change_request.do%3Fsys_id%3Da8a2a0314747621ce7b7be74236d43d3&sysparm_stack=&sysparm_view=,cell012
4154,Enhancement Pilot,8/6/2025,Smart Slotting,Pilot bug fixes were deployed to resolve multiple slotting and tray issues.,CHG3380192,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a8a2a0314747621ce7b7be74236d43d3&recordUrl=change_request.do%3Fsys_id%3Da8a2a0314747621ce7b7be74236d43d3&sysparm_stack=&sysparm_view=,cell012
6072,Enhancement Pilot,8/6/2025,Smart Slotting,Pilot bug fixes were deployed to resolve multiple slotting and tray issues.,CHG3380192,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a8a2a0314747621ce7b7be74236d43d3&recordUrl=change_request.do%3Fsys_id%3Da8a2a0314747621ce7b7be74236d43d3&sysparm_stack=&sysparm_view=,cell012
6085,Enhancement Pilot,8/6/2025,Smart Slotting,Pilot bug fixes were deployed to resolve multiple slotting and tray issues.,CHG3380192,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a8a2a0314747621ce7b7be74236d43d3&recordUrl=change_request.do%3Fsys_id%3Da8a2a0314747621ce7b7be74236d43d3&sysparm_stack=&sysparm_view=,cell012
6095,Enhancement Pilot,8/6/2025,Smart Slotting,Pilot bug fixes were deployed to resolve multiple slotting and tray issues.,CHG3380192,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a8a2a0314747621ce7b7be74236d43d3&recordUrl=change_request.do%3Fsys_id%3Da8a2a0314747621ce7b7be74236d43d3&sysparm_stack=&sysparm_view=,cell012
6096,Enhancement Pilot,8/6/2025,Smart Slotting,Pilot bug fixes were deployed to resolve multiple slotting and tray issues.,CHG3380192,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a8a2a0314747621ce7b7be74236d43d3&recordUrl=change_request.do%3Fsys_id%3Da8a2a0314747621ce7b7be74236d43d3&sysparm_stack=&sysparm_view=,cell012
7012,Enhancement Pilot,8/6/2025,Smart Slotting,Pilot bug fixes were deployed to resolve multiple slotting and tray issues.,CHG3380192,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a8a2a0314747621ce7b7be74236d43d3&recordUrl=change_request.do%3Fsys_id%3Da8a2a0314747621ce7b7be74236d43d3&sysparm_stack=&sysparm_view=,cell012
7017,Enhancement Pilot,8/6/2025,Smart Slotting,Pilot bug fixes were deployed to resolve multiple slotting and tray issues.,CHG3380192,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a8a2a0314747621ce7b7be74236d43d3&recordUrl=change_request.do%3Fsys_id%3Da8a2a0314747621ce7b7be74236d43d3&sysparm_stack=&sysparm_view=,cell012
7023,Enhancement Pilot,8/6/2025,Smart Slotting,Pilot bug fixes were deployed to resolve multiple slotting and tray issues.,CHG3380192,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a8a2a0314747621ce7b7be74236d43d3&recordUrl=change_request.do%3Fsys_id%3Da8a2a0314747621ce7b7be74236d43d3&sysparm_stack=&sysparm_view=,cell012
8851,Enhancement Pilot,8/6/2025,Smart Slotting,Pilot bug fixes were deployed to resolve multiple slotting and tray issues.,CHG3380192,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=a8a2a0314747621ce7b7be74236d43d3&recordUrl=change_request.do%3Fsys_id%3Da8a2a0314747621ce7b7be74236d43d3&sysparm_stack=&sysparm_view=,cell012
7013,Enhancemnet Pilot,8/6/2025,Atlas Loading,Pilot Atlas Loading defect and vulnerability fixes ,CHG3386886,,GDC cell002
7021,Enhancemnet Pilot,8/6/2025,Atlas Loading,Pilot Atlas Loading defect and vulnerability fixes ,CHG3386886,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=15b767d287cb6a9c7e997595dabb35a3&recordUrl=change_request.do%3Fsys_id%3D15b767d287cb6a9c7e997595dabb35a3&sysparm_stack=&sysparm_view=,GDC cell002
7047,Enhancemnet Pilot,8/6/2025,Atlas Loading,Pilot Atlas Loading defect and vulnerability fixes ,CHG3386886,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=15b767d287cb6a9c7e997595dabb35a3&recordUrl=change_request.do%3Fsys_id%3D15b767d287cb6a9c7e997595dabb35a3&sysparm_stack=&sysparm_view=,GDC cell002
7048,Enhancemnet Pilot,8/6/2025,Atlas Loading,Pilot Atlas Loading defect and vulnerability fixes ,CHG3386886,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=15b767d287cb6a9c7e997595dabb35a3&recordUrl=change_request.do%3Fsys_id%3D15b767d287cb6a9c7e997595dabb35a3&sysparm_stack=&sysparm_view=,GDC cell002
7077,Enhancemnet Pilot,8/6/2025,Atlas Loading,Pilot Atlas Loading defect and vulnerability fixes ,CHG3386886,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=15b767d287cb6a9c7e997595dabb35a3&recordUrl=change_request.do%3Fsys_id%3D15b767d287cb6a9c7e997595dabb35a3&sysparm_stack=&sysparm_view=,GDC cell002
7084,Enhancemnet Pilot,8/6/2025,Atlas Loading,Pilot Atlas Loading defect and vulnerability fixes ,CHG3386886,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=15b767d287cb6a9c7e997595dabb35a3&recordUrl=change_request.do%3Fsys_id%3D15b767d287cb6a9c7e997595dabb35a3&sysparm_stack=&sysparm_view=,GDC cell002
8397,Enhancemnet Pilot,8/6/2025,Atlas Loading,Pilot Atlas Loading defect and vulnerability fixes ,CHG3386886,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=15b767d287cb6a9c7e997595dabb35a3&recordUrl=change_request.do%3Fsys_id%3D15b767d287cb6a9c7e997595dabb35a3&sysparm_stack=&sysparm_view=,GDC cell002
8852,Enhancemnet Pilot,8/6/2025,Atlas Loading,Pilot Atlas Loading defect and vulnerability fixes ,CHG3386886,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=15b767d287cb6a9c7e997595dabb35a3&recordUrl=change_request.do%3Fsys_id%3D15b767d287cb6a9c7e997595dabb35a3&sysparm_stack=&sysparm_view=,GDC cell002
