Store,DC,Item #,Item Desc.,Whpk Return Qty,STO #
7296,6070,567668014,FF APP OF/SHRP,41,941697238
5812,6039,567668014,FF APP OF/SHRP,44,941698499
1374,6020,567668014,FF APP OF/SHRP,19,941700588
3752,6036,567668014,FF APP OF/SHRP,45,941701156
1737,6092,567668014,FF APP OF/SHRP,45,941701847
5374,6017,567668014,FF APP OF/SHRP,41,941702851
1890,7034,567668014,FF APP OF/SHRP,45,941709992
697,7035,567668014,FF APP OF/SHRP,42,941708234
5130,7034,567668014,FF APP OF/SHRP,40,941709856
954,6011,567668883,FF APP TUNA 1.1OZ,47,941715049
161,6066,567668883,FF APP TUNA 1.1OZ,44,941698695
2786,6017,567668883,FF APP TUNA 1.1OZ,45,941699803
1949,6027,567668883,FF APP TUNA 1.1OZ,40,941704310
4501,6027,567668883,FF APP TUNA 1.1OZ,42,941704678
5142,7034,567668883,FF APP TUNA 1.1OZ,40,941705345
1123,6070,567668883,FF APP TUNA 1.1OZ,42,941707237
5398,6092,567668883,FF APP TUNA 1.1OZ,45,941702958
1823,6027,567668883,FF APP TUNA 1.1OZ,37,941704682
809,6006,567668883,FF APP TUNA 1.1OZ,41,941709368
3352,6021,572764056,BI 3 IN 1 PB 2610,60,941706204
5435,6021,572764056,BI 3 IN 1 PB 2610,37,941706106
3126,6019,572764056,BI 3 IN 1 PB 2610,70,941706266
2206,6021,572764056,BI 3 IN 1 PB 2610,54,941706705
101,6069,577645017,AXE PHOENIX 32OZ BW,30,941697156
224,6069,577645017,AXE PHOENIX 32OZ BW,31,941697162
1642,6043,577645017,AXE PHOENIX 32OZ BW,33,941698981
3401,6054,577645017,AXE PHOENIX 32OZ BW,33,941700965
2215,6092,577645017,AXE PHOENIX 32OZ BW,63,941706064
5485,6092,577645017,AXE PHOENIX 32OZ BW,32,941706421
1853,7033,577645017,AXE PHOENIX 32OZ BW,32,941707656
331,6048,577645017,AXE PHOENIX 32OZ BW,31,941699567
1454,6009,577645017,AXE PHOENIX 32OZ BW,29,941703168
762,6006,577645017,AXE PHOENIX 32OZ BW,32,941709595
1101,6006,577645017,AXE PHOENIX 32OZ BW,35,941708770
7304,6070,572753015,MRCLN FRK TRG GAIN,27,941697222
1617,6019,572753015,MRCLN FRK TRG GAIN,26,941697975
2811,6054,572753015,MRCLN FRK TRG GAIN,28,941700101
402,6048,572753015,MRCLN FRK TRG GAIN,28,941700708
231,6068,572753015,MRCLN FRK TRG GAIN,26,941701372
451,6069,572753015,MRCLN FRK TRG GAIN,27,941702789
5476,7034,572753015,MRCLN FRK TRG GAIN,24,941703061
861,6012,572753015,MRCLN FRK TRG GAIN,27,941704672
4686,6094,572753015,MRCLN FRK TRG GAIN,27,941700021
645,6009,572753016,MRCLN FRK RFL GAIN,5,941715068
5745,6070,572753016,MRCLN FRK RFL GAIN,23,941698516
2834,6068,572753016,MRCLN FRK RFL GAIN,26,941699873
3585,7036,572753016,MRCLN FRK RFL GAIN,25,941700550
4567,6019,572753016,MRCLN FRK RFL GAIN,25,941700531
358,6094,572753016,MRCLN FRK RFL GAIN,27,941700839
136,6094,572753017,MRCLN FRK TRG LEM,27,941715040
6930,7036,572753017,MRCLN FRK TRG LEM,26,941697313
867,6019,572753017,MRCLN FRK TRG LEM,27,941715094
5611,6026,572753017,MRCLN FRK TRG LEM,27,941703070
219,6069,572753017,MRCLN FRK TRG LEM,28,941701875
1182,7035,572753017,MRCLN FRK TRG LEM,23,941708686
5078,6037,572753018,MRCLN FRK RFL LEM,24,941715243
2300,6027,572753018,MRCLN FRK RFL LEM,24,941715149
980,6019,572753018,MRCLN FRK RFL LEM,24,941704145
879,6066,572753018,MRCLN FRK RFL LEM,25,941704633
5142,7034,572753018,MRCLN FRK RFL LEM,27,941705418
691,6006,572753018,MRCLN FRK RFL LEM,24,941708134
2055,6030,572753018,MRCLN FRK RFL LEM,25,941710145
1862,7033,659878953,NSW- LITE TURQUOISE,84,941707731
5051,6019,673425119,ALL FC 30OZ,64,941716205
242,6035,665144788,"HR 40V 14"" BL CH SAW",12,941701387
67,6094,672504716,"HR 40V 15"" AC TRIM",6,941716065
424,6006,672504716,"HR 40V 15"" AC TRIM",6,941716071
1547,6092,557630495,AXE DARK TEMP 16Z BW,56,941705267
5965,6092,557630495,AXE DARK TEMP 16Z BW,57,941705402
4543,6031,554794766,ALEX PAINTER'S WHITE,98,941715219
91,6018,554794766,ALEX PAINTER'S WHITE,104,941696724
2192,7039,554794766,ALEX PAINTER'S WHITE,68,941706494
3354,7033,564173579,GV SLC JALAPENO 12FO,146,941702563
2639,6030,572153566,OT 1 GALLON JUG,13,941702253
198,6069,572138675,DVE CNUT 30.6Z BW,37,941698835
343,6069,572138675,DVE CNUT 30.6Z BW,34,941698753
648,6069,572138675,DVE CNUT 30.6Z BW,36,941698674
4631,6092,572138675,DVE CNUT 30.6Z BW,33,941699948
3477,6021,572138675,DVE CNUT 30.6Z BW,34,941701082
3284,6068,572138675,DVE CNUT 30.6Z BW,35,941702599
5624,6068,572138675,DVE CNUT 30.6Z BW,36,941702566
1435,6009,572138675,DVE CNUT 30.6Z BW,37,941703216
850,6012,572138675,DVE CNUT 30.6Z BW,35,941704704
1522,7045,572138675,DVE CNUT 30.6Z BW,35,941705246
2312,7045,572138675,DVE CNUT 30.6Z BW,38,941705294
4243,6043,572138675,DVE CNUT 30.6Z BW,34,941706008
3201,6054,572138675,DVE CNUT 30.6Z BW,33,941706468
3786,6054,572138675,DVE CNUT 30.6Z BW,34,941706569
2028,7033,572138675,DVE CNUT 30.6Z BW,34,941710196
909,6048,572138675,DVE CNUT 30.6Z BW,33,941694466
5096,7033,572138675,DVE CNUT 30.6Z BW,36,941710311
3254,6026,572138675,DVE CNUT 30.6Z BW,35,941710300
23,6048,572138675,DVE CNUT 30.6Z BW,33,941694449
2614,7034,572138675,DVE CNUT 30.6Z BW,32,941710419
2706,6048,572138675,DVE CNUT 30.6Z BW,34,941694443
2031,6026,572138675,DVE CNUT 30.6Z BW,35,941710157
2460,7034,572138675,DVE CNUT 30.6Z BW,36,941710407
168,6094,560018917,GAIN ORG SHTS 105CT,22,941698201
