win,store,codeid,barcode,,,
229507182,3741,1,078742231740006214498664028173,,,
103736413,522,2,078742231740006214498666162847,,,
211248153,5165,3,078742231740006214498669176656,,,
220122264,3296,4,078742231740006214498671763615,,,
221030748,2592,5,078742231740006214498672470418,,,
221224564,969,6,078742231740006214498673301629,,,
221415778,1571,7,078742231740006214498673984275,,,
224419236,366,8,078742231740006214498675448177,,,
225364218,5293,9,078742231740006214498676325123,,,
228846770,1118,10,078742231740006214498679417582,,,
103044497,2077,11,078742231740006214498679951092,,,
104209504,3069,12,078742231740006214498680383824,,,
104297865,1660,13,078742231740006214498683414825,,,
104620142,3459,14,078742231740006214498686543092,,,
105443677,2988,15,078742231740006214498691730571,,,
105737511,1863,16,078742231740006214498692290270,,,
105908904,5211,17,078742231740006214498696188533,,,
106231773,5361,18,078742231740006214498699564508,,,
108592799,3877,19,078742231740006214498699838360,,,
112695837,3659,20,078742231740006214498700560492,,,
204287889,5134,21,078742231740006214498701094374,,,
204322168,3520,22,078742231740006214498706453829,,,
206830857,2278,23,078742231740006214498708512993,,,
210027531,3406,24,078742231740006214498708747342,,,
210322352,1588,25,078742231740006214498708849975,,,
210964791,2991,26,078742231740006214498708883888,,,
212223458,5035,27,078742231740006214498709603184,,,
212519785,1835,28,078742231740006214498710304422,,,
213492682,2708,29,078742231740006214498710446780,,,
214423778,1353,30,078742231740006214498713903561,,,
215520920,5227,31,078742231740006214498715794664,,,
215703460,943,32,078742231740006214498718488284,,,
216063205,1664,33,078742231740006214498719976048,,,
216476332,3893,34,078742231740006214498720136268,,,
216885396,5080,35,078742231740006214498721260269,,,
218049010,4394,36,078742231740006214498721397817,,,
218202078,3348,37,078742231740006214498722811254,,,
218822134,434,38,078742231740006214498723530680,,,
219718313,1427,39,078742231740006214498723696783,,,
219827060,5126,40,078742231740006214498724304616,,,
221185291,3654,41,078742231740006214498725000602,,,
221286056,2025,42,078742231740006214498726180783,,,
221698855,5408,43,078742231740006214498728234088,,,
221959548,404,44,078742231740006214498728395102,,,
222535898,4137,45,078742231740006214498735230132,,,
222708070,3344,46,078742231740006214498736744311,,,
223427165,112,47,078742231740006214498738207394,,,
224300720,1220,48,078742231740006214498738675844,,,
224588806,4325,49,078742231740006214498739276614,,,
226326884,258,50,078742231740006214498740601963,,,
226414354,1816,51,078742231740006214498740975783,,,
226984934,3313,52,078742231740006214498742621495,,,
102218653,5672,53,078742231740006214498744973251,,,
102334721,5091,54,078742231740006214498746226693,,,
102434135,2316,55,078742231740006214498746716020,,,
103572946,4321,56,078742231740006214498749279378,,,
103832652,564,57,078742231740006214498749786719,,,
104409836,1221,58,078742231740006214498752879858,,,
105204923,3709,59,078742231740006214498754653752,,,
105256694,1298,60,078742231740006214498763952292,,,
