Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments,
11,14,Chefman 6QT Slow Cooker / 10 units per half endcap,Half Endcap,3,41,,
11,14,Chefman  Warming Tray / 20 units per half endcap,Half Endcap,1,41,,
11,14,379PC Holiday Time Colored Disposable Foil Pallet,Half Stack,1,41,,
11,14,52pc PW Holiday Bake & Store PLT,Half Stack,2,41,,
11,22,Electric Mattress Pad,Full Endcap,2,41,,
11,22,144pc Mossy Oak and Realtree Throw Blanket Assortment,Full Stack,2,41,,
11,23,Wm3-016-C409yb/48PC Down Jacket and Flannel Jacket,4-way,1,41,,
11,23,Cold Front Midweight Winter Assorted/216,Full Endcap,1,41,,
11,23,WM3-013-1118YB/48PC Board Parka and Shell Jacket,4-way,1,41,,
11,31,Swiss Tech Ski Gloves & Headwear Pallet,Half Stack,1,41,,
11,40,Chapstick 108pc Qbin,Q-Bin,1,41,,
11,71,"X Rocker Nemesis Pedestal Rocker Gaming Chair, 4",Half Stack,2,41,,
11,74,Hamilton Beach 15.6 cu. Ft. Side by side Stainless,Full Stack,2,41,,
11,82,Star Shower,Half Stack,1,41,,
11,92,Oregon Pie Filling Assorted PDQ,Quarter Stack,1,41,,
11,95,Welch's Six Flavor Sparkling Pallet,Full Stack,2,41,,
11,95,Martinelli Display 5 Flavor Pallet,Full Stack,2,41,,
11,96,Winemakers Selection Brut $5 & Prosecco $10,Full Stack,1,41,,
11,96,Wine Champagne 6pk Giftset,Full Endcap,1,41,,
12,2,Dr. Teals Salts & Foaming Bath 304pc,Full Endcap,1,41,,
12,7,Tonka Steel Classics Tow&4X4&DT Assortment,Full Endcap,1,41,,
12,8,VL CEDBEDNG 141L 25ct Pallet,Full Stack,1,41,,
12,8,VL PINEBEDNG 141L 25ct Pallet,Full Stack,1,41,,
12,14,Chefman 18L Toaster Oven /10 units per half pallet,Half Stack,2,41,,
12,14,Chefman 6QT Slow Cooker / 10 units per half endcap,Half Endcap,3,41,,
12,14,379PC Holiday Time Colored Disposable Foil Pallet,Half Stack,1,41,,
12,14,52pc PW Holiday Bake & Store PLT,Half Stack,2,41,,
12,17,Teddy Pillow PDQ Pillow,Train,1,41,,
12,22,"ENT: Plush 11"" Hugger with 50” x 60” ST / 100pcs",PDQ,1,41,,
12,40,Emergency Immune + Triple Action 15 PC,PDQ,1,41,,
12,40,Airborne 4 way PDQ,4-way,1,41,,
12,71,AK FOAM CHAIR ASSORTMENT,Full Stack,1,41,,
12,92,Oregon Pie Filling Assorted PDQ,Quarter Stack,1,41,,
12,92,"Rice Krispies Holiday LTO Pallet, 192 pieces",Half Stack,1,41,,
13,14,52pc PW Holiday Bake & Store PLT,Half Stack,1,41,,
13,22,144pc Mossy Oak and Realtree Throw Blanket Assortment,Full Stack,1,41,,
13,22,28pc Mossy Oak Comforter Sets & Mossy Oak Sheet Set Assortment,Full Endcap,1,41,,
13,92,Oregon Pie Filling Assorted PDQ,Quarter Stack,1,41,,
13,95,Welch's Six Flavor Sparkling Pallet,Full Stack,1,41,,
14,14,PW 2PK COLANDER DUMPBIN,Quarter Stack,1,41,,
14,7,"Care Bears 3"" Micro Plush 40 pc Sidekick - #6 Plus",SK,2,41,,
14,7,"Care Bears 14"" Plush Calming Heart 48pc",Half Endcap,1,41,,
14,7,Hot Wheels Nemesis Assortment - 4 Styles,Full Endcap,1,41,Per merchant - Reduced item quantity to avoid overstock.,
14,14,379PC Holiday Time Colored Disposable Foil Pallet,Half Stack,2,41,,
14,14,52pc PW Holiday Bake & Store PLT,Half Stack,1,41,,
14,22,144pc Mossy Oak and Realtree Throw Blanket Assortment,Full Stack,1,41,,
14,22,28pc Mossy Oak Comforter Sets & Mossy Oak Sheet Set Assortment,Full Endcap,2,41,,
14,22,"ENT: Plush 11"" Hugger with 50” x 60” ST / 100pcs",PDQ,2,41,,
14,71,AK FOAM CHAIR ASSORTMENT,Full Stack,1,41,,
14,71,DHP Miller Recliner,Full Stack,2,41,,
14,74,Hamilton Beach 15.6 cu. Ft. Side by side Stainless,Full Stack,2,41,,
14,92,"Rice Krispies Holiday LTO Pallet, 192 pieces",Half Stack,1,41,,
14,92,"Chex Rice/Corn MidSize Pallet, 372 pieces",Full Stack,1,41,,
14,95,Martinelli Display 5 Flavor Pallet,Full Stack,1,41,,
14,95,Red Bull 4 Way Shoppable Pallet,4-way,1,41,,
14,96,Stella Rosa Wine 5pk VAP,Half Endcap,1,41,,
14,96,Wine Champagne 6pk Giftset,Full Endcap,1,41,,
15,7,Tonka Steel Classics Tow&4X4&DT Assortment,Full Endcap,1,41,,
15,7,1/2 PALLET MODELKITS / 105 PCS,Half Stack,2,41,,
15,14,Chefman 18L Toaster Oven /10 units per half pallet,Half Stack,4,41,,
15,14,Chefman 6QT Slow Cooker / 10 units per half endcap,Half Endcap,5,41,,
15,14,Ninja 7QT Mega Air Fryer /10 units per half pallet,Half Stack,2,41,,
15,14,52pc PW Holiday Bake & Store PLT,Half Stack,1,41,,
15,14,Chefman 4.5L Deep Fryer / 10 units per half endcap,Half Endcap,5,41,,
15,22,144pc Mossy Oak and Realtree Throw Blanket Assortment,Full Stack,1,41,,
15,22,28pc Mossy Oak Comforter Sets & Mossy Oak Sheet Set Assortment,Full Endcap,2,41,,
15,22,"ENT: 11"" Round Cloud Pillows / 64pcs",PDQ,1,41,,
15,22,"ENT: Plush 11"" Hugger with 50” x 60” ST / 100pcs",PDQ,1,41,,
15,40,Alka seltzer PDQ,Half Endcap,1,41,,
15,40,Airborne 4 way PDQ,4-way,1,41,,
15,74,"Frigidaire 7.5 Cu. ft. Refrigerator, Platinum Seri",Full Stack,4,41,,
15,74,Hamilton Beach 15.6 cu. Ft. Side by side Stainless,Full Stack,1,41,,
16,2,Working Hands Combo 26pc,SK,1,41,,
16,40,EQ DUAL ACTION 30ct SIDEKICK,SK,1,41,,
16,7,Hot Wheels Nemesis Assortment - 4 Styles,Full Endcap,1,41,Per merchant - Reduced item quantity to avoid overstock.,
16,7,Tonka Steel Classics Tow&4X4&DT Assortment,Full Endcap,1,41,,
16,13,Swiffer Sweeper SK PDQ,PDQ,1,41,,
16,14,Chefman 4.5L Deep Fryer / 10 units per half endcap,Half Endcap,1,41,,
16,71,"X Rocker Nemesis Pedestal Rocker Gaming Chair, 4",Half Stack,1,41,,
16,82,Handy Heater Feature,Half Stack,1,41,,
16,92,Oregon Pie Filling Assorted PDQ,Quarter Stack,1,41,,
16,92,"Rice Krispies Holiday LTO Pallet, 192 pieces",Half Stack,1,41,,
16,92,"Chex Rice/Corn MidSize Pallet, 372 pieces",Full Stack,2,41,,
16,92,JP Marsh Mini 10 oz,Half Stack,1,41,,
16,93,SHRMP 1/2 MOON 20OZ,Bunker,1,41,,
17,8,"6 QT ROUND HEATED PET BOWL, 48",Full Endcap,1,41,,
17,8,VL CEDBEDNG 141L 25ct Pallet,Full Stack,1,41,,
18,2,Dr. Teals Salts & Foaming Bath 304pc,Full Endcap,1,41,,
18,8,"6 QT ROUND HEATED PET BOWL, 48",Full Endcap,1,41,,
