Stores,Market,Store Type,VIN,Expiration Date
2996,53,SUP,1FTBW3XK6NKA08258,6/30/2023
4240,53,SUP,1FTBW3XKXNKA14483,6/30/2023
5889,53,SUP,1FTBW3XK4NKA00594,6/30/2023
3406,51,SUP,1FTBW3XK6NKA00533,6/30/2023
2883,56,SUP,1FTBW3XK0NKA00530,6/30/2023
4219,82,SUP,1FTBW3XK1NKA08281,6/30/2023
3285,44,SUP,1FTBW3XK6NKA08244,6/30/2023
5624,58,WNM,1FTBW3XK1NKA00505,6/30/2023
3225,583,SUP,1FTBW3XK5NKA22507,6/30/2023
467,52,SUP,1FTBW3XK3NKA22506,6/30/2023
789,583,SUP,1FTBW3XK6NKA22497,6/30/2023
2427,53,SUP,1FTBW3XK2NKA14154,6/30/2023
880,50,SUP,1FTBW3XK8NKA00548,4/30/2023
4509,48,SUP,1FTBW3XK9NKA00560,6/30/2023
3274,50,SUP,1FTBW3XK7NKA00606,6/30/2023
3777,56,SUP,1FTBW3XK6NKA00578,6/30/2023
4163,82,SUP,1FTBW3XK4NKA14172,6/30/2023
2667,55,SUP,1FTBW3XK2NKA14431,6/30/2023
426,53,SUP,1FTBW3XK8NKA14112,6/30/2023
2427,53,SUP,1FTBW3XKXNKA14225,6/30/2023
6300,56,SUP,1FTBW3XK2NKA08287,6/30/2023
3285,44,SUP,1FTBW3XK7NKA46680,6/30/2023
3302,64,SUP,1FTBW3XK4NKA46698,6/30/2023
3297,67,SUP,1FTBW3XK6NKA46685,6/30/2023
3298,60,SUP,1FTBW3XK4NKA35622,6/30/2023
3390,68,SUP,1FTBW3XK7NKA35632,6/30/2023
3425,63,SUP,1FTBW3XK7NKA30110,6/30/2023
3509,562,WNM,1FTBW3XK7NKA28549,6/30/2023
3542,562,WNM,1FTBW3XKXNKA30084,6/30/2023
5091,67,SUP,1FTBW3XK7NKA28390,6/30/2023
5287,68,SUP,1FTBW3XK2NKA35618,6/30/2023
4416,67,SUP,1FTBW3XK8NKA35719,6/30/2023
5449,62,SUP,1FTBW3XK3NKA35806,6/30/2023
4512,65,SUP,1FTBW3XK9NKA14216,6/30/2023
3640,65,SUP,1FTBW3XK3NKA14194,6/30/2023
3827,64,SUP,1FTBW3XK6NKA28378,6/30/2023
3584,64,SUP,1FTBW3XK0NKA22477,6/30/2023
3640,65,SUP,1FTBW3XK2NKA28541,6/30/2023
1103,59,SUP,1FTBW3XK9NKA28519,6/30/2023
3296,64,SUP,1FTBW3XK3NKA14180,6/30/2023
3297,67,SUP,1FTBW3XK1NKA30099,6/30/2023
546,62,SUP,1FTBW3XK7NKA30396,6/30/2023
872,62,SUP,1FTBW3XK7NKA30480,6/30/2023
3452,562,WNM,1FTBW3XK3NKA30394,6/30/2023
194,60,SUP,1FTBW3XK5NKA30378,6/30/2023
351,68,SUP,1FTBW3XK9NKA35695,6/30/2023
768,65,SUP,1FTBW3XK1NKA35576,6/30/2023
772,64,SUP,1FTBW3XK2NKA35604,6/30/2023
849,59,SUP,1FTBW3XK4NKA30484,6/30/2023
915,62,SUP,1FTBW3XK0NKA30479,6/30/2023
915,62,SUP,1FTBW3XK4NKA30131,6/30/2023
1040,65,SUP,1FTBW3XK9NKA28410,6/30/2023
1062,63,SUP,1FTBW3XK8NKA35669,6/30/2023
