Store,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
4,HP,37
13,HP,37
23,HP,37
40,HP,37
47,HP,37
72,HP,37
81,HP,37
91,HP,37
108,HP,37
140,HP,37
176,HP,37
201,HP,37
209,HP,37
226,HP,37
242,HP,37
244,HP,37
269,HP,37
294,HP,37
295,HP,37
312,HP,37
362,HP,37
363,HP,37
389,HP,37
414,HP,37
430,HP,37
457,HP,37
463,HP,37
482,HP,37
523,HP,37
550,HP,37
557,HP,37
567,HP,37
591,HP,37
617,HP,37
618,HP,37
625,HP,37
685,HP,37
738,HP,37
745,HP,37
770,HP,37
786,HP,37
795,HP,37
813,HP,37
863,HP,37
888,HP,37
906,HP,37
924,HP,37
958,HP,37
973,HP,37
974,HP,37
992,HP,37
993,HP,37
1026,HP,37
1041,HP,37
1061,HP,37
1067,HP,37
1101,HP,37
1128,HP,37
1160,HP,37
1161,HP,37
1196,HP,37
1211,HP,37
1221,HP,37
1228,HP,37
54,HP,37
74,HP,37
101,HP,37
104,HP,37
106,HP,37
121,HP,37
126,HP,37
151,HP,37
161,HP,37
195,HP,37
240,HP,37
262,HP,37
314,HP,37
319,HP,37
329,HP,37
344,HP,37
359,HP,37
369,HP,37
416,HP,37
423,HP,37
448,HP,37
480,HP,37
497,HP,37
517,HP,37
527,HP,37
530,HP,37
537,HP,37
552,HP,37
577,HP,37
584,HP,37
616,HP,37
631,HP,37
688,HP,37
695,HP,37
720,HP,37
725,HP,37
735,HP,37
750,HP,37
752,HP,37
785,HP,37
839,HP,37
856,HP,37
886,HP,37
903,HP,37
933,HP,37
938,HP,37
960,HP,37
963,HP,37
1007,HP,37
1074,HP,37
1094,HP,37
1096,HP,37
1111,HP,37
1121,HP,37
1126,HP,37
1146,HP,37
1215,HP,37
1235,HP,37
19,HP,37
26,HP,37
36,HP,37
51,HP,37
76,HP,37
86,HP,37
87,HP,37
94,HP,37
119,HP,37
144,HP,37
154,HP,37
155,HP,37
180,HP,37
221,HP,37
248,HP,37
274,HP,37
289,HP,37
341,HP,37
342,HP,37
348,HP,37
357,HP,37
409,HP,37
442,HP,37
452,HP,37
477,HP,37
502,HP,37
510,HP,37
520,HP,37
529,HP,37
545,HP,37
630,HP,37
665,HP,37
680,HP,37
690,HP,37
698,HP,37
724,HP,37
733,HP,37
748,HP,37
758,HP,37
765,HP,37
784,HP,37
799,HP,37
833,HP,37
852,HP,37
858,HP,37
867,HP,37
878,HP,37
885,HP,37
935,HP,37
952,HP,37
953,HP,37
1003,HP,37
1020,HP,37
1021,HP,37
1039,HP,37
1046,HP,37
1056,HP,37
1071,HP,37
1089,HP,37
1106,HP,37
1107,HP,37
1114,HP,37
1124,HP,37
1139,HP,37
1174,HP,37
1200,HP,37
1207,HP,37
1234,HP,37
1243,HP,37
1,HP,37
21,HP,37
33,HP,37
46,HP,37
83,HP,37
100,HP,37
169,HP,37
174,HP,37
189,HP,37
194,HP,37
204,HP,37
214,HP,37
219,HP,37
254,HP,37
308,HP,37
323,HP,37
355,HP,37
372,HP,37
382,HP,37
412,HP,37
427,HP,37
429,HP,37
459,HP,37
462,HP,37
476,HP,37
491,HP,37
516,HP,37
580,HP,37
590,HP,37
595,HP,37
610,HP,37
620,HP,37
627,HP,37
645,HP,37
667,HP,37
684,HP,37
699,HP,37
731,HP,37
788,HP,37
798,HP,37
803,HP,37
818,HP,37
828,HP,37
835,HP,37
853,HP,37
865,HP,37
892,HP,37
939,HP,37
971,HP,37
996,HP,37
1001,HP,37
1006,HP,37
1053,HP,37
1075,HP,37
1100,HP,37
1120,HP,37
1164,HP,37
1189,HP,37
1194,HP,37
1209,HP,37
1214,HP,37
1239,HP,37
1241,HP,37
1261,HP,37
5,HP,37
30,HP,37
39,HP,37
66,HP,37
73,HP,37
98,HP,37
99,HP,37
132,HP,37
134,HP,37
139,HP,37
149,HP,37
166,HP,37
167,HP,37
200,HP,37
202,HP,37
217,HP,37
227,HP,37
234,HP,37
252,HP,37
253,HP,37
302,HP,37
320,HP,37
321,HP,37
352,HP,37
370,HP,37
388,HP,37
395,HP,37
420,HP,37
421,HP,37
481,HP,37
488,HP,37
489,HP,37
508,HP,37
515,HP,37
540,HP,37
549,HP,37
556,HP,37
575,HP,37
576,HP,37
583,HP,37
593,HP,37
643,HP,37
676,HP,37
703,HP,37
743,HP,37
744,HP,37
