primary,col1
Store Number,UPS Tracking Number
1,1ZE15F400372790981
2,1ZE15F400370226595
4,1ZE15F400372683007
5,1ZE15F400372984218
7,1ZE15F400370674226
8,1ZE15F400372617034
9,1ZE15F400372596647
10,1ZE15F400372917059
11,1ZE15F400370002264
13,1ZE15F400372996278
15,1ZE15F400371363088
16,1ZE15F400371486697
19,1ZE15F400370271107
21,1ZE15F400370740314
22,1ZE15F400370638328
23,1ZE15F400372029134
24,1ZE15F400372896742
26,1ZE15F400370745159
28,1ZE15F400372198363
29,1ZE15F400372600373
30,1ZE15F400371615181
34,1ZE15F400370826795
35,1ZE15F400371339202
36,1ZE15F400371376412
37,1ZE15F400372882426
39,1ZE15F400370121233
41,1ZE15F400371276842
42,1ZE15F400372053250
43,1ZE15F400371274460
45,1ZE15F400371484475
47,1ZE15F400370547284
52,1ZE15F400371246893
54,1ZE15F400372887305
58,1ZE15F400371892515
59,1ZE15F400371406522
60,1ZE15F400372893334
61,1ZE15F400370736945
63,1ZE15F400370841358
66,1ZE15F400370230562
69,1ZE15F400372648573
70,1ZE15F400371159380
72,1ZE15F400372746994
73,1ZE15F400371915400
75,1ZE15F400372288613
76,1ZE15F400372210624
78,1ZE15F400371345437
79,1ZE15F400371277047
85,1ZE15F400370109453
86,1ZE15F400372066666
87,1ZE15F400370092677
93,1ZE15F400370451485
94,1ZE15F400372327099
95,1ZE15F400371423503
96,1ZE15F400372564716
100,1ZE15F400372294722
101,1ZE15F400371477536
103,1ZE15F400372897143
104,1ZE15F400372857552
105,1ZE15F400370782761
107,1ZE15F400372816775
108,1ZE15F400371423585
110,1ZE15F400372987199
111,1ZE15F400371411605
112,1ZE15F400372720814
113,1ZE15F400371658822
119,1ZE15F400370289634
120,1ZE15F400372597244
121,1ZE15F400370085658
125,1ZE15F400372378865
126,1ZE15F400371820879
127,1ZE15F400371075685
128,1ZE15F400371727293
129,1ZE15F400371879709
130,1ZE15F400372756910
134,1ZE15F400370302921
138,1ZE15F400370781735
139,1ZE15F400370377342
140,1ZE15F400370793759
141,1ZE15F400370854960
143,1ZE15F400370104976
144,1ZE15F400372407789
147,1ZE15F400371547399
148,1ZE15F400372827807
150,1ZE15F400372673018
151,1ZE15F400371227029
152,1ZE15F400372953831
154,1ZE15F400372237445
157,1ZE15F400371981857
159,1ZE15F400372211061
160,1ZE15F400370669072
163,1ZE15F400372419883
164,1ZE15F400372447496
165,1ZE15F400371255909
168,1ZE15F400372469114
170,1ZE15F400371431129
171,1ZE15F400370805932
172,1ZE15F400372177546
174,1ZE15F400370649950
175,1ZE15F400370447169
177,1ZE15F400370513177
180,1ZE15F400371111984
184,1ZE15F400371427590
185,1ZE15F400370164009
186,1ZE15F400372145213
188,1ZE15F400370915224
195,1ZE15F400370338036
196,1ZE15F400370197644
197,1ZE15F400372798054
199,1ZE15F400371563264
200,1ZE15F400372637272
201,1ZE15F400371484082
202,1ZE15F400371487696
206,1ZE15F400372552103
212,1ZE15F400371701319
213,1ZE15F400372679325
216,1ZE15F400371550134
217,1ZE15F400372297747
219,1ZE15F400372426151
220,1ZE15F400372559366
221,1ZE15F400371041372
222,1ZE15F400370536189
224,1ZE15F400372627792
227,1ZE15F400372420200
228,1ZE15F400371137411
231,1ZE15F400370723422
234,1ZE15F400371442233
240,1ZE15F400372477847
243,1ZE15F400372534258
253,1ZE15F400370435467
259,1ZE15F400371725473
260,1ZE15F400371268280
261,1ZE15F400371847896
264,1ZE15F400372768309
265,1ZE15F400370453518
266,1ZE15F400371047527
269,1ZE15F400370014331
272,1ZE15F400370737944
275,1ZE15F400370122358
277,1ZE15F400371191568
278,1ZE15F400371689576
284,1ZE15F400370680380
285,1ZE15F400372147999
286,1ZE15F400370596409
287,1ZE15F400372649616
298,1ZE15F400370651625
299,1ZE15F400370266435
300,1ZE15F400370078040
301,1ZE15F400371190452
304,1ZE15F400371827667
306,1ZE15F400370933679
307,1ZE15F400371772485
309,1ZE15F400370528090
310,1ZE15F400371904501
313,1ZE15F400371725713
316,1ZE15F400372535720
317,1ZE15F400372198532
318,1ZE15F400370498140
319,1ZE15F400372738556
322,1ZE15F400372343768
325,1ZE15F400372457770
328,1ZE15F400371544589
329,1ZE15F400372988198
330,1ZE15F400370692608
331,1ZE15F400370681816
335,1ZE15F400370699825
340,1ZE15F400372810637
343,1ZE15F400371998241
345,1ZE15F400371766652
351,1ZE15F400372739868
355,1ZE15F400370261878
356,1ZE15F400372996689
359,1ZE15F400370528296
360,1ZE15F400372960707
361,1ZE15F400372517919
363,1ZE15F400371143922
365,1ZE15F400372102732
368,1ZE15F400371578347
371,1ZE15F400371274755
372,1ZE15F400370015965
374,1ZE15F400370345975
375,1ZE15F400370128781
376,1ZE15F400372148390
377,1ZE15F400372708801
381,1ZE15F400371234011
382,1ZE15F400370868026
383,1ZE15F400370074839
389,1ZE15F400372238444
391,1ZE15F400371262857
393,1ZE15F400370172063
394,1ZE15F400372710076
398,1ZE15F400371940883
399,1ZE15F400371848493
400,1ZE15F400372936903
402,1ZE15F400372830115
404,1ZE15F400372872124
405,1ZE15F400372726934
406,1ZE15F400370978541
407,1ZE15F400371730958
408,1ZE15F400370208168
410,1ZE15F400371354178
412,1ZE15F400372432984
414,1ZE15F400372628595
415,1ZE15F400370645007
416,1ZE15F400371306210
417,1ZE15F400371156221
420,1ZE15F400371059032
423,1ZE15F400370798647
424,1ZE15F400372679058
426,1ZE15F400370124267
427,1ZE15F400372278277
428,1ZE15F400371605085
432,1ZE15F400371488695
434,1ZE15F400371833105
437,1ZE15F400372662315
444,1ZE15F400371720325
445,1ZE15F400371071134
448,1ZE15F400371698744
450,1ZE15F400371107159
452,1ZE15F400372920367
456,1ZE15F400372482377
457,1ZE15F400372457181
458,1ZE15F400371428795
459,1ZE15F400370501206
462,1ZE15F400370898413
464,1ZE15F400371564423
465,1ZE15F400372763233
467,1ZE15F400370678848
468,1ZE15F400370015250
469,1ZE15F400372596469
470,1ZE15F400371966472
471,1ZE15F400371989288
472,1ZE15F400372448897
475,1ZE15F400372649303
477,1ZE15F400372014515
479,1ZE15F400370688524
481,1ZE15F400370135335
483,1ZE15F400370738943
484,1ZE15F400372403354
486,1ZE15F400372615670
489,1ZE15F400371414488
491,1ZE15F400372930098
493,1ZE15F400372866506
494,1ZE15F400371249498
495,1ZE15F400371617901
497,1ZE15F400370191113
499,1ZE15F400371313122
500,1ZE15F400371647932
501,1ZE15F400372779548
504,1ZE15F400372811958
507,1ZE15F400372969164
508,1ZE15F400372195179
510,1ZE15F400370753980
511,1ZE15F400370829596
514,1ZE15F400371126003
516,1ZE15F400370467218
517,1ZE15F400371397220
518,1ZE15F400371780038
520,1ZE15F400371399648
521,1ZE15F400372560050
522,1ZE15F400371685267
525,1ZE15F400371919273
526,1ZE15F400371726089
528,1ZE15F400371489694
529,1ZE15F400371114105
530,1ZE15F400370623316
531,1ZE15F400370761328
532,1ZE15F400370592136
533,1ZE15F400371099749
535,1ZE15F400372788154
536,1ZE15F400370281365
537,1ZE15F400370923377
538,1ZE15F400371378189
539,1ZE15F400370229798
540,1ZE15F400371582207
541,1ZE15F400370659412
543,1ZE15F400372405423
544,1ZE15F400371084237
546,1ZE15F400371879843
547,1ZE15F400370496259
549,1ZE15F400371757466
551,1ZE15F400372207478
553,1ZE15F400372710281
556,1ZE15F400370049894
558,1ZE15F400372530305
559,1ZE15F400370575511
560,1ZE15F400370329528
562,1ZE15F400370256339
566,1ZE15F400370739942
571,1ZE15F400371684357
572,1ZE15F400370113564
573,1ZE15F400372771573
574,1ZE15F400372722385
575,1ZE15F400370949993
576,1ZE15F400370958401
577,1ZE15F400370371615
578,1ZE15F400370533628
579,1ZE15F400371108434
581,1ZE15F400370680040
582,1ZE15F400370352458
584,1ZE15F400371349666
585,1ZE15F400370047716
586,1ZE15F400370017721
589,1ZE15F400370640539
590,1ZE15F400371700141
592,1ZE15F400372500552
593,1ZE15F400372465761
594,1ZE15F400371739771
595,1ZE15F400371786587
599,1ZE15F400372990194
600,1ZE15F400372254604
601,1ZE15F400372603816
602,1ZE15F400371781822
603,1ZE15F400371852639
604,1ZE15F400370800240
605,1ZE15F400372128652
608,1ZE15F400370461867
611,1ZE15F400370143871
613,1ZE15F400370838684
616,1ZE15F400371130294
618,1ZE15F400372122701
620,1ZE15F400372039918
621,1ZE15F400372825925
622,1ZE15F400371744738
623,1ZE15F400370980341
625,1ZE15F400372236759
628,1ZE15F400371337964
630,1ZE15F400370827972
631,1ZE15F400371570783
632,1ZE15F400370350398
635,1ZE15F400372470808
636,1ZE15F400371356014
638,1ZE15F400370150023
639,1ZE15F400370316836
640,1ZE15F400372240440
641,1ZE15F400372824855
643,1ZE15F400372094064
645,1ZE15F400370792072
648,1ZE15F400370982885
649,1ZE15F400370650493
651,1ZE15F400370298900
652,1ZE15F400370552116
653,1ZE15F400372754127
655,1ZE15F400370568930
656,1ZE15F400371580549
657,1ZE15F400370892955
658,1ZE15F400372730161
659,1ZE15F400370036175
660,1ZE15F400372074988
661,1ZE15F400372030597
662,1ZE15F400371607001
663,1ZE15F400372628219
667,1ZE15F400371638228
668,1ZE15F400372501033
669,1ZE15F400372000646
670,1ZE15F400372441054
671,1ZE15F400370246260
672,1ZE15F400371560276
673,1ZE15F400371847083
674,1ZE15F400371490691
675,1ZE15F400370395108
677,1ZE15F400371584312
680,1ZE15F400372802324
681,1ZE15F400370113135
684,1ZE15F400370500743
685,1ZE15F400371469152
687,1ZE15F400370642368
688,1ZE15F400372364370
689,1ZE15F400370299187
690,1ZE15F400372030793
691,1ZE15F400372663207
692,1ZE15F400370420419
694,1ZE15F400370246420
695,1ZE15F400372405236
697,1ZE15F400370080840
698,1ZE15F400370977257
699,1ZE15F400370918463
701,1ZE15F400372448477
702,1ZE15F400370431283
703,1ZE15F400370650895
705,1ZE15F400372411309
706,1ZE15F400372136518
708,1ZE15F400372970527
709,1ZE15F400370377333
715,1ZE15F400370740949
718,1ZE15F400370965359
719,1ZE15F400371074560
720,1ZE15F400371812575
721,1ZE15F400372243385
722,1ZE15F400370350996
723,1ZE15F400372639403
725,1ZE15F400370732618
728,1ZE15F400371974623
729,1ZE15F400370029432
731,1ZE15F400372481047
733,1ZE15F400371433458
734,1ZE15F400371110663
735,1ZE15F400370456677
736,1ZE15F400372735488
737,1ZE15F400371131097
739,1ZE15F400370347508
