Store,Participating
1,Yes
2,Yes
5,Yes
7,Yes
8,Yes
10,Yes
11,Yes
12,Yes
16,Yes
22,Yes
23,Yes
26,Yes
29,Yes
36,Yes
37,Yes
40,Yes
45,Yes
46,Yes
58,Yes
59,Yes
62,Yes
69,Yes
73,Yes
79,Yes
85,Yes
94,Yes
95,Yes
96,Yes
100,Yes
101,Yes
105,Yes
109,Yes
112,Yes
118,Yes
119,Yes
122,Yes
129,Yes
131,Yes
137,Yes
138,Yes
140,Yes
141,Yes
144,Yes
148,Yes
151,Yes
157,Yes
158,Yes
159,Yes
167,Yes
168,Yes
175,Yes
177,Yes
180,Yes
182,Yes
186,Yes
188,Yes
189,Yes
192,Yes
201,Yes
206,Yes
214,Yes
217,Yes
218,Yes
219,Yes
221,Yes
224,Yes
226,Yes
227,Yes
228,Yes
231,Yes
234,Yes
240,Yes
242,Yes
251,Yes
257,Yes
259,Yes
260,Yes
261,Yes
262,Yes
264,Yes
268,Yes
269,Yes
272,Yes
278,Yes
282,Yes
284,Yes
286,Yes
300,Yes
304,Yes
307,Yes
310,Yes
314,Yes
315,Yes
322,Yes
328,Yes
329,Yes
331,Yes
332,Yes
335,Yes
345,Yes
348,Yes
351,Yes
354,Yes
355,Yes
359,Yes
365,Yes
371,Yes
383,Yes
389,Yes
391,Yes
392,Yes
393,Yes
394,Yes
400,Yes
405,Yes
406,Yes
408,Yes
410,Yes
412,Yes
414,Yes
416,Yes
417,Yes
420,Yes
421,Yes
426,Yes
427,Yes
431,Yes
432,Yes
434,Yes
440,Yes
445,Yes
448,Yes
450,Yes
451,Yes
454,Yes
459,Yes
461,Yes
462,Yes
463,Yes
464,Yes
467,Yes
469,Yes
471,Yes
472,Yes
479,Yes
481,Yes
483,Yes
486,Yes
489,Yes
490,Yes
491,Yes
492,Yes
494,Yes
495,Yes
500,Yes
501,Yes
505,Yes
511,Yes
512,Yes
513,Yes
514,Yes
518,Yes
526,Yes
528,Yes
529,Yes
530,Yes
532,Yes
537,Yes
542,Yes
543,Yes
546,Yes
547,Yes
548,Yes
551,Yes
556,Yes
