STORE,ITEM_NUMBER,UPC,DEPARTMENT,ITEM_DESCRIPTION,RETAIL_PRICE,VENDOR_ID,VENDOR_NAME,ONHAND_QTY
2626,7000017,607772225180.00,98,GEL COLOR HONEY,5.12,791082,"DECOPAC, INC.",1
547,7000007,607772284810.00,98,SUGAR STRAWBERRIES,38.4,791082,"DECOPAC, INC.",1
776,7000048,607772284810.00,98,SUGAR STRAWBERRIES,38.4,791082,"DECOPAC, INC.",2
1705,7000100,607772284810.00,98,SUGAR STRAWBERRIES,38.4,791082,"DECOPAC, INC.",1
2626,7000054,607772284810.00,98,SUGAR STRAWBERRIES,38.4,791082,"DECOPAC, INC.",1
2782,7000011,607772284810.00,98,SUGAR STRAWBERRY,38.4,791082,"DECOPAC, INC.",1
115,7000018,2691530.00,38,KATE FARM PEDTIDE,181.76,122663,MCKESSON,6
1902,7000011,1502610.00,38,BERRY OVAL AMBER,0.01,122663,MCKESSON,1
429,7000056,809726047920.00,67,BALLON STICK,0.01,90924,"AMISTAD FLORAL & CRAFTS, LLC",0
1822,7000050,78786010500.00,75,DEDUCIBLE,0.01,542654,WAL-MART IMPORT,-2542
2157,7000117,6077721182560.00,98,DINOSAURS,0.01,791082,"DECOPAC, INC.",6
2157,7000124,607772273320.00,98,GUM BALLS,0.01,791082,"DECOPAC, INC.",4
2157,7000132,607772276910.00,98,CANDY PEARLS,0.01,791082,"DECOPAC, INC.",4
2157,7000136,607772284800.00,98,LEMON SUGAR,0.01,791082,"DECOPAC, INC.",1
2157,7000138,607772285130.00,98,LEMON TOP,0.01,791082,"DECOPAC, INC.",1
2157,7000140,607772253370.00,98,GRADUATION PICS,0.01,791082,"DECOPAC, INC.",3
2157,7000141,607772283880.00,98,FOIL PICS,0.01,791082,"DECOPAC, INC.",2
2157,7000142,21466057260.00,98,CONGRATULAIONS,0.01,791082,"DECOPAC, INC.",3
2157,7000041,607772276800.00,98,HAPPY BDAY LAYON,0.01,791082,"DECOPAC, INC.",49
2157,7000155,607772287610.00,98,CONGRATS GRAD,0.01,791082,"DECOPAC, INC.",1
2157,7000162,607772285440.00,98,CONGRATS GRAD GOLD,0.01,791082,"DECOPAC, INC.",3
2157,7000183,607772285910.00,98,GRAD HAT RINGS,0.01,791082,"DECOPAC, INC.",4
2157,7000194,607772093340.00,98,CAKE FORM ROUND,0.01,791082,"DECOPAC, INC.",5
2157,7000195,607772093370.00,98,CAKE FORM ROUND,0.01,791082,"DECOPAC, INC.",5
2157,7000196,607772063500.00,98,CAKE FORM,0.01,791082,"DECOPAC, INC.",4
4272,7000062,30625369320.00,67,V DAY BALLON,2.57,282504,LOFTUS INTERNATIONAL,0
4272,7000064,30625369250.00,67,V DAY BALLON,2.57,282504,LOFTUS INTERNATIONAL,2
4272,7000066,26635451090.00,67,V DAYBALLON,2.57,282504,LOFTUS INTERNATIONAL,1
4272,7000067,30625366270.00,67,V DAY BALLON,2.57,282504,LOFTUS INTERNATIONAL,3
2157,7000032,607772254430.00,81,BENNY FACES,12.81,791082,"DECOPAC, INC.",6
547,7000054,607772287960.00,98,RING-LOVE ALWAYS,12.81,791082,"DECOPAC, INC.",1
547,7000055,607772255050.00,98,RING-COOL SUMMER,12.81,791082,"DECOPAC, INC.",1
776,7000069,607772287960.00,98,RING ALWAYS WINS,12.81,791082,"DECOPAC, INC.",1
1705,7000021,607772254430.00,98,RINGS CUTE BUNNY,12.81,791082,"DECOPAC, INC.",11
1705,7000062,607772255050.00,98,COOL SUMMER TREATS,12.81,791082,"DECOPAC, INC.",2
2157,7000090,607772287960.00,98,LOVE RING,12.81,791082,"DECOPAC, INC.",1
2782,7000028,607772255050.00,98,COOLSUMMER RINGS,12.81,791082,"DECOPAC, INC.",4
2782,7000030,607772287960.00,98,RINGS LOVE ALWAYS,12.81,791082,"DECOPAC, INC.",1
2782,7000120,607772254430.00,98,CUTE BUNNY RINGS,12.81,791082,"DECOPAC, INC.",7
3716,7000071,25056450200.00,11,PATCHING FABRIC6FTX5,30.73,29311,GARDNER & GARDNER ATTORNEYS,0
547,7000037,817987109750.00,98,CHOCOLATE-DOMINO,94.73,791082,"DECOPAC, INC.",1
2626,7000146,817987109750.00,98,CHOCO DOMINO SQUARE,94.73,791082,"DECOPAC, INC.",1
1466,7000061,1502650.00,38,BERRY OVAL 16,0.02,122663,MCKESSON,1
1466,7000064,1502640.00,38,BERRY OVAL 12,0.02,122663,MCKESSON,2
1788,7000001,1502650.00,38,AMBER VIAL LIQ 16OZ,0.02,122663,MCKESSON,1
2215,7000014,1415680.00,38,FRUDGE,0.02,122663,MCKESSON,10
4582,7000019,3911850.00,38,RETURN KIT REFRLRG,0.02,122663,MCKESSON,1
