Store ,NSW2 Console w/ Mario Kart (15928868255),NSW2 Console (15949610846),NSW2 Pro Controller (15955005005)
1,57,26,22
2,22,3,2
3,32,14,4
4,36,11,5
5,38,15,13
7,35,12,4
8,14,8,2
9,11,3,2
10,17,4,2
11,26,5,9
12,36,16,5
13,15,4,2
14,20,3,1
15,8,2,2
16,26,7,3
17,18,6,4
18,2,2,
19,24,4,4
20,10,2,
21,27,12,4
22,17,2,1
23,9,3,2
24,18,8,
25,10,6,2
26,42,14,7
27,3,2,
28,8,3,1
29,40,14,15
30,11,9,2
31,6,1,1
32,11,2,3
33,4,1,
34,9,4,
35,47,18,14
36,30,11,2
37,17,8,3
38,4,2,2
39,8,2,
40,23,2,4
41,40,15,7
42,5,1,1
43,31,16,3
44,3,3,1
45,36,18,10
46,14,5,3
47,7,4,1
48,6,4,1
49,5,,1
50,4,1,1
51,18,7,2
52,23,10,5
54,27,12,7
55,,1,
56,7,3,3
58,40,11,4
59,42,16,2
60,23,9,8
61,34,13,7
62,7,4,
63,7,1,1
64,6,1,1
65,11,5,
66,8,5,
67,7,3,2
68,5,2,1
69,50,22,9
70,18,7,2
71,7,1,2
72,27,5,3
73,21,8,3
74,6,1,
75,22,11,6
76,7,4,1
77,25,12,10
78,22,6,1
79,27,12,2
80,30,11,10
81,3,2,
82,20,10,9
83,11,,2
85,34,13,11
86,33,15,4
87,10,1,2
88,9,2,2
89,12,6,1
90,13,2,4
91,3,,1
92,8,2,1
93,14,6,10
94,28,14,2
95,17,5,
96,26,15,2
97,9,3,
98,7,3,
99,24,8,3
100,104,35,41
101,33,9,3
102,1,,
103,36,9,6
104,21,8,1
105,23,12,7
106,4,2,2
107,12,8,2
108,21,9,7
109,15,4,1
110,67,31,15
111,5,3,2
112,20,9,5
113,12,7,1
114,10,7,1
115,4,,
117,5,2,
118,5,2,
119,20,5,3
120,20,7,3
121,7,2,1
122,18,10,7
123,3,1,1
124,18,9,1
125,36,13,7
126,15,8,4
127,7,4,
128,24,14,4
129,14,3,5
130,24,5,6
131,18,3,4
132,3,1,
133,4,,
134,3,3,
135,5,,2
136,6,2,2
137,26,13,7
138,31,13,10
139,9,4,2
140,38,7,
141,38,15,7
143,16,11,1
144,46,20,20
145,5,,1
146,10,8,6
147,23,8,3
148,16,1,
149,6,1,
150,9,2,3
151,14,1,2
152,27,14,4
153,10,3,2
154,38,14,10
155,6,2,1
157,27,11,
158,12,5,3
159,31,14,7
160,5,3,1
161,10,3,2
163,19,1,2
164,10,3,
165,9,2,2
166,10,1,1
167,6,2,2
168,49,21,11
169,5,1,
170,10,2,
171,8,1,
172,36,18,5
173,10,4,3
174,35,16,11
