Store,Dept,Inventory Dollars,Format
1,80,"$25,286.91",WM Supercenter
1,93,"$82,710.19",WM Supercenter
1,94,"$48,055.84",WM Supercenter
1,98,"$25,423.86",WM Supercenter
2,80,"$9,136.38",WM Supercenter
2,93,"$71,215.54",WM Supercenter
2,94,"$33,481.22",WM Supercenter
2,98,"$21,873.79",WM Supercenter
3,80,"$16,608.55",WM Supercenter
3,93,"$55,163.49",WM Supercenter
3,94,"$21,690.57",WM Supercenter
3,98,"$20,815.75",WM Supercenter
4,80,"$17,685.14",WM Supercenter
4,93,"$86,245.17",WM Supercenter
4,94,"$55,228.72",WM Supercenter
4,98,"$30,214.65",WM Supercenter
5,80,"$16,374.53",WM Supercenter
5,93,"$75,829.26",WM Supercenter
5,94,"$27,637.92",WM Supercenter
5,98,"$22,551.36",WM Supercenter
7,80,"$24,641.35",WM Supercenter
7,93,"$92,645.71",WM Supercenter
7,94,"$25,323.87",WM Supercenter
7,98,"$20,302.18",WM Supercenter
8,80,$908.68,WM Supercenter
8,93,"$56,592.57",WM Supercenter
8,94,"$17,186.02",WM Supercenter
8,98,"$5,977.75",WM Supercenter
9,80,"$25,112.57",WM Supercenter
9,93,"$82,250.55",WM Supercenter
9,94,"$24,945.37",WM Supercenter
9,98,"$28,098.00",WM Supercenter
10,80,"$34,151.34",WM Supercenter
10,93,"$74,701.83",WM Supercenter
10,94,"$32,676.48",WM Supercenter
10,98,"$21,322.69",WM Supercenter
11,80,"$16,051.90",WM Supercenter
11,93,"$96,517.41",WM Supercenter
11,94,"$43,989.12",WM Supercenter
11,98,"$27,777.42",WM Supercenter
12,80,"$11,666.80",WM Supercenter
12,93,"$61,726.47",WM Supercenter
12,94,"$30,235.78",WM Supercenter
12,98,"$24,144.49",WM Supercenter
13,80,"$16,255.14",WM Supercenter
13,93,"$62,187.36",WM Supercenter
13,94,"$22,747.73",WM Supercenter
13,98,"$19,799.82",WM Supercenter
14,80,"$16,617.31",WM Supercenter
14,93,"$61,555.51",WM Supercenter
14,94,"$21,143.75",WM Supercenter
14,98,"$26,635.06",WM Supercenter
15,80,"$16,228.27",WM Supercenter
15,93,"$78,989.11",WM Supercenter
15,94,"$27,670.40",WM Supercenter
15,98,"$23,411.98",WM Supercenter
16,80,"$4,810.45",WM Supercenter
16,93,"$59,575.82",WM Supercenter
16,94,"$19,787.83",WM Supercenter
16,98,"$20,955.20",WM Supercenter
17,80,"$19,192.90",WM Supercenter
17,93,"$72,059.22",WM Supercenter
17,94,"$30,698.52",WM Supercenter
17,98,"$26,646.00",WM Supercenter
18,80,"$10,093.26",WM Supercenter
18,93,"$49,586.17",WM Supercenter
18,94,"$14,129.91",WM Supercenter
18,98,"$17,450.96",WM Supercenter
19,80,"$21,239.06",WM Supercenter
19,93,"$103,357.12",WM Supercenter
19,94,"$36,833.59",WM Supercenter
19,98,"$27,606.17",WM Supercenter
20,80,"$9,560.07",WM Supercenter
20,93,"$65,863.52",WM Supercenter
20,94,"$20,111.68",WM Supercenter
20,98,"$19,130.29",WM Supercenter
21,80,"$15,690.49",WM Supercenter
21,93,"$62,429.16",WM Supercenter
21,94,"$24,490.24",WM Supercenter
21,98,"$28,115.11",WM Supercenter
22,80,"$10,902.71",WM Supercenter
22,93,"$82,307.50",WM Supercenter
22,94,"$32,154.75",WM Supercenter
22,98,"$17,279.55",WM Supercenter
23,80,"$13,368.13",WM Supercenter
23,93,"$87,078.36",WM Supercenter
23,94,"$51,210.61",WM Supercenter
23,98,"$17,329.06",WM Supercenter
24,80,"$23,553.87",WM Supercenter
24,93,"$90,090.62",WM Supercenter
24,94,"$20,935.27",WM Supercenter
24,98,"$19,897.73",WM Supercenter
25,80,"$11,666.79",WM Supercenter
25,93,"$59,294.18",WM Supercenter
25,94,"$20,854.49",WM Supercenter
25,98,"$18,665.63",WM Supercenter
26,80,"$11,089.06",WM Supercenter
26,93,"$76,483.78",WM Supercenter
26,94,"$25,627.55",WM Supercenter
26,98,"$20,285.29",WM Supercenter
27,80,"$7,797.95",WM Supercenter
27,93,"$41,872.47",WM Supercenter
27,94,"$19,156.89",WM Supercenter
27,98,"$3,925.91",WM Supercenter
28,80,"$8,762.69",WM Supercenter
28,93,"$67,622.11",WM Supercenter
28,94,"$31,952.33",WM Supercenter
28,98,"$23,641.87",WM Supercenter
29,80,"$19,435.29",WM Supercenter
29,93,"$70,027.06",WM Supercenter
29,94,"$38,866.71",WM Supercenter
29,98,"$29,918.83",WM Supercenter
30,80,"$22,213.00",WM Supercenter
30,93,"$79,147.59",WM Supercenter
30,94,"$31,482.83",WM Supercenter
30,98,"$22,494.94",WM Supercenter
31,80,"$15,423.36",WM Supercenter
31,93,"$78,097.02",WM Supercenter
31,94,"$30,004.58",WM Supercenter
31,98,"$18,419.25",WM Supercenter
33,80,"$7,896.91",WM Supercenter
33,93,"$49,845.60",WM Supercenter
33,94,"$16,598.03",WM Supercenter
33,98,"$5,723.09",WM Supercenter
34,80,"$9,422.13",WM Supercenter
34,93,"$54,258.51",WM Supercenter
34,94,"$20,761.97",WM Supercenter
34,98,"$17,926.21",WM Supercenter
35,80,"$15,134.73",WM Supercenter
35,93,"$83,049.12",WM Supercenter
35,94,"$27,496.95",WM Supercenter
35,98,"$45,536.10",WM Supercenter
36,80,"$9,569.21",WM Supercenter
36,93,"$92,657.96",WM Supercenter
36,94,"$45,459.79",WM Supercenter
36,98,"$19,593.20",WM Supercenter
37,80,"$17,491.20",WM Supercenter
37,93,"$58,608.54",WM Supercenter
37,94,"$15,396.05",WM Supercenter
37,98,"$29,333.05",WM Supercenter
38,80,"$12,469.32",WM Supercenter
38,93,"$65,304.21",WM Supercenter
38,94,"$26,327.51",WM Supercenter
38,98,"$3,631.86",WM Supercenter
39,80,"$16,377.99",WM Supercenter
39,93,"$54,674.88",WM Supercenter
39,94,"$22,595.80",WM Supercenter
39,98,"$22,504.47",WM Supercenter
