Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
44,5,4279,POINTPICKUP,Scheduled Standard Delivery,38,Executive Review,Degrading,Driver Supply Focus,202310,61.90%,91.30%,6.6,66.70%,50.00%,50.00%,85.70%
44,5,5147,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Driver Supply Focus,202310,92.50%,97.80%,8.4,95.30%,91.20%,94.20%,89.50%
48,5,5359,POINTPICKUP,Scheduled Standard Delivery,19,Executive Review,Degrading,Driver Supply Focus,202310,84.40%,98.00%,8.3,87.10%,95.70%,75.00%,77.30%
50,5,3274,SPARK,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202310,90.90%,88.40%,8,92.50%,97.20%,89.50%,86.20%
52,5,2427,ROADIE,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202310,80.90%,93.90%,8.6,73.30%,75.00%,83.30%,87.50%
55,5,260,POINTPICKUP,Scheduled Standard Delivery,33,Executive Review,Degrading,Driver Supply Focus,202310,54.50%,100.00%,10,60.00%,66.70%,42.90%,57.10%
82,5,1253,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202310,80.60%,89.10%,9.4,80.60%,81.60%,78.50%,82.10%
83,5,77,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202310,69.40%,96.80%,6.5,71.90%,71.40%,66.70%,50.00%
350,44,185,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,-,Driver Supply Focus,202310,66.70%,100.00%,6.2,,,,66.70%
350,44,975,POINTPICKUP,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202310,33.30%,100.00%,8,42.90%,16.70%,40.00%,33.30%
66,13,777,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202310,94.30%,98.90%,8.2,100.00%,94.40%,96.00%,85.70%
129,13,485,SPARK,Scheduled Standard Delivery,34,Executive Review,Recovering,Driver Supply Focus,202310,91.60%,99.10%,7.2,90.30%,94.30%,89.20%,93.30%
140,13,903,SPARK,Scheduled Standard Delivery,23,Executive Review,Degrading,Driver Supply Focus,202310,90.00%,92.60%,8.2,85.80%,92.50%,92.10%,89.60%
140,13,3059,SPARK,Scheduled Standard Delivery,30,Executive Review,Recovering,Driver Supply Focus,202310,91.60%,97.90%,6.9,91.10%,96.60%,88.50%,90.30%
541,64,5327,SPARK,Scheduled Standard Delivery,47,Executive Review,Recovering,Driver Supply Focus,202310,92.30%,92.50%,9.1,93.40%,93.40%,92.20%,89.20%
