Store Number,Pallets to plan for,LY Pallets planned for
1,147,109
2,148,109
3,173,139
4,129,115
5,150,112
7,142,108
8,83,74
9,129,89
10,157,122
11,153,113
12,163,116
13,107,81
14,127,102
15,154,120
16,135,101
17,136,117
18,93,74
19,213,142
20,116,93
21,152,110
22,120,98
23,127,98
24,119,101
25,114,90
26,126,100
27,88,73
28,112,93
29,152,113
30,122,96
31,134,108
32,97,82
33,97,76
34,91,82
35,158,117
36,151,117
37,149,117
38,101,87
39,90,75
40,128,96
41,143,119
42,97,79
43,111,93
44,70,64
45,166,137
46,127,100
47,120,88
48,102,85
49,123,99
50,90,77
51,91,75
52,118,92
54,126,104
55,92,73
56,89,75
57,83,70
58,190,137
59,169,147
60,110,88
61,124,101
62,114,98
63,103,81
64,84,68
65,113,89
66,96,88
67,115,91
68,98,77
69,174,128
70,142,102
71,107,84
72,124,100
73,124,116
74,85,69
75,128,103
76,94,75
77,102,85
78,113,88
79,133,114
80,93,79
81,87,76
82,89,73
83,103,78
85,136,102
86,120,94
87,120,95
88,104,83
89,110,86
90,135,105
91,100,83
92,83,75
93,118,95
94,146,116
95,128,105
96,113,89
97,99,76
98,104,84
99,102,79
100,198,148
101,138,110
102,108,87
103,176,131
104,142,105
105,162,120
106,89,74
107,112,82
108,98,78
109,83,74
110,124,93
111,95,74
112,148,104
113,144,117
114,120,89
115,88,76
116,61,59
117,83,72
118,109,83
119,159,124
120,113,96
121,108,89
122,106,85
123,106,90
124,113,80
125,174,131
126,107,92
127,124,90
128,139,103
129,165,121
130,149,123
131,150,119
132,81,73
133,85,73
134,123,103
135,105,83
136,66,60
137,116,97
138,102,81
139,103,89
140,224,157
141,188,140
143,126,98
144,145,108
145,81,70
146,103,79
147,151,114
148,168,132
149,94,74
150,106,86
151,142,112
152,110,89
153,134,94
154,133,108
155,99,83
157,161,130
158,116,85
159,107,86
160,113,87
161,96,76
162,84,71
163,130,94
164,136,108
165,124,103
166,85,74
167,102,81
168,162,117
169,91,71
170,124,97
171,102,84
172,144,106
173,93,74
174,116,99
175,120,94
176,93,69
177,131,111
178,67,65
179,125,97
180,133,104
181,98,86
182,115,94
183,88,80
184,172,120
185,131,98
186,110,84
188,196,131
189,124,91
190,114,93
192,171,117
194,183,139
195,100,77
196,99,83
197,97,83
