Store,Market,Store Type,Current GMD Capacity ,New GMD Capacity ,,
2,322,SUP,75,275,,
24,326,SUP,175,300,,
32,333,W/M,75,275,,
52,325,SUP,125,325,,
54,322,SUP,275,300,,
100,323,SUP,375,500,,
125,321,SUP,125,300,,
128,329,SUP,150,300,,
144,322,SUP,175,300,,
174,92,SUP,200,400,,
179,357,SUP,225,425,,
261,325,SUP,150,350,,
266,50,SUP,325,500,,
267,334,SUP,150,350,,
330,84,SUP,50,250,,
374,347,SUP,125,300,,
381,81,SUP,175,375,,
394,137,SUP,25,225,,
399,46,SUP,150,350,,
407,81,SUP,225,425,,
442,78,SUP,50,250,,
448,127,SUP,50,250,,
458,78,SUP,75,275,,
488,97,SUP,50,250,,
489,128,SUP,150,350,,
520,25,SUP,275,300,,
538,93,SUP,200,400,,
541,128,SUP,200,300,,
555,32,SUP,100,300,,
563,94,SUP,350,500,,
574,37,SUP,250,300,,
575,24,SUP,275,300,,
580,116,SUP,225,300,,
592,406,SUP,175,300,,
602,68,SUP,375,500,,
609,275,SUP,75,275,,
620,124,SUP,225,300,,
631,35,SUP,100,300,,
643,37,SUP,25,225,,
697,93,SUP,200,400,,
714,327,SUP,25,225,,
721,118,SUP,225,300,,
754,30,SUP,175,300,,
769,115,SUP,275,300,,
771,92,SUP,225,425,,
772,64,SUP,275,300,,
782,88,SUP,25,225,,
819,105,SUP,350,500,,
857,94,SUP,300,500,,
890,91,SUP,200,400,,
906,384,SUP,25,225,,
912,125,SUP,225,425,,
920,554,WNM,100,200,,
925,114,W/M,200,300,,
931,92,SUP,25,225,,
938,8,SUP,75,275,,
943,91,SUP,475,525,,
947,350,SUP,175,375,,
956,92,W/M,200,300,,
959,89,SUP,50,250,,
960,93,SUP,150,350,,
973,92,SUP,275,300,,
974,92,SUP,300,500,,
987,105,SUP,250,450,,
989,128,SUP,175,300,,
994,104,SUP,375,500,,
998,485,WNM,75,200,,
999,86,SUP,225,300,,
1001,389,SUP,150,350,,
1008,378,SUP,200,300,,
1009,333,SUP,150,300,,
1019,389,SUP,100,300,,
1029,104,SUP,125,300,,
1036,294,SUP,175,375,,
1055,583,SUP,350,500,,
1086,90,SUP,275,300,,
1097,309,SUP,125,300,,
1104,104,SUP,250,300,,
1105,326,SUP,150,300,,
1134,7,SUP,50,250,,
1154,506,SUP,25,225,,
1171,115,SUP,200,300,,
1182,94,SUP,275,300,,
1183,41,SUP,275,300,,
1205,101,SUP,50,250,,
1213,104,SUP,275,300,,
1223,97,SUP,225,300,,
1225,101,SUP,300,500,,
1236,302,SUP,100,300,,
1244,35,SUP,175,375,,
1283,93,SUP,50,250,,
1297,93,SUP,50,250,,
1298,302,SUP,175,300,,
1325,366,W/M,200,400,,
1338,16,SUP,200,300,,
1353,128,SUP,150,350,,
1372,299,SUP,125,300,,
1373,24,SUP,275,300,,
1374,91,W/M,275,475,,
1392,300,SUP,175,375,,
1395,272,SUP,50,250,,
1404,269,SUP,225,425,,
1414,384,SUP,75,275,,
1422,204,SUP,50,250,,
1423,203,SUP,25,225,,
1452,309,W/M,275,300,,
1453,440,SUP,200,300,,
1459,249,SUP,325,500,,
1466,121,SUP,200,300,,
1482,112,W/M,200,300,,
1501,112,W/M,250,300,,
1513,111,SUP,250,450,,
1528,415,SUP,200,400,,
