StoreNumber,DIY SHOWCAP 
2,Y
15,N
16,Y
25,N
26,N
29,Y
35,N
45,N
49,N
56,Y
65,Y
76,Y
77,Y
92,Y
93,N
94,N
101,Y
108,N
118,N
122,N
124,Y
128,N
129,N
137,Y
139,N
141,Y
143,N
147,Y
151,Y
152,Y
154,N
159,Y
162,N
166,Y
169,Y
171,Y
172,Y
173,Y
175,N
184,N
188,N
190,N
198,Y
213,Y
225,N
228,Y
234,N
236,N
243,Y
251,Y
256,N
262,Y
267,Y
269,N
271,N
272,N
275,N
276,Y
279,Y
281,Y
288,N
307,N
312,N
320,N
328,Y
343,Y
352,Y
356,Y
375,N
384,N
392,N
395,N
396,N
397,N
408,N
412,Y
414,Y
421,Y
430,N
435,N
437,N
448,N
450,N
462,N
464,Y
477,Y
495,N
500,Y
504,N
505,N
510,Y
515,N
518,Y
530,N
532,N
536,N
544,N
546,N
551,Y
552,Y
571,N
577,N
578,N
581,N
589,Y
609,Y
615,N
616,N
619,Y
620,Y
628,N
630,N
637,N
638,N
641,N
648,Y
655,N
658,Y
659,N
674,N
675,N
686,N
688,N
692,Y
694,Y
699,N
702,Y
705,Y
715,N
719,Y
724,N
728,N
730,N
731,Y
739,N
742,N
745,Y
752,N
758,N
759,N
762,N
769,N
775,N
780,Y
782,N
801,N
802,N
804,Y
818,N
835,Y
836,Y
839,N
844,Y
847,N
848,N
851,N
852,Y
859,Y
860,N
861,N
863,Y
866,Y
872,N
874,N
877,N
882,N
891,Y
902,N
904,Y
912,N
913,N
915,N
919,N
923,N
930,Y
933,Y
938,Y
940,N
945,Y
950,N
952,N
959,Y
964,Y
966,N
967,N
968,Y
969,Y
972,Y
1004,N
1021,Y
1022,N
1023,N
1027,N
1034,N
1037,N
1047,N
1048,N
1053,Y
1055,Y
1069,N
1070,Y
1071,Y
1072,N
1088,Y
1095,N
1099,Y
1100,N
1102,N
1103,N
1104,Y
1111,N
1116,N
1140,N
1141,Y
1144,N
1147,N
1161,N
1165,Y
1178,Y
1180,N
1181,Y
1186,N
1197,N
1201,N
1206,N
1207,Y
1210,Y
1213,Y
1222,N
1224,N
1225,N
1233,Y
1239,Y
1248,N
1249,N
1256,Y
1264,Y
1289,Y
1292,N
1294,N
1295,N
1298,Y
1302,N
1303,Y
1306,N
1310,N
1311,N
1314,Y
1320,N
1321,N
1327,Y
1344,N
1353,N
1354,N
1362,N
1378,N
1382,N
1385,N
1386,Y
1394,Y
1396,Y
1403,Y
1405,N
1406,Y
1411,Y
1412,N
1414,Y
1422,N
1423,N
1430,Y
1432,N
1433,Y
1434,N
1440,Y
1442,N
1444,Y
1452,Y
1459,N
1461,N
1462,Y
1476,Y
1488,Y
1492,N
1493,N
1501,N
1515,N
1518,N
1521,N
1535,N
1542,N
1547,N
1551,N
1557,N
1561,N
1564,N
1571,N
1574,Y
1579,N
1580,N
1581,N
1608,N
1611,N
1613,N
1627,N
1649,N
1655,N
1656,N
1662,N
1668,Y
1674,Y
1676,Y
1677,N
1695,N
1712,Y
1714,N
1722,N
1726,N
1740,Y
1743,N
1754,N
1761,Y
1763,N
1769,N
1770,N
1783,N
1784,N
1793,N
1799,Y
1800,Y
1806,N
1814,Y
1832,N
1833,Y
1841,N
1847,Y
1850,N
1862,N
1874,N
1888,N
1889,N
1901,N
1913,N
1914,N
1925,N
1928,N
1931,Y
1941,N
1948,N
1950,N
1955,Y
1979,Y
1984,N
1987,N
1991,N
1994,N
1995,Y
1997,N
2000,N
2001,N
2003,Y
2013,Y
2030,N
2039,N
2052,N
2058,N
2067,N
2072,N
2073,Y
2074,N
2082,Y
2083,N
2084,N
2086,Y
2092,N
2098,N
2101,N
2110,N
2111,Y
2121,N
2124,Y
2132,N
2135,N
2141,Y
2154,N
2157,N
2181,N
2195,N
2201,Y
2218,Y
2234,N
2241,N
2249,Y
2252,Y
2256,N
2262,N
2265,N
2269,N
2276,Y
2281,N
2288,N
2292,Y
2302,N
2306,N
2310,N
2314,Y
2322,N
2357,N
2370,N
2388,Y
2426,N
2438,Y
2446,Y
2447,N
2452,Y
2471,N
2473,Y
2475,N
2505,N
2515,Y
2520,N
2532,Y
2533,N
2534,N
2540,N
2543,Y
2544,Y
2557,N
2564,N
2566,N
2567,N
2596,N
2597,N
2609,Y
2612,Y
2615,Y
2616,Y
2640,Y
2650,Y
2653,N
2656,Y
2658,Y
2665,N
2672,N
2692,N
2693,N
2708,N
2710,Y
2722,Y
2730,N
2732,Y
2751,N
2753,N
2771,N
2778,N
2781,Y
2782,N
2786,N
2788,N
2793,N
2814,Y
2817,Y
2828,Y
2831,N
2847,Y
2852,Y
2857,N
2864,N
2865,Y
2869,N
2874,N
2885,N
2886,Y
2889,N
2902,Y
2922,Y
2931,N
2937,N
2938,N
2948,Y
2950,Y
2953,N
2959,N
2973,N
2985,Y
3014,N
3017,N
3044,N
3078,Y
3093,N
3106,N
3114,Y
3119,N
3137,N
3159,Y
3188,Y
3201,Y
3205,N
3215,N
3219,N
3228,N
3230,Y
3232,N
3233,N
3235,N
3236,Y
3239,Y
3255,N
3270,N
3271,N
3273,N
3281,Y
3285,N
3298,N
3311,N
3319,N
3322,Y
3324,N
3334,N
3336,N
3364,N
3366,N
3371,N
3372,Y
3380,Y
3382,N
3389,Y
3397,N
3402,N
3432,N
3434,Y
3439,N
3445,N
3454,N
3463,Y
3469,Y
3472,N
3473,Y
3477,Y
3499,Y
3500,N
3520,Y
3533,N
3560,N
3564,Y
3566,N
3581,N
3584,N
3585,N
3597,Y
3609,N
3616,N
3633,Y
3640,N
3644,N
3700,N
3701,N
3705,N
3717,N
3726,N
3747,N
3748,Y
3749,N
3750,Y
3754,N
3786,Y
3789,N
3794,N
3795,Y
3799,Y
3823,Y
3827,N
3829,Y
3853,N
3860,Y
3861,N
3869,N
4049,Y
4064,N
4108,N
4129,N
4131,N
4137,N
4165,N
4166,N
4194,N
4195,N
4200,N
4208,N
4216,N
4239,Y
4252,Y
4256,Y
4262,Y
4274,N
4277,Y
4279,Y
4284,N
4298,N
4323,Y
4332,N
4333,N
4334,N
4359,N
4383,N
4387,N
4395,N
4412,N
4423,N
4424,N
4428,N
4435,N
4472,Y
4475,Y
4477,N
4482,N
4483,N
4501,N
4503,Y
4511,N
4514,N
4520,N
4531,Y
4533,N
4590,N
4611,N
4638,N
4643,N
4679,N
4683,N
4687,Y
4689,N
4695,Y
5025,N
5029,N
5046,N
5056,N
5058,N
5063,Y
5065,N
5091,N
5095,Y
5115,N
5118,N
5127,N
5133,Y
5155,Y
5157,N
5167,Y
5168,N
5175,N
5185,N
5196,N
5211,Y
5216,N
5232,N
5234,Y
5263,Y
5270,Y
5278,Y
5292,N
5295,Y
5298,N
5326,Y
5330,N
5331,N
5334,N
5352,Y
5363,Y
5389,N
5394,N
5409,Y
5410,Y
5416,N
5417,Y
5420,Y
5425,N
5428,Y
5438,Y
5449,N
5470,N
5472,N
5612,N
5616,N
5626,Y
5703,N
5709,Y
5717,Y
5727,N
5745,N
5763,N
5764,Y
5823,Y
5835,N
5844,N
5851,N
5853,N
5893,N
5935,N
5947,Y
6480,N
6789,N
6807,N
6878,N
6952,N
7009,N
