Store Number,Tracking Number,Delivered date,Service type ,Reference ,Received by 
202,427914851104,1/27/2025,FedEx Ground,F0595,AKATIA
714,427914851181,1/27/2025,FedEx Ground,F0595,AHARRIS
2450,427914851230,1/27/2025,FedEx Ground,F0595,GSWANSON
3227,427914851262,1/27/2025,FedEx Ground,F0595,YYVETTE
4240,427914851310,1/27/2025,FedEx Ground,F0595,JHENRY
1440,427914851365,1/27/2025,FedEx Ground,F0595,BCHRISTENSEN
1888,427914851376,1/27/2025,FedEx Ground,F0595,LOPEZ
2030,427914851387,1/27/2025,FedEx Ground,F0595,HHALEY
2794,427914851402,1/27/2025,FedEx Ground,F0595,AWILSON
1699,427914851413,1/27/2025,FedEx Ground,F0595,JROYBQL
2511,427914851424,1/27/2025,FedEx Ground,F0595,XNXJD
3366,427914851435,1/27/2025,FedEx Ground,F0595,FJDKKDNDLDJ
3454,427914851446,1/27/2025,FedEx Ground,F0595,BBXHD
3620,427914851457,1/27/2025,FedEx Ground,F0595,KMCCAKE
3896,427914851468,1/27/2025,FedEx Ground,F0595,MMELISSA
4208,427914851479,1/27/2025,FedEx Ground,F0595,BBERNAL
4438,427914851480,1/27/2025,FedEx Ground,F0595,TWEST
4689,427914851490,1/27/2025,FedEx Ground,F0595,KKAOA
5167,427914851505,1/27/2025,FedEx Ground,F0595,BCOWDEN
5234,427914851516,1/27/2025,FedEx Ground,F0595,BBRIANA
5235,427914851527,1/27/2025,FedEx Ground,F0595,LLISA
5270,427914851538,1/27/2025,FedEx Ground,F0595,JALAREZ
5350,427914851549,1/27/2025,FedEx Ground,F0595,RICARDO
5763,427914851550,1/27/2025,FedEx Ground,F0595,ACHRIS
5835,427914851560,1/27/2025,FedEx Ground,F0595,SRODEN
3588,427914852085,1/27/2025,FedEx Ground,F0595,FTREASURE
479,427914852269,1/27/2025,FedEx Ground,F0595,TINGRAM
194,427914852291,1/27/2025,FedEx Ground,F0595,JJAVIER
249,427914852306,1/27/2025,FedEx Ground,F0595,BBRIAN
443,427914852328,1/27/2025,FedEx Ground,F0595,IRIOS
527,427914852339,1/27/2025,FedEx Ground,F0595,YMATTE
529,427914852340,1/27/2025,FedEx Ground,F0595,KKEITH
744,427914852372,1/27/2025,FedEx Ground,F0595,SSUSAN
757,427914852383,1/27/2025,FedEx Ground,F0595,MNARANGJO
905,427914852410,1/27/2025,FedEx Ground,F0595,MMELODY
1235,427914852431,1/27/2025,FedEx Ground,F0595,EELAINE
1308,427914852442,1/27/2025,FedEx Ground,F0595,JWHITE
1313,427914852453,1/27/2025,FedEx Ground,F0595,MMANAGER
1659,427914852464,1/27/2025,FedEx Ground,F0595,GMEDINA
2223,427914852475,1/27/2025,FedEx Ground,F0595,CTHOMPSON
2439,427914852486,1/27/2025,FedEx Ground,F0595,SLOZANO
2729,427914852501,1/27/2025,FedEx Ground,F0595,JMYERS
2752,427914852512,1/27/2025,FedEx Ground,F0595,NNGNNVNG
2769,427914852523,1/27/2025,FedEx Ground,F0595,HJOHNSON
3279,427914852534,1/27/2025,FedEx Ground,F0595,EEMILY
3286,427914852545,1/27/2025,FedEx Ground,F0595,KRODEN
3824,427914852578,1/27/2025,FedEx Ground,F0595,LLOPEZ
3867,427914852589,1/27/2025,FedEx Ground,F0595,TTRUJILLO
4111,427914852604,1/27/2025,FedEx Ground,F0595,RARTIGA
4288,427914852615,1/27/2025,FedEx Ground,F0595,ATATRO
4567,427914852626,1/27/2025,FedEx Ground,F0595,DDB
4627,427914852637,1/27/2025,FedEx Ground,F0595,SARMOUR
4734,427914852648,1/27/2025,FedEx Ground,F0595,AAPRIL
5116,427914852659,1/27/2025,FedEx Ground,F0595,MESTELLA
5137,427914852660,1/27/2025,FedEx Ground,F0595,AANDREA
5144,427914852670,1/27/2025,FedEx Ground,F0595,WWALMART
5146,427914852692,1/27/2025,FedEx Ground,F0595,ABARROS
5245,427914852707,1/27/2025,FedEx Ground,F0595,EJOHNSON
2697,427914852729,1/27/2025,FedEx Ground,F0595,BBARBIE
1218,427914852740,1/27/2025,FedEx Ground,F0595,DSAXE
1325,427914852751,1/27/2025,FedEx Ground,F0595,KBROWN
1381,427914852762,1/27/2025,FedEx Ground,F0595,RLUPTON
1587,427914852773,1/27/2025,FedEx Ground,F0595,RVANNESA
1598,427914852784,1/27/2025,FedEx Ground,F0595,MMO
3208,427914852795,1/27/2025,FedEx Ground,F0595,MROBBY
3360,427914852800,1/27/2025,FedEx Ground,F0595,RREY
