Store Number,Tracking Number,Delivered date,Service type ,Reference ,Received by 
3693,427914860304,1/28/2025,FedEx International Economy,F0595,M.TORRES
2787,427914849516,1/28/2025,FedEx Ground,F0595,JJOHNSON
2843,427914849527,1/28/2025,FedEx Ground,F0595,
2882,427914849538,1/28/2025,FedEx Ground,F0595,HZACH
2935,427914849549,1/28/2025,FedEx Ground,F0595,TTHORN
2955,427914849571,1/28/2025,FedEx Ground,F0595,LLINDA
3077,427914849593,1/28/2025,FedEx Ground,F0595,WWILKERSON
3219,427914849620,1/28/2025,FedEx Ground,F0595,WWENDELL
3265,427914849663,1/28/2025,FedEx Ground,F0595,SSPINKS
3273,427914849674,1/28/2025,FedEx Ground,F0595,DDIANE
3295,427914849696,1/28/2025,FedEx Ground,F0595,DHUGHES
3394,427914849722,1/28/2025,FedEx Ground,F0595,DDEE
3415,427914849755,1/28/2025,FedEx Ground,F0595,DDANIELLE
3526,427914849803,1/28/2025,FedEx Ground,F0595,KKIM
3639,427914849825,1/28/2025,FedEx Ground,F0595,JJESBIL
3644,427914849836,1/28/2025,FedEx Ground,F0595,JHYATER
3785,427914849870,1/28/2025,FedEx Ground,F0595,TDAWSON
3877,427914849939,1/28/2025,FedEx Ground,F0595,BVANESSA
4191,427914849961,1/28/2025,FedEx Ground,F0595,WWALMART
4256,427914849972,1/28/2025,FedEx Ground,F0595,WMART
4475,427914850016,1/28/2025,FedEx Ground,F0595,PPATEL
4590,427914850050,1/28/2025,FedEx Ground,F0595,PMDT
4611,427914850060,1/28/2025,FedEx Ground,F0595,DHARRY
4623,427914850082,1/28/2025,FedEx Ground,F0595,MANN
4641,427914850093,1/28/2025,FedEx Ground,F0595,BMARY
4677,427914850119,1/28/2025,FedEx Ground,F0595,CCHARLES
5022,427914850152,1/28/2025,FedEx Ground,F0595,BBOYD
5044,427914850185,1/28/2025,FedEx Ground,F0595,AZMITH
5105,427914850222,1/28/2025,FedEx Ground,F0595,CASHBY
5307,427914850299,1/28/2025,FedEx Ground,F0595,DMULLIN
5343,427914850314,1/28/2025,FedEx Ground,F0595,JDUNN
5438,427914850380,1/28/2025,FedEx Ground,F0595,BKLING
5667,427914850428,1/28/2025,FedEx Ground,F0595,CBINK
5922,427914850509,1/28/2025,FedEx Ground,F0595,VJONES
30,427914850542,1/28/2025,FedEx Ground,F0595,MROBERTSON
45,427914850553,1/28/2025,FedEx Ground,F0595,NDAVIS
49,427914850564,1/28/2025,FedEx Ground,F0595,STAYLOR
91,427914850575,1/28/2025,FedEx Ground,F0595,TFAYE
97,427914850601,1/28/2025,FedEx Ground,F0595,WWALMART
102,427914850612,1/28/2025,FedEx Ground,F0595,HUHVV
104,427914850623,1/28/2025,FedEx Ground,F0595,JHEATHER
112,427914850634,1/28/2025,FedEx Ground,F0595,MGIBSON
120,427914850645,1/28/2025,FedEx Ground,F0595,LLISA
122,427914850656,1/28/2025,FedEx Ground,F0595,GLUCAS
129,427914850667,1/28/2025,FedEx Ground,F0595,KHILLIS
132,427914850678,1/28/2025,FedEx Ground,F0595,GGIACOMELLI
175,427914850690,1/28/2025,FedEx Ground,F0595,TMCULLIN
182,427914850704,1/28/2025,FedEx Ground,F0595,SSAULTER
188,427914850715,1/28/2025,FedEx Ground,F0595,JJACKSON
218,427914850726,1/28/2025,FedEx Ground,F0595,KBROWJ
269,427914850737,1/28/2025,FedEx Ground,F0595,TJOLLY
383,427914850748,1/28/2025,FedEx Ground,F0595,CWALTON
495,427914850760,1/28/2025,FedEx Ground,F0595,JJUDY
505,427914850770,1/28/2025,FedEx Ground,F0595,MMINCBOA
544,427914850781,1/28/2025,FedEx Ground,F0595,SSPEEDY
675,427914850792,1/28/2025,FedEx Ground,F0595,ZZACHARI
777,427914850829,1/28/2025,FedEx Ground,F0595,EPLATT
1044,427914850851,1/28/2025,FedEx Ground,F0595,JBATES
1116,427914850862,1/28/2025,FedEx Ground,F0595,MFRACLAK
1204,427914850873,1/28/2025,FedEx Ground,F0595,AMANUEL
1412,427914850895,1/28/2025,FedEx Ground,F0595,JHIESE
1567,427914850910,1/28/2025,FedEx Ground,F0595,RSCHMIDT
1872,427914850921,1/28/2025,FedEx Ground,F0595,LMOORE
1901,427914850954,1/28/2025,FedEx Ground,F0595,CCARA
2084,427914850976,1/28/2025,FedEx Ground,F0595,TBUGLAND
2469,427914851001,1/28/2025,FedEx Ground,F0595,GTHOMAS
57,427914851012,1/28/2025,FedEx Ground,F0595,BHOLT
128,427914851034,1/28/2025,FedEx Ground,F0595,GTAMMY
139,427914851056,1/28/2025,FedEx Ground,F0595,SBOYD
153,427914851067,1/28/2025,FedEx Ground,F0595,CROBERTS
155,427914851078,1/28/2025,FedEx Ground,F0595,WJUDE
160,427914851089,1/28/2025,FedEx Ground,F0595,LYOUNG
164,427914851090,1/28/2025,FedEx Ground,F0595,BBETTY
212,427914851115,1/28/2025,FedEx Ground,F0595,MHIRST
225,427914851126,1/28/2025,FedEx Ground,F0595,BBRENDA
271,427914851137,1/28/2025,FedEx Ground,F0595,CCRAFT
277,427914851148,1/28/2025,FedEx Ground,F0595,LLINDA
281,427914851159,1/28/2025,FedEx Ground,F0595,MSHERI
336,427914851160,1/28/2025,FedEx Ground,F0595,TSBOPTAW
411,427914851170,1/28/2025,FedEx Ground,F0595,MMORGAN
827,427914851192,1/28/2025,FedEx Ground,F0595,JTERREL
1008,427914851207,1/28/2025,FedEx Ground,F0595,IIMAN
1100,427914851218,1/28/2025,FedEx Ground,F0595,MNICOLE
1252,427914851229,1/28/2025,FedEx Ground,F0595,CCAROL
2575,427914851240,1/28/2025,FedEx Ground,F0595,TCROCKETT
2892,427914851251,1/28/2025,FedEx Ground,F0595,ATRENCH
3313,427914851273,1/28/2025,FedEx Ground,F0595,AARTIE
3430,427914851284,1/28/2025,FedEx Ground,F0595,AMITCHELL
3431,427914851295,1/28/2025,FedEx Ground,F0595,GLAMB
3591,427914851300,1/28/2025,FedEx Ground,F0595,THENDERSON
4241,427914851321,1/28/2025,FedEx Ground,F0595,MJAKE
5244,427914851332,1/28/2025,FedEx Ground,F0595,SYOUNG
5672,427914851343,1/28/2025,FedEx Ground,F0595,AAMAIRMAN
2641,427914851696,1/28/2025,FedEx Ground,F0595,HHUMM
1904,427914851858,1/28/2025,FedEx Ground,F0595,MFERRY
2254,427914851917,1/28/2025,FedEx Ground,F0595,AWHITE
2490,427914851939,1/28/2025,FedEx Ground,F0595,JLOCKHART
2518,427914851940,1/28/2025,FedEx Ground,F0595,RRENA
2825,427914851972,1/28/2025,FedEx Ground,F0595,DDESTINY
2871,427914851983,1/28/2025,FedEx Ground,F0595,TCOLON
3055,427914852030,1/28/2025,FedEx Ground,F0595,BJOHNSON
3541,427914852063,1/28/2025,FedEx Ground,F0595,JTUULIMA
3598,427914852096,1/28/2025,FedEx Ground,F0595,CPOWERS
3625,427914852100,1/28/2025,FedEx Ground,F0595,FPHYLLIS
3858,427914852111,1/28/2025,FedEx Ground,F0595,GGA
3887,427914852122,1/28/2025,FedEx Ground,F0595,RRIZZO
4161,427914852133,1/28/2025,FedEx Ground,F0595,SSMIT
4303,427914852144,1/28/2025,FedEx Ground,F0595,GGLADIS
4365,427914852155,1/28/2025,FedEx Ground,F0595,ACASSANDRA
4446,427914852166,1/28/2025,FedEx Ground,F0595,GGUSTAVO
5178,427914852177,1/28/2025,FedEx Ground,F0595,CRIS
5325,427914852199,1/28/2025,FedEx Ground,F0595,SJULMISTE
5347,427914852203,1/28/2025,FedEx Ground,F0595,CGOLDEN
5795,427914852214,1/28/2025,FedEx Ground,F0595,IMIA
5854,427914852225,1/28/2025,FedEx Ground,F0595,CCASA
5882,427914852236,1/28/2025,FedEx Ground,F0595,CCARNEN
5932,427914852247,1/28/2025,FedEx Ground,F0595,JJAMES
6190,427914852258,1/28/2025,FedEx Ground,F0595,JJAK
842,427914852270,1/28/2025,FedEx Ground,F0595,ALYNN
1384,427914852280,1/28/2025,FedEx Ground,F0595,MMORGAN
351,427914852317,1/28/2025,FedEx Ground,F0595,RBECKER
565,427914852350,1/28/2025,FedEx Ground,F0595,AANTONELLI
602,427914852361,1/28/2025,FedEx Ground,F0595,GGOMEZ
849,427914852394,1/28/2025,FedEx Ground,F0595,ASONIA
865,427914852409,1/28/2025,FedEx Ground,F0595,ENEEZ
2599,427914852497,1/28/2025,FedEx Ground,F0595,JBROWN
3390,427914852556,1/28/2025,FedEx Ground,F0595,AJENKINS
3391,427914852567,1/28/2025,FedEx Ground,F0595,GGUTIERREZ
4055,427914852590,1/28/2025,FedEx Ground,F0595,LJIMENEZ
5145,427914852681,1/28/2025,FedEx Ground,F0595,RROSA
5287,427914852718,1/28/2025,FedEx Ground,F0595,LINFANTE
5369,427914852913,1/28/2025,FedEx Ground,F0595,NNINI
20,427914853162,1/28/2025,FedEx Ground,F0595,DREYNOLDS
338,427914853243,1/28/2025,FedEx Ground,F0595,JLOCKRIDGE
365,427914853254,1/28/2025,FedEx Ground,F0595,SBISWAS
498,427914853287,1/28/2025,FedEx Ground,F0595,DWOODARD
553,427914853298,1/28/2025,FedEx Ground,F0595,TTRACY
1064,427914853346,1/28/2025,FedEx Ground,F0595,SKREIGH
1155,427914853380,1/28/2025,FedEx Ground,F0595,IBAKER
1187,427914853405,1/28/2025,FedEx Ground,F0595,JTADETER
1214,427914853416,1/28/2025,FedEx Ground,F0595,MME
2645,427914853493,1/28/2025,FedEx Ground,F0595,CNEAL
2703,427914853508,1/28/2025,FedEx Ground,F0595,RBARR
2716,427914853519,1/28/2025,FedEx Ground,F0595,KBARTLEY
50,427914853530,1/28/2025,FedEx Ground,F0595,MADAM
73,427914853541,1/28/2025,FedEx Ground,F0595,GOGBURN
109,427914853563,1/28/2025,FedEx Ground,F0595,KBLACKBURN
207,427914853574,1/28/2025,FedEx Ground,F0595,JWINN
239,427914853585,1/28/2025,FedEx Ground,F0595,MTHOMAS
242,427914853596,1/28/2025,FedEx Ground,F0595,ABELL
305,427914853600,1/28/2025,FedEx Ground,F0595,CBURCHETT
325,427914853611,1/28/2025,FedEx Ground,F0595,EELIZABETH
485,427914853688,1/28/2025,FedEx Ground,F0595,TNORA
486,427914853699,1/28/2025,FedEx Ground,F0595,SWALTERS
633,427914853747,1/28/2025,FedEx Ground,F0595,CSEXTON
647,427914853758,1/28/2025,FedEx Ground,F0595,CHOLEN
749,427914853770,1/28/2025,FedEx Ground,F0595,LLARSON
750,427914853780,1/28/2025,FedEx Ground,F0595,STIDFAN
751,427914853791,1/28/2025,FedEx Ground,F0595,JSCHUT
785,427914853817,1/28/2025,FedEx Ground,F0595,BWILLIAMS
888,427914853840,1/28/2025,FedEx Ground,F0595,RMINCKS
954,427914853850,1/28/2025,FedEx Ground,F0595,CCATHY
961,427914853883,1/28/2025,FedEx Ground,F0595,RRECEIVED
1168,427914853986,1/28/2025,FedEx Ground,F0595,TCAGINS
1266,427914854011,1/28/2025,FedEx Ground,F0595,SHAY
1271,427914854022,1/28/2025,FedEx Ground,F0595,AMOSS
1389,427914854033,1/28/2025,FedEx Ground,F0595,QAMANDA
1435,427914854066,1/28/2025,FedEx Ground,F0595,DSCHAFFFER
1472,427914854077,1/28/2025,FedEx Ground,F0595,HAJNSHS
1491,427914854088,1/28/2025,FedEx Ground,F0595,KSPOON
1525,427914854099,1/28/2025,FedEx Ground,F0595,BBRANDON
1577,427914854125,1/28/2025,FedEx Ground,F0595,JENDRES
1682,427914854147,1/28/2025,FedEx Ground,F0595,JJIGGINS
1687,427914854158,1/28/2025,FedEx Ground,F0595,WWILLA
1751,427914854217,1/28/2025,FedEx Ground,F0595,KBH
1807,427914854250,1/28/2025,FedEx Ground,F0595,LLONGO
1844,427914854261,1/28/2025,FedEx Ground,F0595,LSUTTON
1860,427914854272,1/28/2025,FedEx Ground,F0595,DSTREET
1861,427914854283,1/28/2025,FedEx Ground,F0595,CWICHELMANN
1869,427914854294,1/28/2025,FedEx Ground,F0595,SDAVILA
1921,427914854320,1/28/2025,FedEx Ground,F0595,LLYNETTE
1952,427914854331,1/28/2025,FedEx Ground,F0595,EEDWIN
1999,427914854353,1/28/2025,FedEx Ground,F0595,WWALMART
2015,427914854364,1/28/2025,FedEx Ground,F0595,RRETER
2080,427914854386,1/28/2025,FedEx Ground,F0595,JJAKE
2087,427914854397,1/28/2025,FedEx Ground,F0595,THELMA
2096,427914854412,1/28/2025,FedEx Ground,F0595,JJEN
2167,427914854423,1/28/2025,FedEx Ground,F0595,GGREG
2274,427914854456,1/28/2025,FedEx Ground,F0595,JJOE
2352,427914854467,1/28/2025,FedEx Ground,F0595,JSTREHLO
2437,427914854490,1/28/2025,FedEx Ground,F0595,JHARGREVES
2445,427914854504,1/28/2025,FedEx Ground,F0595,JMORGAN
2448,427914854515,1/28/2025,FedEx Ground,F0595,WWINN
2529,427914854537,1/28/2025,FedEx Ground,F0595,WMART
2582,427914854548,1/28/2025,FedEx Ground,F0595,GGRACE
2642,427914854560,1/28/2025,FedEx Ground,F0595,SMURPHY
2739,427914854581,1/28/2025,FedEx Ground,F0595,VTINGLER
2756,427914854592,1/28/2025,FedEx Ground,F0595,DDIANNE
2855,427914854618,1/28/2025,FedEx Ground,F0595,JHOPKINZ
2856,427914854629,1/28/2025,FedEx Ground,F0595,CWALMART
2913,427914854651,1/28/2025,FedEx Ground,F0595,EBEASLEY
2945,427914854673,1/28/2025,FedEx Ground,F0595,BNANCY
3059,427914854684,1/28/2025,FedEx Ground,F0595,JLEGGE
3060,427914854695,1/28/2025,FedEx Ground,F0595,GWALTON
3102,427914854700,1/28/2025,FedEx Ground,F0595,XCORDS
3209,427914854710,1/28/2025,FedEx Ground,F0595,RROCHELLE
3214,427914854721,1/28/2025,FedEx Ground,F0595,CCOWAN
3216,427914854732,1/28/2025,FedEx Ground,F0595,JSMITH
3266,427914854754,1/28/2025,FedEx Ground,F0595,JJEANCLAUDE
3498,427914854798,1/28/2025,FedEx Ground,F0595,IISAIAH
3513,427914854813,1/28/2025,FedEx Ground,F0595,GGLORIA
3528,427914854824,1/28/2025,FedEx Ground,F0595,MFRANCIS
3624,427914854857,1/28/2025,FedEx Ground,F0595,ADUFFY
3762,427914854879,1/28/2025,FedEx Ground,F0595,BBARB
3774,427914854880,1/28/2025,FedEx Ground,F0595,LLEW
3810,427914854890,1/28/2025,FedEx Ground,F0595,BBRANDON
3831,427914854905,1/28/2025,FedEx Ground,F0595,TGREGORY
4258,427914854938,1/28/2025,FedEx Ground,F0595,PPEGGY
4456,427914854960,1/28/2025,FedEx Ground,F0595,JMCREEA
4593,427914854982,1/28/2025,FedEx Ground,F0595,SLANCASTER
4606,427914854993,1/28/2025,FedEx Ground,F0595,CMAYHEW
4612,427914855007,1/28/2025,FedEx Ground,F0595,LGEHRING
5239,427914855051,1/28/2025,FedEx Ground,F0595,GGGG
5253,427914855084,1/28/2025,FedEx Ground,F0595,KRUSE
5432,427914855121,1/28/2025,FedEx Ground,F0595,JJOHNSON
5450,427914855132,1/28/2025,FedEx Ground,F0595,RCRISSY
5476,427914855143,1/28/2025,FedEx Ground,F0595,JJOHN
5649,427914855154,1/28/2025,FedEx Ground,F0595,GJACKSON
5976,427914855176,1/28/2025,FedEx Ground,F0595,ADELAYNE
5992,427914855187,1/28/2025,FedEx Ground,F0595,XKATE
64,427914855213,1/28/2025,FedEx Ground,F0595,ETURNER
113,427914855224,1/28/2025,FedEx Ground,F0595,GBENARD
115,427914855235,1/28/2025,FedEx Ground,F0595,LROBINSON
738,427914855246,1/28/2025,FedEx Ground,F0595,LBRBER
1074,427914855257,1/28/2025,FedEx Ground,F0595,DHARDMAN
2403,427914855279,1/28/2025,FedEx Ground,F0595,MBRANDT
2485,427914855280,1/28/2025,FedEx Ground,F0595,RJEWEETT
62,427914855290,1/28/2025,FedEx Ground,F0595,SPNEL
68,427914855305,1/28/2025,FedEx Ground,F0595,BWILL
74,427914855316,1/28/2025,FedEx Ground,F0595,DADAMS
158,427914855327,1/28/2025,FedEx Ground,F0595,JSAMPSON
176,427914855338,1/28/2025,FedEx Ground,F0595,NGOOSLBY
183,427914855349,1/28/2025,FedEx Ground,F0595,LMILLER
229,427914855350,1/28/2025,FedEx Ground,F0595,KROBINSON
273,427914855360,1/28/2025,FedEx Ground,F0595,MSHUMPERT
274,427914855371,1/28/2025,FedEx Ground,F0595,WMYERS
347,427914855393,1/28/2025,FedEx Ground,F0595,SHICKS
386,427914855408,1/28/2025,FedEx Ground,F0595,THABITZ
516,427914855420,1/28/2025,FedEx Ground,F0595,CDEBORAH
1043,427914855452,1/28/2025,FedEx Ground,F0595,SWALMART
1468,427914855463,1/28/2025,FedEx Ground,F0595,CNEILSPN
2293,427914855474,1/28/2025,FedEx Ground,F0595,JLESLI
3177,427914855485,1/28/2025,FedEx Ground,F0595,MBILLINGS
4639,427914855522,1/28/2025,FedEx Ground,F0595,BBASS
5341,427914855555,1/28/2025,FedEx Ground,F0595,LLAURA
395,427914855670,1/28/2025,FedEx Ground,F0595,JREYMONDUNDO
397,427914855680,1/28/2025,FedEx Ground,F0595,MRODRIGUEZ
413,427914855706,1/28/2025,FedEx Ground,F0595,MARMANDO
623,427914855739,1/28/2025,FedEx Ground,F0595,TRIVERA
666,427914855750,1/28/2025,FedEx Ground,F0595,RRB
860,427914855794,1/28/2025,FedEx Ground,F0595,MAMBER
877,427914855809,1/28/2025,FedEx Ground,F0595,SSTEFANI
1000,427914855810,1/28/2025,FedEx Ground,F0595,VVELASQUEZ
1099,427914855842,1/28/2025,FedEx Ground,F0595,PPETERS
1321,427914855853,1/28/2025,FedEx Ground,F0595,SSANDY
1623,427914855901,1/28/2025,FedEx Ground,F0595,SSTUSH
1849,427914855923,1/28/2025,FedEx Ground,F0595,JCOTTINGHAM
1985,427914855956,1/28/2025,FedEx Ground,F0595,MTAMIKA
2058,427914855967,1/28/2025,FedEx Ground,F0595,JBAKER
2195,427914855990,1/28/2025,FedEx Ground,F0595,LWANDA
2237,427914856003,1/28/2025,FedEx Ground,F0595,VVARGAS
2252,427914856014,1/28/2025,FedEx Ground,F0595,JMILLER
2334,427914856025,1/28/2025,FedEx Ground,F0595,LSUZY
2580,427914856070,1/28/2025,FedEx Ground,F0595,RROSE
110,427914856080,1/28/2025,FedEx Ground,F0595,JJAY
547,427914856106,1/28/2025,FedEx Ground,F0595,NNOEMI
706,427914856128,1/28/2025,FedEx Ground,F0595,SJAGER
713,427914856139,1/28/2025,FedEx Ground,F0595,
759,427914856150,1/28/2025,FedEx Ground,F0595,TSIMPSON
811,427914856161,1/28/2025,FedEx Ground,F0595,DHOLLEY
857,427914856194,1/28/2025,FedEx Ground,F0595,WGORE
890,427914856209,1/28/2025,FedEx Ground,F0595,CCARMEN
955,427914856231,1/28/2025,FedEx Ground,F0595,OOLEARY
967,427914856242,1/28/2025,FedEx Ground,F0595,DLACROSS
988,427914856253,1/28/2025,FedEx Ground,F0595,HHUNTER
1084,427914856275,1/28/2025,FedEx Ground,F0595,RRAUL
1086,427914856286,1/28/2025,FedEx Ground,F0595,MMARKS
1171,427914856312,1/28/2025,FedEx Ground,F0595,LLINDA
1203,427914856323,1/28/2025,FedEx Ground,F0595,SSCOOTT
1213,427914856345,1/28/2025,FedEx Ground,F0595,DFLOYD
1374,427914856378,1/28/2025,FedEx Ground,F0595,MGREG
1957,427914856530,1/28/2025,FedEx Ground,F0595,GGRIS
1996,427914856540,1/28/2025,FedEx Ground,F0595,
2038,427914856551,1/28/2025,FedEx Ground,F0595,RROSA
2141,427914856573,1/28/2025,FedEx Ground,F0595,ARAMOS
2438,427914856595,1/28/2025,FedEx Ground,F0595,TSPENCER
2695,427914856610,1/28/2025,FedEx Ground,F0595,AHAIA
2727,427914856621,1/28/2025,FedEx Ground,F0595,JJHONSON
2796,427914856643,1/28/2025,FedEx Ground,F0595,BBORNEMAN
2814,427914856654,1/28/2025,FedEx Ground,F0595,PLEONELA
2881,427914856665,1/28/2025,FedEx Ground,F0595,OOASIO
2946,427914856676,1/28/2025,FedEx Ground,F0595,NJAMES
2963,427914856687,1/28/2025,FedEx Ground,F0595,JSHANTA
3207,427914856702,1/28/2025,FedEx Ground,F0595,TPENN
3235,427914856713,1/28/2025,FedEx Ground,F0595,RROSALIA
3311,427914856735,1/28/2025,FedEx Ground,F0595,MMARJORIE
3372,427914856746,1/28/2025,FedEx Ground,F0595,KJOHNSON
3397,427914856768,1/28/2025,FedEx Ground,F0595,MMARGARITA
3463,427914856790,1/28/2025,FedEx Ground,F0595,CCANDELARIO
3782,427914856838,1/28/2025,FedEx Ground,F0595,AACEVEDO
4332,427914856871,1/28/2025,FedEx Ground,F0595,SSANDRA
4588,427914856908,1/28/2025,FedEx Ground,F0595,AJUDITH
4681,427914856919,1/28/2025,FedEx Ground,F0595,EEMMETT
5036,427914856920,1/28/2025,FedEx Ground,F0595,SUSA
5299,427914856941,1/28/2025,FedEx Ground,F0595,EELIZABETH
5420,427914856974,1/28/2025,FedEx Ground,F0595,IIDALIA
5880,427914857000,1/28/2025,FedEx Ground,F0595,RREHINA
5891,427914857010,1/28/2025,FedEx Ground,F0595,LDOCK
5894,427914857021,1/28/2025,FedEx Ground,F0595,VVITORIA
5912,427914857032,1/28/2025,FedEx Ground,F0595,AANDERSON
5969,427914857043,1/28/2025,FedEx Ground,F0595,SSHMBU
131,427914857065,1/28/2025,FedEx Ground,F0595,EWILLIAMS
248,427914857087,1/28/2025,FedEx Ground,,LLUDIW
275,427914857098,1/28/2025,FedEx Ground,,KJOHNSON
284,427914857102,1/28/2025,FedEx Ground,,SCANNON
364,427914857124,1/28/2025,FedEx Ground,F0595,JEDWARDS
381,427914857135,1/28/2025,FedEx Ground,F0595,JJANIE
392,427914857146,1/28/2025,FedEx Ground,F0595,DDOUG
398,427914857157,1/28/2025,FedEx Ground,F0595,AALEX
407,427914857179,1/28/2025,FedEx Ground,F0595,AWATKINS
408,427914857180,1/28/2025,FedEx Ground,F0595,SWILLIAMS
449,427914857205,1/28/2025,FedEx Ground,F0595,MSMITH
475,427914857238,1/28/2025,FedEx Ground,F0595,GGABBY
522,427914857249,1/28/2025,FedEx Ground,F0595,KKIM
536,427914857250,1/28/2025,FedEx Ground,F0595,PCHASE
561,427914857260,1/28/2025,FedEx Ground,F0595,AESQUERL
564,427914857271,1/28/2025,FedEx Ground,F0595,SSUZY
572,427914857282,1/28/2025,FedEx Ground,F0595,JDRIVER
600,427914857293,1/28/2025,FedEx Ground,F0595,DDETWEILER
637,427914857308,1/28/2025,FedEx Ground,F0595,ALG
768,427914857319,1/28/2025,FedEx Ground,F0595,ZFORREST
772,427914857320,1/28/2025,FedEx Ground,F0595,AAMANDA
782,427914857330,1/28/2025,FedEx Ground,F0595,CJAMES
793,427914857341,1/28/2025,FedEx Ground,F0595,AADRIAN
813,427914857352,1/28/2025,FedEx Ground,F0595,JWEBBER
821,427914857363,1/28/2025,FedEx Ground,F0595,DHUERTA
822,427914857374,1/28/2025,FedEx Ground,F0595,PNOAH
861,427914857385,1/28/2025,FedEx Ground,F0595,EMARSHALL
915,427914857400,1/28/2025,FedEx Ground,F0595,BROSA
1051,427914857411,1/28/2025,FedEx Ground,F0595,AANGEL
1073,427914857422,1/28/2025,FedEx Ground,F0595,DWARD
1150,427914857444,1/28/2025,FedEx Ground,F0595,NJOHNSON
1185,427914857466,1/28/2025,FedEx Ground,F0595,BBENNETT
1249,427914857477,1/28/2025,FedEx Ground,F0595,DDEBBIE
1272,427914857488,1/28/2025,FedEx Ground,F0595,BBECKY
7326,427914857499,1/28/2025,FedEx Ground,F0595,KWIDMANN
1793,427914857503,1/28/2025,FedEx Ground,F0595,BBRIAN
1837,427914857525,1/28/2025,FedEx Ground,F0595,TBROWN
2066,427914857536,1/28/2025,FedEx Ground,F0595,MMARTHA
2101,427914857547,1/28/2025,FedEx Ground,F0595,AAURORA
2239,427914857558,1/28/2025,FedEx Ground,F0595,VSANCHEZ
2257,427914857570,1/28/2025,FedEx Ground,F0595,EMENDOZA
2476,427914857591,1/28/2025,FedEx Ground,F0595,FKELP
2550,427914857606,1/28/2025,FedEx Ground,F0595,AHENDERSON
220,427914857628,1/28/2025,FedEx Ground,F0595,TRUBIO
228,427914857639,1/28/2025,FedEx Ground,F0595,FVASQUEZ
259,427914857640,1/28/2025,FedEx Ground,F0595,DDONALD
265,427914857661,1/28/2025,FedEx Ground,F0595,SREDMOND
266,427914857672,1/28/2025,FedEx Ground,F0595,JBRENT
285,427914857683,1/28/2025,FedEx Ground,F0595,MMOYA
414,427914857710,1/28/2025,FedEx Ground,F0595,AMCCARTNEY
426,427914857742,1/28/2025,FedEx Ground,F0595,JPERRY
427,427914857753,1/28/2025,FedEx Ground,F0595,AANNIE
437,427914857764,1/28/2025,FedEx Ground,F0595,MKULHANEK
703,427914857823,1/28/2025,FedEx Ground,F0595,MPUJH
765,427914857845,1/28/2025,FedEx Ground,F0595,BGALDEANO
789,427914857856,1/28/2025,FedEx Ground,F0595,VRENEE
807,427914857867,1/28/2025,FedEx Ground,F0595,PHURTS
872,427914857889,1/28/2025,FedEx Ground,F0595,RRENAE
896,427914857890,1/28/2025,FedEx Ground,F0595,JJOANNA
901,427914857904,1/28/2025,FedEx Ground,F0595,DHESTER
963,427914857926,1/28/2025,FedEx Ground,F0595,MGARCIA
1040,427914857959,1/28/2025,FedEx Ground,F0595,AARMADO
1055,427914857970,1/28/2025,FedEx Ground,F0595,GBOLTON
1062,427914857981,1/28/2025,FedEx Ground,F0595,MMIRNA
1178,427914858028,1/28/2025,FedEx Ground,F0595,BBIDNESS
1198,427914858040,1/28/2025,FedEx Ground,F0595,STHORNE
1216,427914858050,1/28/2025,FedEx Ground,F0595,ALEE
1409,427914858083,1/28/2025,FedEx Ground,F0595,GPENA
1801,427914858110,1/28/2025,FedEx Ground,F0595,TTAMMY
1803,427914858120,1/28/2025,FedEx Ground,F0595,SSONIA
2125,427914858131,1/28/2025,FedEx Ground,F0595,ADESCASA
2404,427914858153,1/28/2025,FedEx Ground,F0595,MGARCIA
2649,427914858175,1/28/2025,FedEx Ground,F0595,BULYSSES
2926,427914858201,1/28/2025,FedEx Ground,F0595,DROSE
2973,427914858212,1/28/2025,FedEx Ground,F0595,OTALEB
2996,427914858245,1/28/2025,FedEx Ground,F0595,SMANAGER
3056,427914858256,1/28/2025,FedEx Ground,F0595,PMELANIE
3107,427914858290,1/28/2025,FedEx Ground,F0595,LLINTEROTH
3213,427914858315,1/28/2025,FedEx Ground,F0595,JJUSTIN
3225,427914858326,1/28/2025,FedEx Ground,F0595,RDIMAANO
3226,427914858337,1/28/2025,FedEx Ground,F0595,MFITZPATRICK
3284,427914858348,1/28/2025,FedEx Ground,F0595,SMEDINA
3285,427914858359,1/28/2025,FedEx Ground,F0595,BBETTY
3297,427914858360,1/28/2025,FedEx Ground,F0595,JWHITE
3510,427914858407,1/28/2025,FedEx Ground,F0595,LCASSIDY
3585,427914858429,1/28/2025,FedEx Ground,F0595,MMARIA
4115,427914858484,1/28/2025,FedEx Ground,F0595,GGOMES
4162,427914858500,1/28/2025,FedEx Ground,F0595,RRICO
4279,427914858521,1/28/2025,FedEx Ground,F0595,RROBISON
4284,427914858532,1/28/2025,FedEx Ground,F0595,CCHAVEZ
4509,427914858554,1/28/2025,FedEx Ground,F0595,BBRUNO
4512,427914858565,1/28/2025,FedEx Ground,F0595,LLAURA
4538,427914858576,1/28/2025,FedEx Ground,F0595,MMARLENE
5045,427914858598,1/28/2025,FedEx Ground,F0595,BLOPES
5091,427914858602,1/28/2025,FedEx Ground,F0595,DDUBEC
5092,427914858613,1/28/2025,FedEx Ground,F0595,LMCDONALD
5191,427914858624,1/28/2025,FedEx Ground,F0595,CCYNTHIA
