Market,Store,Store Type,Launch Date 
296,3182,SUP,7/18/2023
459,5886,SUP,7/18/2023
173,2897,W/M,7/18/2023
221,3502,SUP,7/18/2023
237,1640,SUP,7/18/2023
162,2898,W/M,7/18/2023
232,2481,SUP,7/18/2023
202,5472,SUP,7/18/2023
459,1700,SUP,7/18/2023
121,4635,SUP,7/18/2023
317,2036,SUP,7/18/2023
311,2761,SUP,7/18/2023
213,1445,SUP,7/18/2023
176,5111,W/M,7/18/2023
203,5048,SUP,7/18/2023
200,2493,SUP,7/18/2023
239,1745,SUP,7/18/2023
268,1737,SUP,7/18/2023
209,3250,SUP,7/18/2023
218,2605,SUP,7/18/2023
577,5077,W/M,7/18/2023
18,2753,SUP,7/18/2023
566,5107,WNM,7/18/2023
270,1377,SUP,7/18/2023
168,3563,W/M,7/18/2023
281,2009,W/M,7/18/2023
309,3700,SUP,7/18/2023
425,1020,SUP,7/18/2023
136,1530,SUP,7/18/2023
170,2445,SUP,7/18/2023
438,5373,SUP,7/18/2023
225,1443,SUP,7/18/2023
168,1777,SUP,7/18/2023
29,728,SUP,7/18/2023
237,2129,SUP,7/18/2023
239,1728,SUP,7/18/2023
440,2127,SUP,7/18/2023
498,4528,WNM,7/18/2023
341,1071,SUP,7/18/2023
174,2368,SUP,7/18/2023
194,1973,SUP,7/18/2023
234,1823,SUP,7/18/2023
209,1857,W/M,7/18/2023
228,2278,SUP,7/18/2023
202,1642,SUP,7/18/2023
194,1966,SUP,7/18/2023
203,4540,SUP,7/18/2023
462,1922,W/M,7/18/2023
304,1290,SUP,7/18/2023
409,794,SUP,7/18/2023
76,939,SUP,7/18/2023
364,5303,SUP,7/18/2023
194,1949,SUP,7/18/2023
441,1274,SUP,7/18/2023
550,3178,WNM,7/18/2023
471,2596,SUP,7/18/2023
81,1303,SUP,7/18/2023
461,1899,SUP,7/18/2023
201,2061,SUP,7/18/2023
188,2351,SUP,7/18/2023
#N/A,3008,#N/A,7/18/2023
444,3497,SUP,7/18/2023
192,5282,SUP,7/18/2023
323,1,SUP,7/18/2023
21,3,SUP,7/18/2023
323,4,SUP,7/18/2023
326,5,SUP,7/18/2023
326,7,SUP,7/18/2023
335,9,SUP,7/18/2023
347,10,SUP,7/18/2023
328,11,SUP,7/18/2023
347,12,SUP,7/18/2023
321,16,SUP,7/18/2023
334,17,SUP,7/18/2023
335,19,SUP,7/18/2023
336,21,SUP,7/18/2023
135,23,SUP,7/18/2023
326,24,SUP,7/18/2023
411,26,SUP,7/18/2023
407,43,SUP,7/18/2023
329,45,SUP,7/18/2023
325,52,SUP,7/18/2023
322,54,SUP,7/18/2023
325,58,SUP,7/18/2023
334,59,SUP,7/18/2023
339,60,SUP,7/18/2023
361,61,SUP,7/18/2023
335,69,SUP,7/18/2023
329,70,SUP,7/18/2023
328,71,SUP,7/18/2023
356,73,SUP,7/18/2023
134,75,SUP,7/18/2023
336,89,SUP,7/18/2023
145,94,SUP,7/18/2023
146,97,SUP,7/18/2023
146,104,SUP,7/18/2023
138,112,SUP,7/18/2023
146,120,SUP,7/18/2023
324,124,SUP,7/18/2023
324,126,SUP,7/18/2023
329,128,SUP,7/18/2023
350,129,SUP,7/18/2023
350,147,SUP,7/18/2023
311,154,SUP,7/18/2023
136,155,SUP,7/18/2023
328,157,SUP,7/18/2023
503,163,SUP,7/18/2023
4,164,SUP,7/18/2023
46,165,SUP,7/18/2023
134,170,SUP,7/18/2023
361,184,SUP,7/18/2023
350,185,SUP,7/18/2023
335,188,SUP,7/18/2023
147,192,SUP,7/18/2023
60,194,SUP,7/18/2023
360,195,SUP,7/18/2023
271,196,SUP,7/18/2023
275,200,SUP,7/18/2023
341,201,SUP,7/18/2023
