8248,10/1/23,10/15/23,11/1/23,11/1/23,12/16/23
4743,10/1/23,11/15/23,11/30/23,11/30/23,1/3/24
4783,10/1/23,11/15/23,11/29/23,11/29/23,1/3/24
6376,10/1/23,11/16/23,12/4/23,12/4/23,1/3/24
6482,10/1/23,11/17/23,12/5/23,12/5/23,1/3/24
6372,10/1/23,11/15/23,11/30/23,11/30/23,1/10/24
6415,10/1/23,11/15/23,11/29/23,11/29/23,1/10/24
8242,10/1/23,11/17/23,12/5/23,12/5/23,1/10/24
8284,10/1/23,11/17/23,12/5/23,12/5/23,1/10/24
8286,10/1/23,11/16/23,12/4/23,12/4/23,1/10/24
4731,1/22/24,2/21/24,2/21/24,2/28/24,3/6/24
4761,1/24/24,2/19/24,2/19/24,2/29/24,3/6/24
6267,1/18/24,2/22/24,2/22/24,2/29/24,3/6/24
6779,2/14/24,2/20/24,2/20/24,2/27/24,3/6/24
7189,2/5/24,2/20/24,2/20/24,2/27/24,3/6/24
8117,2/6/24,2/22/24,2/22/24,2/29/24,3/6/24
8241,2/20/24,2/21/24,2/21/24,2/28/24,3/6/24
8289,2/1/24,2/19/24,2/19/24,2/26/24,3/6/24
4749,2/7/24,2/26/24,2/26/24,3/3/24,4/2/24
4808,1/10/24,2/27/24,2/27/24,3/14/24,4/2/24
4825,2/1/24,3/21/24,3/21/24,3/22/24,4/2/24
4969,1/18/24,2/25/24,2/25/24,2/28/24,4/2/24
4985,2/1/24,3/19/24,3/19/24,3/24/24,4/2/24
6377,2/8/24,3/20/24,3/20/24,3/21/24,4/2/24
8104,2/14/24,2/27/24,2/27/24,2/29/24,4/2/24
8134,2/22/24,2/25/24,2/25/24,2/26/24,4/2/24
8209,1/11/24,2/25/24,2/25/24,2/27/24,4/2/24
8295,2/21/24,3/22/24,3/22/24,3/24/24,4/2/24
4702,2/12/24,3/21/24,3/21/24,3/22/24,4/16/24
4703,1/22/24,3/12/24,3/12/24,3/20/24,4/16/24
4712,1/23/24,3/19/24,3/19/24,3/20/24,4/16/24
4713,1/29/24,3/20/24,3/20/24,3/24/24,4/16/24
4720,1/30/24,3/20/24,3/20/24,3/21/24,4/16/24
4721,1/16/24,3/18/24,3/18/24,3/19/24,4/16/24
4742,2/1/24,3/21/24,3/21/24,3/22/24,4/16/24
4763,2/22/24,3/20/24,3/20/24,3/20/24,4/16/24
4764,1/22/24,3/13/24,3/13/24,3/4/24,4/16/24
4769,2/1/24,3/4/24,3/4/24,3/11/24,4/16/24
4784,1/17/24,3/13/24,3/13/24,3/14/24,4/16/24
4791,1/25/24,3/17/24,3/17/24,3/24/24,4/16/24
4839,2/1/24,2/25/24,2/25/24,3/4/24,4/16/24
4843,2/26/24,3/3/24,3/3/24,3/10/24,4/16/24
4850,2/14/24,3/19/24,3/19/24,3/21/24,4/16/24
4870,2/1/24,3/19/24,3/19/24,3/25/24,4/16/24
4905,1/31/24,3/12/24,3/12/24,3/19/24,4/16/24
4906,1/16/24,3/21/24,3/21/24,3/3/24,4/16/24
4911,2/15/24,3/22/24,3/22/24,3/25/24,4/16/24
4914,1/31/24,3/17/24,3/17/24,3/18/24,4/16/24
4920,1/23/24,3/18/24,3/18/24,3/25/24,4/16/24
4938,2/1/24,3/13/24,3/13/24,3/19/24,4/16/24
4939,2/8/24,3/18/24,3/18/24,3/22/24,4/16/24
4948,2/27/24,3/16/24,3/16/24,3/17/24,4/16/24
4958,2/28/24,3/18/24,3/18/24,3/21/24,4/16/24
4961,1/18/24,3/14/24,3/14/24,3/17/24,4/16/24
6188,2/12/24,3/21/24,3/21/24,3/25/24,4/16/24
6202,2/29/24,3/16/24,3/16/24,3/19/24,4/16/24
6238,2/8/24,2/25/24,2/25/24,2/27/24,4/16/24
6244,2/5/24,3/12/24,3/12/24,3/14/24,4/16/24
6245,2/7/24,3/22/24,3/22/24,3/21/24,4/16/24
6246,1/24/24,3/13/24,3/13/24,3/20/24,4/16/24
6247,2/5/24,3/17/24,3/17/24,3/24/24,4/16/24
6255,2/12/24,3/20/24,3/20/24,3/21/24,4/16/24
6259,2/22/24,3/22/24,3/22/24,3/25/24,4/16/24
6262,2/13/24,3/17/24,3/17/24,3/18/24,4/16/24
6265,2/8/24,3/3/24,3/3/24,3/10/24,4/16/24
6269,2/12/24,3/22/24,3/22/24,3/24/24,4/16/24
6275,1/18/24,3/17/24,3/17/24,3/20/24,4/16/24
6336,2/26/24,3/4/24,3/4/24,3/5/24,4/16/24
6338,2/5/24,3/22/24,3/22/24,3/24/24,4/16/24
6342,1/15/24,3/16/24,3/16/24,3/20/24,4/16/24
6347,2/8/24,3/14/24,3/14/24,3/21/24,4/16/24
6350,2/13/24,2/25/24,2/25/24,2/29/24,4/16/24
6367,2/29/24,3/21/24,3/21/24,3/25/24,4/16/24
6381,2/15/24,3/1/24,3/1/24,3/5/24,4/16/24
6408,2/8/24,3/13/24,3/13/24,3/20/24,4/16/24
6418,2/13/24,3/17/24,3/17/24,3/24/24,4/16/24
6421,2/28/24,3/5/24,3/5/24,3/12/24,4/16/24
6422,2/22/24,3/22/24,3/22/24,3/25/24,4/16/24
6426,2/12/24,3/18/24,3/18/24,3/25/24,4/16/24
6439,2/26/24,3/14/24,3/14/24,3/18/24,4/16/24
6453,2/21/24,3/20/24,3/20/24,3/24/24,4/16/24
6471,2/13/24,3/5/24,3/5/24,3/6/24,4/16/24
6502,2/13/24,3/12/24,3/12/24,3/19/24,4/16/24
6505,2/26/24,3/17/24,3/17/24,3/24/24,4/16/24
6672,2/12/24,3/14/24,3/14/24,3/18/24,4/16/24
6781,1/25/24,3/20/24,3/20/24,3/17/24,4/16/24
6867,2/26/24,3/3/24,3/3/24,3/10/24,4/16/24
7676,2/14/24,3/12/24,3/12/24,3/19/24,4/16/24
8126,2/22/24,3/21/24,3/21/24,3/22/24,4/16/24
8156,2/8/24,3/18/24,3/18/24,3/21/24,4/16/24
8163,2/22/24,3/14/24,3/14/24,3/17/24,4/16/24
8176,2/14/24,3/18/24,3/18/24,3/25/24,4/16/24
8190,2/13/24,3/1/24,3/1/24,3/7/24,4/16/24
8207,2/14/24,3/14/24,3/14/24,3/19/24,4/16/24
8208,2/20/24,3/13/24,3/13/24,3/20/24,4/16/24
