Site,Ship Date,number of boxes ,Tracking Number - Attn: Store Manager,
3764,4/25/2022,1,776667860144,
3768,4/25/2022,1,776667858328,
3774,4/25/2022,1,776667859736,
3801,4/25/2022,1,776667858225,
3802,4/25/2022,1,776667861449,
3806,4/25/2022,1,776667857663,
3809,4/25/2022,1,776667858019,
3823,4/25/2022,1,776667857571,
3840,4/25/2022,1,776667867002,
3846,4/25/2022,1,776667867653,
3850,4/25/2022,1,776667867311,
3852,4/25/2022,1,776667868443,
3862,4/25/2022,1,776667867609,
3876,4/25/2022,1,776667868101,
3877,4/25/2022,1,776667865742,
3884,4/25/2022,1,776667868579,
3886,4/25/2022,1,776667875489,
3893,4/25/2022,1,776667870693,
3935,4/25/2022,1,776667875504,
4054,4/25/2022,1,776667879290,
4055,4/25/2022,1,776667876100,
4063,4/25/2022,1,776667877908,
4101,4/25/2022,1,776667877551,
4103,4/25/2022,1,776667875857,
4104,4/25/2022,1,776667887380,
4105,4/25/2022,1,776667879197,
4115,4/25/2022,1,776667886523,
4118,4/25/2022,1,776667887460,
4130,4/25/2022,1,776667886545,
4145,4/25/2022,1,776667887195,
4157,4/25/2022,1,776667888125,
4161,4/25/2022,1,776667889165,
4163,4/25/2022,1,776667896330,
4168,4/25/2022,1,776667897900,
4180,4/25/2022,1,776667896204,
4188,4/25/2022,1,776667896498,
4189,4/25/2022,1,776667896524,
4196,4/25/2022,1,776667896855,
4200,4/25/2022,1,776667898674,
4202,4/25/2022,1,776667894197,
4203,4/25/2022,1,776667906643,
4208,4/25/2022,1,776667905316,
4210,4/25/2022,1,776667904868,
4255,4/25/2022,1,776667906150,
4257,4/25/2022,1,776667907352,
4274,4/25/2022,1,776667906140,
4277,4/25/2022,1,776667907992,
4284,4/25/2022,1,776667906220,
4309,4/25/2022,1,776667914994,
4324,4/25/2022,1,776667914365,
4330,4/25/2022,1,776667913910,
4332,4/25/2022,1,776667918327,
4334,04/26/2022,1,776667916585,
4341,04/26/2022,1,776667915730,
4348,04/26/2022,1,776667913987,
4359,04/26/2022,1,776667914582,
4378,04/26/2022,1,776667926656,
4392,04/26/2022,1,776667927034,
4393,04/26/2022,1,776667927137,
4394,04/26/2022,1,776667925991,
4399,04/26/2022,1,776667936418,
4404,04/26/2022,1,776667927159,
4413,04/26/2022,1,776667926152,
4420,04/26/2022,1,776667927160,
4426,04/26/2022,1,776667944666,
4431,04/26/2022,1,776667947128,
4461,04/26/2022,1,776667944817,
4466,04/26/2022,1,776667944450,
4473,04/26/2022,1,776667942939,
4475,04/26/2022,1,776667944563,
4477,04/26/2022,1,776667944129,
4478,04/26/2022,1,776667947080,
4479,04/26/2022,1,776667954483,
4498,04/26/2022,1,776667952653,
4525,04/26/2022,1,776667955365,
4528,04/26/2022,1,776667955067,
4540,04/26/2022,1,776667954704,
4554,04/26/2022,1,776667954050,
4563,04/26/2022,1,776667954266,
4564,04/26/2022,1,776667955148,
4579,04/26/2022,1,776667960971,
4585,04/26/2022,1,776667960375,
4588,04/26/2022,1,776667961511,
4590,04/26/2022,1,776667961783,
4591,04/26/2022,1,776667961500,
4618,04/26/2022,1,776667960570,
4627,04/26/2022,1,776667960868,
4641,04/26/2022,1,776667961316,
4657,04/26/2022,1,776667967391,
4660,04/26/2022,1,776667968023,
4664,04/26/2022,1,776667968126,
4679,04/26/2022,1,776667966487,
4683,04/26/2022,1,776667968229,
4687,04/26/2022,1,776667967060,
4689,04/26/2022,1,776667968939,
4690,04/26/2022,1,776667967553,
4695,04/26/2022,1,776667976010,
4697,04/26/2022,1,776667974419,
4747,04/26/2022,1,776667974831,
4757,04/26/2022,1,776667974842,
5008,04/26/2022,1,776667976525,
5012,04/26/2022,1,776667975757,
5028,04/26/2022,1,776667977370,
5033,04/26/2022,1,776667977657,
5037,04/27/2022,1,776667987897,
5040,04/27/2022,1,776667984317,
5055,04/27/2022,1,776667983549,
5056,04/27/2022,1,776667986560,
5059,04/27/2022,1,776667987923,
5065,04/27/2022,1,776667986206,
5079,04/27/2022,1,776667986640,
5090,04/27/2022,1,776667987235,
5097,04/27/2022,1,776667996332,
5105,04/27/2022,1,776667997501,
5110,04/27/2022,1,776667995760,
5126,04/27/2022,1,776667996891,
5129,04/27/2022,1,776667998173,
5143,04/27/2022,1,776667995520,
5149,04/27/2022,1,776667997041,
5155,04/27/2022,1,776667994627,
5175,04/27/2022,1,776668004540,
5196,04/27/2022,1,776668004127,
5198,04/27/2022,1,776668004712,
5205,04/27/2022,1,776668004116,
5206,04/27/2022,1,776668004734,
5216,04/27/2022,1,776668005362,
5219,04/27/2022,1,776668005178,
5236,04/27/2022,1,776668005307,
5239,04/27/2022,1,776668012651,
5250,04/27/2022,1,776668014448,
5253,04/27/2022,1,776668012754,
5265,04/27/2022,1,776668013393,
5267,04/27/2022,1,776668013360,
5272,04/27/2022,1,776668012673,
5282,04/27/2022,1,776668012136,
5295,04/27/2022,1,776668012239,
5303,04/27/2022,1,776668021760,
5304,04/27/2022,1,776668021932,
5311,04/27/2022,1,776668024861,
5321,04/27/2022,1,776668022115,
5332,04/27/2022,1,776668022012,
5338,04/27/2022,1,776668019380,
5339,04/27/2022,1,776668020042,
5340,04/27/2022,1,776668023464,
5356,04/27/2022,1,776668030926,
5367,04/27/2022,1,776668033281,
5373,04/27/2022,1,776668032539,
5376,04/27/2022,1,776668034299,
5381,04/27/2022,1,776668032296,
5384,04/27/2022,1,776668031315,
5386,04/27/2022,1,776668034417,
5389,04/27/2022,1,776668031933,
5397,04/27/2022,1,776668038721,
5410,04/27/2022,1,776668040581,
5414,04/27/2022,1,776668038905,
5424,04/27/2022,1,776668039327,
