Store,Market,Region,BU,Final Tier,Details
1,323,42,SOUTHEAST BU,Tier 2 - GM Pause,
2,322,42,SOUTHEAST BU,Tier 2 - GM Pause,
3,21,2,SOUTHEAST BU,Tier 3 - Total Store ISA Pause,
4,323,42,SOUTHEAST BU,Tier 2 - GM Pause,
5,326,42,SOUTHEAST BU,Tier 2 - GM Pause,
7,326,42,SOUTHEAST BU,Tier 2 - GM Pause,
8,326,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
9,335,40,NORTH BU,Tier 2 - GM Pause,
10,347,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,Per RVP direction
11,328,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
12,347,44,SOUTWEST BU,Tier 3 - Total Store ISA Pause,Per MM request
13,334,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
14,357,40,NORTH BU,Tier 2 - GM Pause,
15,333,40,NORTH BU,Tier 2 - GM Pause,
16,321,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
17,334,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
18,328,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
19,335,40,NORTH BU,Tier 2 - GM Pause,
20,357,40,NORTH BU,Tier 2 - GM Pause,
21,336,40,NORTH BU,Tier 1 - ISA On in Total Store,
22,347,44,SOUTWEST BU,Tier 3 - Total Store ISA Pause,Per MM Request
23,135,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
24,326,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
25,359,40,NORTH BU,Tier 2 - GM Pause,
26,411,47,WEST BU,Tier 2 - GM Pause,
27,357,40,NORTH BU,Tier 2 - GM Pause,
28,347,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,Per RVP direction
29,359,40,NORTH BU,Tier 2 - GM Pause,
30,335,40,NORTH BU,Tier 2 - GM Pause,
31,351,44,SOUTWEST BU,Tier 1 - ISA On in Total Store,
32,333,40,NORTH BU,Tier 2 - GM Pause,
33,325,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
34,334,42,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
35,407,47,WEST BU,Tier 2 - GM Pause,
36,329,12,SOUTHEAST BU,Tier 1 - ISA On in Total Store,
37,335,40,NORTH BU,Tier 2 - GM Pause,
