Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
781,SPARK,Scheduled Standard Delivery,36,Executive Review,Degrading,Driver Supply Focus,202350,91.60%,96.60%,8.6,89.70%,96.00%,91.40%,89.00%
132,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202350,75.50%,100.00%,5.1,91.30%,55.60%,80.70%,73.30%
63,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,87.90%,97.10%,6.9,88.00%,86.10%,88.00%,89.80%
242,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Driver Supply Focus,202350,85.70%,96.30%,7.9,95.60%,90.70%,74.30%,80.70%
311,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202350,91.90%,95.50%,8.2,92.90%,92.40%,93.50%,89.70%
402,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202350,82.90%,97.90%,7.8,84.80%,82.40%,86.70%,78.10%
2133,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202350,92.50%,88.10%,9.9,93.30%,95.60%,93.30%,88.20%
5145,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,86.30%,91.60%,8.2,88.50%,86.30%,82.60%,87.20%
292,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202350,92.70%,99.10%,6.3,97.10%,95.30%,85.30%,90.90%
1198,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202350,93.70%,96.90%,9.8,97.90%,96.10%,93.20%,87.60%
482,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202350,89.80%,98.90%,4.9,76.00%,88.90%,95.50%,100.00%
293,SPARK,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202350,94.70%,100.00%,2.8,100.00%,92.30%,89.30%,97.40%
567,SPARK,Scheduled Standard Delivery,26,Executive Review,Degrading,Driver Supply Focus,202350,80.40%,100.00%,4.9,87.50%,84.60%,83.30%,66.70%
829,UBER,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202350,87.60%,96.20%,5.1,94.30%,86.20%,81.80%,87.00%
653,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202350,90.20%,91.80%,9.9,89.70%,89.10%,96.20%,85.40%
655,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202350,74.40%,95.40%,9.7,83.10%,70.20%,68.30%,76.60%
571,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202350,83.30%,96.70%,8.2,88.90%,86.10%,84.90%,72.90%
1445,UBER,Scheduled Standard Delivery,19,Executive Review,Recovering,Driver Supply Focus,202350,92.20%,100.00%,5.1,91.70%,95.50%,95.00%,87.50%
5386,SPARK,Scheduled Standard Delivery,33,Executive Review,Recovering,Driver Supply Focus,202350,90.70%,88.50%,9.7,94.50%,90.30%,93.50%,86.10%
957,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202350,86.40%,99.20%,4.9,84.60%,85.70%,91.70%,85.30%
2281,UBER,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202350,88.70%,98.00%,7,83.70%,93.70%,88.60%,88.90%
2611,UBER,Scheduled Standard Delivery,9,At Risk,Degrading,Driver Supply Focus,202350,90.10%,98.80%,9.1,84.60%,91.70%,95.00%,88.10%
5446,SPARK,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202350,90.30%,99.40%,9.3,93.70%,82.00%,96.90%,89.20%
1477,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202350,78.80%,99.10%,7.5,83.10%,80.20%,82.50%,68.30%
4278,UBER,Scheduled Standard Delivery,9,At Risk,Degrading,Driver Supply Focus,202350,85.70%,100.00%,8.3,86.40%,85.20%,71.40%,96.20%
44,SPARK,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202350,88.20%,100.00%,3.9,95.20%,85.70%,85.70%,85.00%
145,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,81.60%,98.30%,5.9,81.70%,84.50%,77.80%,80.60%
5427,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202350,92.80%,88.90%,8,91.70%,96.20%,94.60%,89.00%
2572,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202350,88.70%,97.40%,6.7,90.50%,86.60%,88.90%,88.30%
882,SPARK,Scheduled Standard Delivery,21,Executive Review,Degrading,Driver Supply Focus,202350,79.00%,93.80%,7.3,86.20%,60.70%,75.00%,90.50%
1316,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Degrading,Driver Supply Focus,202350,86.90%,89.20%,7.6,82.00%,81.40%,93.80%,96.40%
2271,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202350,89.00%,91.10%,8.6,83.50%,94.90%,87.70%,89.20%
583,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Recovering,Driver Supply Focus,202350,88.20%,99.60%,8,94.80%,84.00%,87.30%,86.20%
2749,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,86.00%,95.30%,6.3,82.80%,85.60%,87.70%,88.60%
3289,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202350,80.10%,95.60%,7,80.60%,72.40%,80.60%,88.90%
393,ROADIE,Scheduled Standard Delivery,12,Executive Review,-,Driver Supply Focus,202350,34.80%,100.00%,6.2,,,31.70%,60.00%
434,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202350,73.20%,91.20%,9.9,66.70%,78.60%,79.30%,50.00%
365,POINTPICKUP,Scheduled Standard Delivery,49,Executive Review,-,Driver Supply Focus,202350,86.70%,97.90%,8.9,,86.50%,94.50%,79.30%
515,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202350,89.80%,94.60%,8.6,89.10%,95.40%,84.90%,89.60%
2753,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202350,86.80%,98.50%,6.3,94.20%,83.00%,86.80%,84.50%
1181,UBER,Scheduled Standard Delivery,46,Executive Review,Recovering,Driver Supply Focus,202350,91.40%,89.10%,9.2,90.90%,91.70%,95.40%,88.60%
3621,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202350,91.20%,96.70%,8.7,93.50%,93.10%,97.30%,81.10%
3741,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202350,89.70%,96.10%,9.5,90.20%,93.40%,89.40%,84.90%
3235,UBER,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202350,82.40%,98.70%,8.7,84.80%,84.00%,74.10%,85.50%
4303,UBER,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202350,85.20%,99.60%,7.5,82.80%,85.30%,86.70%,86.20%
2722,UBER,Scheduled Standard Delivery,14,Executive Review,Recovering,Driver Supply Focus,202350,90.70%,93.50%,9.1,97.00%,89.60%,86.40%,89.70%
1876,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Driver Supply Focus,202350,72.40%,90.70%,4.9,71.80%,66.70%,78.30%,72.10%
1545,SPARK,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202350,90.60%,95.20%,9.4,95.60%,89.90%,78.30%,98.20%
1757,SPARK,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202350,86.90%,95.80%,7.6,82.90%,87.80%,85.50%,94.20%
4849,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202350,81.30%,98.90%,9,77.70%,75.90%,94.80%,79.20%
1633,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202350,91.60%,95.20%,9.6,92.50%,97.10%,96.90%,79.90%
750,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202350,94.60%,99.40%,4.3,91.70%,98.90%,98.50%,89.70%
3473,UBER,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202350,86.70%,97.10%,9.8,78.20%,87.60%,86.60%,92.90%
1560,UBER,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202350,90.00%,97.80%,9.4,88.10%,93.20%,89.90%,89.00%
986,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202350,48.10%,91.40%,7.1,51.20%,36.70%,47.50%,61.10%
2293,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202350,82.10%,91.00%,7.2,87.70%,82.10%,73.00%,84.70%
2752,SPARK,Scheduled Standard Delivery,21,Executive Review,Degrading,Driver Supply Focus,202350,79.50%,92.20%,9.5,69.70%,69.50%,90.80%,88.90%
3805,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Driver Supply Focus,202350,86.60%,99.80%,8.3,92.30%,85.80%,82.40%,84.20%
3046,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202350,88.30%,99.60%,6.1,98.80%,84.50%,84.30%,82.30%
1649,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Driver Supply Focus,202350,80.60%,95.80%,6.9,90.80%,83.00%,60.80%,77.20%
2990,SPARK,Scheduled Standard Delivery,24,Executive Review,Recovering,Driver Supply Focus,202350,89.40%,93.10%,5.7,94.20%,88.00%,93.60%,82.00%
4612,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202350,90.80%,97.90%,8.4,91.70%,91.70%,92.80%,87.60%
1591,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202350,92.70%,91.20%,9.8,84.50%,94.80%,97.00%,95.50%
1850,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202350,90.20%,91.70%,9.9,88.10%,91.70%,92.60%,88.60%
3633,POINTPICKUP,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202350,90.60%,97.90%,5.2,88.20%,93.90%,92.80%,87.60%
2555,UBER,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202350,92.00%,93.00%,7.5,89.00%,94.40%,97.50%,88.30%
5495,UBER,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202350,87.10%,93.90%,8,84.20%,90.90%,84.20%,88.90%
5891,UBER,Scheduled Standard Delivery,16,Executive Review,Degrading,Driver Supply Focus,202350,84.20%,93.20%,9.8,84.00%,82.50%,81.40%,88.70%
