Site Path,Site Path,Batch,UAT Start Date,UAT Finalization Date,Go-Live Date
360AssessResourceOverview,/content/360-assessment-resources-and-overview,Internal Sites Batch 4,November 5th,November 14th,December 3rd
academy-support,/content/academy-support,Internal Sites Batch 6,December 3rd,December 11th,December 17th
ade,/content/ade,Internal Sites Batch 8,January 6th,January 15th,January 18th
adoption-awareness,/content/adoption-awareness,Public Sites,January 12th,January 22nd,January 28th
associate,/content/associate,Public Sites,January 12th,January 22nd,January 28th
b2b,/content/b2b,B2B Sites,October 13th,October 23rd,October 29th
badgeaccesssupport,/content/badgeaccesssupport,Internal Sites Batch 8,January 6th,January 15th,January 18th
cam,/content/cam,Public Sites,January 12th,January 22nd,January 28th
canada,/content/canada,WIRE Sites,August 25th,September 11th,September 17th
caone,/content/caone,Public Sites,January 12th,January 22nd,January 28th
channel-enablement,/content/channel-enablement,Internal Sites Batch 1,September 17th,September 25th,October 1st
chile,/content/chile,Public Sites,January 12th,January 22nd,January 28th
china-gbs,/content/china-gbs,Internal Sites Batch 2,October 8th,October 16th,October 21st
china-ism,/content/china-ism,Internal Sites Batch 4,November 5th,November 14th,December 3rd
cn-sam-s-operation,/content/cn-sam-s-operation,Internal Sites Batch 2,October 8th,October 16th,October 21st
cnwalmartone,/content/cnwalmartone,Public Sites,January 12th,January 22nd,January 28th
converge,/content/converge,Public Sites,January 12th,January 22nd,January 28th
conversation_ally,/content/conversation_ally,Internal Sites Batch 4,November 5th,November 14th,December 3rd
corporate-affairs,/content/corporate-affairs,Internal Sites Batch 3,October 22nd,October 30th,November 5th
corporate-functions-ppl,/content/corporate-functions-people-team,Internal Sites Batch 5,November 19th,December 3rd,December 10th
cuenta-cashi,/content/cuenta-cashi,Public Sites,January 12th,January 22nd,January 28th
culture-diversity-inclusi,/content/culture-diversity-inclusion,Internal Sites Batch 3,October 22nd,October 30th,November 5th
data-science,/content/data-science,Internal Sites Batch 5,November 19th,December 3rd,December 10th
data-ventures,/content/data-ventures,B2B Sites,October 13th,February 12th,February 18th
digital-acceleration,/content/digital-acceleration,Internal Sites Batch 2,October 8th,October 16th,October 21st
ebs-pmo,/content/ebs-pmo,Internal Sites Batch 6,December 3rd,December 11th,December 17th
eoccm,/content/eoccm,Internal Sites Batch 6,December 3rd,December 11th,December 17th
esmiwalmartes_us,/content/esmiwalmart/es_us,Public Sites,January 12th,January 22nd,January 28th
esmiwalmarthomemx,/content/esmiwalmart/homemx,Internal Sites Batch 6,December 3rd,December 11th,December 17th
experiencia-digital,/content/experiencia-digital,Internal Sites Batch 3,October 22nd,October 30th,November 5th
facilities-management,/content/facilities-management,Public Sites,January 12th,January 22nd,January 28th
finance-hub,/content/finance-hub,Internal Sites Batch 5,November 19th,December 3rd,December 10th
food-safety,/content/food-safety,Public Sites,January 12th,January 22nd,January 28th
future-ways-of-working,/content/future-ways-of-working,Public Sites,January 12th,January 22nd,January 28th
gbs-totalrewards,/content/gbs-totalrewards,Internal Sites Batch 8,January 6th,January 15th,January 18th
gghub,/content/gghub,Internal Sites Batch 6,December 3rd,December 11th,December 17th
global-investigations,/content/global-investigations,Internal Sites Batch 6,December 3rd,December 11th,December 17th
global-mobility2,/content/global-mobility2,Internal Sites Batch 3,October 22nd,October 30th,November 5th
global-people,/content/global-people,Public Sites,January 12th,January 22nd,January 28th
global-tech-academy,/content/global-tech-academy,Internal Sites Batch 7,December 17th,January 7th,January 13th
go-local,/content/go-local,B2B Sites,October 13th,October 23rd,October 29th
icccs,/content/icccs,Internal Sites Batch 5,November 19th,December 3rd,December 10th
internal-global-audit,/content/internal-global-audit,Internal Sites Batch 5,November 19th,December 3rd,December 10th
iod,/content/iod,Internal Sites Batch 7,December 17th,January 7th,January 13th
LDimmersivegen-ai,/content/LearningandDevelopment,Internal Sites Batch 8,January 6th,January 15th,January 18th
LearningandDevelopment,/content/LearningandDevelopment/immersive/generative-ai,Public Sites,January 12th,January 22nd,January 28th
ma-360,/content/ma-360,Public Sites,January 12th,January 22nd,January 28th
me-at-samsclub,/content/me-at-samsclub,Internal Sites Batch 1,September 17th,September 25th,October 1st
me-campus,/content/me-campus,Public Sites,January 12th,January 22nd,January 28th
me-idc,/content/me-idc,Internal Sites Batch 8,January 6th,January 15th,January 18th
members-access-platform,/content/members-access-platform,B2B Sites,October 13th,October 23rd,October 29th
merchportal,/content/merchportal,Internal Sites Batch 4,November 5th,November 14th,December 3rd
mexicoes_mx,/content/mexico/es_mx,Internal Sites Batch 1,September 17th,September 25th,October 1st
mi-lugar,/content/mi-lugar,Public Sites,January 12th,January 22nd,January 28th
mx,/content/mx,Internal Sites Batch 7,December 17th,January 7th,January 13th
next-gen,/content/next-gen,Internal Sites Batch 1,September 17th,September 25th,October 1st
passport,/content/passport,Internal Sites Batch 2,October 8th,October 16th,October 21st
payullup-poc,/content/payullup-poc,Public Sites,January 12th,January 22nd,January 28th
people-experience,/content/people-experience,Internal Sites Batch 3,October 22nd,October 30th,November 5th
people-experience,/content/people-experience,Public Sites,January 12th,January 22nd,January 28th
people0,/content/people0,Internal Sites Batch 7,December 17th,January 7th,January 13th
process-guides,/content/process-guides,Internal Sites Batch 6,December 3rd,December 11th,December 17th
product-organization,/content/product-organization,Internal Sites Batch 8,January 6th,January 15th,January 18th
psdataserviceTranssupport,/content/psdataservices_transactionsupport,Internal Sites Batch 2,October 8th,October 16th,October 21st
realty,/content/realty,Internal Sites Batch 4,November 5th,November 14th,December 3rd
regional-service-mmgt,/content/regional-service-management-latam,Internal Sites Batch 1,September 17th,September 25th,October 1st
responsiblesourcing,/content/responsiblesourcing,Public Sites,January 12th,January 22nd,January 28th
risk-management,/content/risk-management,Internal Sites Batch 7,December 17th,January 7th,January 13th
sam-s-club-finance,/content/sam-s-club-finance,Internal Sites Batch 2,October 8th,October 16th,October 21st
sams_wire,/content/sams_wire,WIRE Sites,August 25th,September 11th,September 17th
