Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5,266,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202334,92.10%,95.90%,9.5,93.90%,96.50%,91.40%,86.20%
5,5416,SPARK,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202334,91.80%,98.80%,9.8,90.10%,94.50%,94.30%,86.60%
7,781,SPARK,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202334,89.70%,98.30%,6.3,87.50%,89.40%,93.80%,88.50%
44,132,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202334,79.50%,98.40%,5.7,77.40%,92.90%,76.90%,70.80%
44,63,SPARK,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202334,85.70%,96.30%,6.6,88.80%,87.30%,84.90%,81.90%
44,242,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202334,86.10%,99.20%,5.9,92.70%,87.10%,80.60%,84.70%
13,311,SPARK,Scheduled Standard Delivery,9,Executive Review,Recovering,Driver Supply Focus,202334,88.10%,99.40%,9,97.60%,88.90%,83.00%,84.80%
13,1196,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202334,85.60%,95.10%,7.5,87.30%,93.90%,76.50%,85.20%
64,4659,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202334,87.30%,91.40%,9,90.00%,84.40%,86.70%,88.10%
13,180,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202334,78.90%,91.90%,9.9,88.30%,87.80%,72.00%,66.30%
13,918,SPARK,Scheduled Standard Delivery,11,At Risk,Recovering,Driver Supply Focus,202334,92.40%,97.70%,7,95.80%,83.50%,97.00%,93.50%
13,402,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202334,84.60%,96.40%,9.3,91.50%,80.00%,88.90%,78.60%
13,2665,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202334,81.10%,96.90%,9.2,79.60%,86.40%,70.20%,88.00%
64,3042,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202334,86.90%,89.00%,9,88.80%,87.20%,89.60%,82.20%
6,292,SPARK,Scheduled Standard Delivery,10,Executive Review,Recovering,Driver Supply Focus,202334,82.70%,100.00%,5.6,100.00%,69.40%,81.80%,80.00%
