Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,Dept 02,Therabreath Premium/36pc PDQ,Full Endcap,1,50,
1,Dept 95,On The Border Café Tortilla Chip 152 units,Full Stack,1,50,
2,Dept 02,Equate $3 JUMBO Pouf,Full Endcap,1,50,
2,Dept 02,O'Keeffe's WH 7 oz Tube,Sidekick,1,50,
2,Dept 23,9PC SKI/SNOWBOARDING Core BIBS,4-way,1,50,
2,Dept 40,14 Piece Afrin,Sidekick,1,50,
2,Dept 40,24 Piece Loratadine Equate Allergy,4-way,1,50,
2,Dept 40,43 pc Ricola cough drop (1/2 EC),Half Endcap,1,50,
2,Dept 40,Equate 100 Ct Ibuprofen 60pc,Full Endcap,2,50,
2,Dept 40,Equate 91% Isopropyl Alcohol 32oz Shipper 12ct,Full Endcap,1,50,
2,Dept 40,Equate Epsom Salt 8lb Shipper 4ct,Full Endcap,1,50,
2,Dept 46,Cerave 12oz cleansers 32ct,Sidekick,1,50,
2,Dept 46,Neutrogena 25ct FF& Non FF MUR Wipes 100PC,4-way,2,50,
2,Dept 92,7.25oz Mac & Cheese 720 CT,Half Stack,1,50,
2,Dept 92,Old El Paso Taco Hut - OPP & Bold Shells 426CT ,Full Stack,2,50,
2,Dept 92,Subway/BuffaloWildWings/ChickFilA/OliveGarden 424p ,Full Stack,1,50,
2,Dept 95,GV PC Party DRP 126ct,Full Stack,1,50,
2,Dept 95,On The Border Café Tortilla Chip 152 units,Full Stack,3,50,
3,Dept 02,Equate $3 JUMBO Pouf,Full Endcap,1,50,
3,Dept 03,Pen + Gear 3 Ream Copy Paper Case,Half Stack,1,50,
3,Dept 20,Taylor Green Glass Scale - 24 pcs,Half Endcap,2,50,
3,Dept 40,Equate 100 Ct Ibuprofen 60pc,Full Endcap,1,50,
4,Dept 40,14 Piece Afrin,Sidekick,2,50,
4,Dept 40,43 pc Ricola cough drop (1/2 EC),Half Endcap,2,50,
4,Dept 40,84pc Carmex,Sidekick,1,50,
4,Dept 40,"EQ Omeprazole 5 Trays, 120 units",Full Endcap,1,50,
4,Dept 40,Equate 100 Ct Ibuprofen 60pc,Full Endcap,2,50,
4,Dept 40,Equate Epsom Salt 8lb Shipper 4ct,Full Endcap,3,50,
4,Dept 40,"Quest 4ct Chips, 96 pieces",Full Endcap,1,50,
4,Dept 72,SPX 10OZ SNGL DUSTER (144 Units),Full Endcap,2,50,
4,Dept 92, Heinz ,Full Stack,1,50,
4,Dept 92,125 Piece Jarritos Party Pack Shipper,Full Stack,1,50,
4,Dept 92,Subway/BuffaloWildWings/ChickFilA/OliveGarden 424p ,Full Stack,1,50,
5,Dept 02,O'Keeffe's WH 7 oz Tube,Sidekick,1,50,
5,Dept 03,Pen + Gear 3 Ream Copy Paper Case,Half Stack,1,50,
5,Dept 19,BELLA + CANVAS Valentines Day Craft Tees EC,Full Endcap,1,50,
5,Dept 67,Hallmark Funny Bday Pet Cards,Sidekick,3,50,
5,Dept 72,SPX 10OZ SNGL DUSTER (144 Units),Full Endcap,1,50,
5,Dept 79,Huggies Little Snugglers,Half Stack,2,50,
5,Dept 95,Limited Time Offer Valentines Ding Dong Heart,Half Endcap,1,50,
7,Dept 02,Equate $3 JUMBO Pouf,Full Endcap,1,50,
7,Dept 02,Equate 5 Blade Razors -Men/Women Display - 4PDQs,4-way,4,50,
7,Dept 03,Pen + Gear 3 Ream Copy Paper Case,Half Stack,1,50,
7,Dept 40,"EQ Omeprazole 5 Trays, 120 units",Full Endcap,2,50,
