Store Nbr,Roses,Mixed BQT,Roses,Mixed BQT,Single Rose,TOTAL PROMO DISPLAYS
2070,,,2,5,2,9
2071,,,2,2,1,5
2074,,,3,2,2,7
2188,,,1,2,1,4
2722,,,4,4,4,12
4359,,,4,3,2,9
4474,,,1,1,2,4
2710,5,8,,,,13
2711,6,8,,,,14
,,,,,,
