Store,Date,Reg,0.01,0.05,0.1,0.25
54,6/17/2024,28,audit,,,
54,6/17/2024,30,audit,,,
54,6/17/2024,70,audit,,,
54,6/17/2024,76,audit,,,
217,6/17/2024,5,audit,,,
217,6/17/2024,6,audit,,,
371,6/17/2024,95,audit,,,
471,6/17/2024,20,audit,,,
471,6/17/2024,22,audit,,,
471,6/17/2024,24,audit,,,
471,6/17/2024,26,audit,,,
471,6/17/2024,28,audit,,,
471,6/17/2024,30,audit,,,
471,6/17/2024,40,audit,,,
471,6/17/2024,41,audit,,,
471,6/17/2024,42,audit,,,
471,6/17/2024,58,audit,,,
471,6/17/2024,62,audit,,,
471,6/17/2024,68,audit,,,
471,6/17/2024,92,audit,,,
471,6/17/2024,94,audit,,,
471,6/17/2024,95,audit,,,
488,6/17/2024,9,audit,,,
807,6/17/2024,14,audit,,,
807,6/17/2024,31,audit,,,
807,6/17/2024,32,audit,,,
880,6/17/2024,10,2,0,0,1
880,6/17/2024,11,2,0,1,2
880,6/17/2024,12,4,0,0,2
880,6/17/2024,13,4,0,2,2
880,6/17/2024,14,3,0,0,1
880,6/17/2024,15,4,2,0,1
880,6/17/2024,16,4,2,2,2
880,6/17/2024,17,4,0,1,1
880,6/17/2024,40,1,0,1,1
880,6/17/2024,41,audit,,,
880,6/17/2024,58,1,0,0,1
880,6/17/2024,62,0,1,1,0
880,6/17/2024,63,1,1,1,1
880,6/17/2024,64,audit,,,
880,6/17/2024,67,0,0,0,0
880,6/17/2024,68,1,0,1,1
880,6/17/2024,74,,,,
880,6/17/2024,79,1,0,0,1
880,6/17/2024,90,audit,,,
880,6/17/2024,91,4,0,1,2
880,6/17/2024,92,,,,
880,6/17/2024,93,audit,,,
880,6/17/2024,95,1,0,0,1
880,6/17/2024,98,1,0,0,1
1082,6/17/2024,16,audit,,,
1082,6/17/2024,18,audit,,,
1082,6/17/2024,66,audit,,,
1082,6/17/2024,67,audit,,,
1801,6/17/2024,13,audit,,,
1801,6/17/2024,62,audit,,,
