Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
146,41,97,UBER,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202218,66.97%,95.89%,6.7,55.90%,75.00%,38.50%,83.30%
146,41,106,POINTPICKUP,Scheduled Express Delivery ,7,Executive Review,Degrading,Driver Supply Focus,202218,92.86%,90.32%,7.4,87.50%,100.00%,83.30%,100.00%
146,41,335,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202218,72.63%,73.53%,17.4,80.80%,65.40%,77.30%,66.70%
152,41,587,POINTPICKUP,Scheduled Express Delivery ,13,Executive Review,Recovering,Store Focus,202218,90.82%,86.78%,8.9,92.30%,100.00%,92.30%,80.80%
152,41,671,POINTPICKUP,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202218,53.45%,76.54%,15.7,62.50%,42.10%,50.00%,61.50%
242,41,3294,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202218,82.92%,79.64%,5.4,93.00%,84.10%,74.70%,79.10%
242,41,4450,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,202218,83.89%,71.22%,7.8,77.30%,84.30%,87.60%,86.30%
242,41,7290,UBER,Scheduled Standard Delivery,21,Executive Review,Recovering,Store Focus,202218,84.80%,89.71%,11.2,90.50%,88.50%,86.10%,78.60%
253,41,143,POINTPICKUP,Scheduled Express Delivery ,9,Executive Review,Degrading,Driver Supply Focus,202218,75.93%,97.62%,6.6,88.20%,84.60%,66.70%,60.00%
253,41,491,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,Recovering,Driver Supply Focus,202218,90.00%,92.97%,6.6,92.50%,89.50%,88.30%,89.90%
253,41,655,POINTPICKUP,Scheduled Express Delivery ,2,Active Monitoring,Degrading,Driver Supply Focus,202218,91.67%,93.58%,7.9,87.00%,100.00%,95.70%,85.20%
254,41,299,POINTPICKUP,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,202218,85.04%,77.45%,9.2,87.90%,94.90%,71.80%,90.80%
