Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,40,EQ Cough Cold Flu Season Pallet,Full Stack,1,37,Cancel due to corporate feature in Nov and Dec. 
2,8,Ol Roy 13 oz Wet Dog Food Cans (8 flavors),Full Endcap,1,37,
2,11,MS OIL FILL HTR Black and White,Full Stack,1,37,
2,14,Farberware Cutlery 45pc Pallet - Stainless Steel,Half Stack,1,37,
2,16,Pit Boss 100% All-Natural Hardwood Competition Ble,Full Stack,1,37,
2,16,"Pit Boss Classic Pellet Blend, 40lb",Full Stack,1,37,
2,17,Mainstays Teddy,Full Stack,1,37,
2,74,BISSELL 3-in-1 Lightweight Corded Stick Vacuum,Full Stack,1,37,
3,40,EQ Cough Cold Flu Season Pallet,Full Stack,1,37,Cancel due to corporate feature in Nov and Dec. 
4,11,MS OIL FILL HTR Black and White,Full Stack,1,37,
4,11,PLNS QUARTZ HTR Black and White,Full Stack,2,37,
4,17,"SCTS Wax Warmer Truck, 60PC Pallet",Full Stack,1,37,
9,40,EQ Cough Cold Flu Season Pallet,Full Stack,1,37,Cancel due to corporate feature in Nov and Dec. 
10,8,Ol Roy 13 oz Wet Dog Food Cans (8 flavors),Full Endcap,2,37,
10,11,MS OIL FILL HTR Black and White,Full Stack,1,37,
10,11,PLNS QUARTZ HTR Black and White,Full Stack,1,37,
10,40,EQ Cough Cold Flu Season Pallet,Full Stack,1,37,Cancel due to corporate feature in Nov and Dec. 
11,8,Ol Roy 13 oz Wet Dog Food Cans (8 flavors),Full Endcap,2,37,
11,11,HT 4ft 5000lm Shop Light 36 Unit EC,Full Endcap,1,37,
11,11,MS OIL FILL HTR Black and White,Full Stack,1,37,
11,11,PLNS QUARTZ HTR Black and White,Full Stack,1,37,
11,14,Farberware Cutlery 45pc Pallet - Stainless Steel,Half Stack,2,37,
11,16,Pit Boss 100% All-Natural Hardwood Competition Ble,Full Stack,1,37,
11,16,"Pit Boss Classic Pellet Blend, 40lb",Full Stack,1,37,
11,17,Mainstays Teddy,Full Stack,1,37,
11,40,EQ Cough Cold Flu Season Pallet,Full Stack,1,37,Cancel due to corporate feature in Nov and Dec. 
11,40,Spring Valley New Year Vitamin 8' Pallet Train,Full Stack,1,37,Cancel due to corporate feature in Q4
12,11,PLNS QUARTZ HTR Black and White,Full Stack,1,37,
12,16,"Pit Boss Classic Pellet Blend, 40lb",Full Stack,1,37,
13,17,Mainstays Teddy,Full Stack,1,37,
13,40,EQ Cough Cold Flu Season Pallet,Full Stack,1,37,Cancel due to corporate feature in Nov and Dec. 
14,8,Ol Roy 13 oz Wet Dog Food Cans (8 flavors),Full Endcap,1,37,
14,11,MS OIL FILL HTR Black and White,Full Stack,1,37,
14,17,"SCTS Wax Warmer Truck, 60PC Pallet",Full Stack,1,37,
14,40,EQ Cough Cold Flu Season Pallet,Full Stack,1,37,Cancel due to corporate feature in Nov and Dec. 
15,17,"SCTS Wax Warmer Truck, 60PC Pallet",Full Stack,1,37,
