Market,Store,Op Model Tier,Fashion Coach,Move GM Coach,Approved TL Headcount,VizPick Fashion Kit ,RFID Containment Box 
300,1166,3,No,NO,3,Week 16,Week 16
300,1268,2,Yes,NO,4,Week 16,Week 16
300,1348,1,Yes,YES,4,Week 16,Week 16
300,1352,3,No,NO,3,Week 16,Week 16
300,1392,2,Yes,YES,4,Week 16,Week 16
300,2580,2,Yes,NO,4,Week 16,Week 16
300,2772,3,No,NO,4,Week 16,Week 16
300,4065,2,Yes,YES,4,Week 16,Week 16
300,4273,1,Yes,NO,4,Week 16,Week 16
300,7243,3,No,NO,3,Week 16,Week 16
187,1871,1,Yes,YES,4,Week 16,Week 16
187,1946,2,Yes,YES,4,Week 16,Week 16
187,1994,1,Yes,YES,4,Week 16,Week 16
187,2092,3,No,NO,3,Week 16,Week 16
187,2116,1,Yes,YES,4,Week 16,Week 16
187,2424,3,No,NO,3,Week 16,Week 16
187,3329,2,Yes,NO,4,Week 16,Week 16
187,3334,2,Yes,NO,4,Week 16,Week 16
187,4403,2,Yes,YES,4,Week 16,Week 16
187,5497,2,Yes,NO,4,Week 16,Week 16
187,5498,3,No,NO,3,Week 16,Week 16
577,3159,1,Yes,YES,4,Week 16,Week 16
577,3443,1,Yes,NO,4,Week 16,Week 16
577,3520,1,Yes,YES,4,Week 16,Week 16
577,3562,1,Yes,NO,4,Week 16,Week 16
577,3795,1,Yes,YES,4,Week 16,Week 16
577,5077,2,Yes,NO,4,Week 16,Week 16
577,5752,1,Yes,NO,4,Week 16,Week 16
165,1742,1,Yes,YES,4,Week 16,Week 16
165,2108,2,Yes,NO,4,Week 16,Week 16
165,2109,2,Yes,NO,4,Week 16,Week 16
165,2254,3,No,NO,3,Week 16,Week 16
165,3212,1,Yes,YES,4,Week 16,Week 16
165,3337,1,Yes,YES,4,Week 16,Week 16
165,3339,1,Yes,YES,4,Week 16,Week 16
165,3774,2,Yes,YES,4,Week 16,Week 16
165,5384,2,Yes,NO,4,Week 16,Week 16
165,5476,2,Yes,NO,4,Week 16,Week 16
166,2141,1,Yes,NO,4,Week 16,Week 16
166,2830,1,Yes,NO,4,Week 16,Week 16
166,3252,2,Yes,NO,4,Week 16,Week 16
166,5103,1,Yes,NO,4,Week 16,Week 16
166,5229,2,Yes,NO,4,Week 16,Week 16
166,5495,2,Yes,NO,4,Week 16,Week 16
166,5881,2,Yes,NO,4,Week 16,Week 16
166,5891,2,Yes,NO,4,Week 16,Week 16
167,2167,2,Yes,NO,4,Week 16,Week 16
167,2236,3,No,NO,3,Week 16,Week 16
167,2263,3,No,NO,4,Week 16,Week 16
167,2945,2,Yes,YES,4,Week 16,Week 16
167,3475,2,Yes,YES,4,Week 16,Week 16
167,3501,3,No,NO,4,Week 16,Week 16
167,3541,2,Yes,YES,4,Week 16,Week 16
167,4687,3,No,NO,3,Week 16,Week 16
167,5239,2,Yes,NO,4,Week 16,Week 16
168,1670,2,Yes,YES,4,Week 16,Week 16
168,1777,2,Yes,YES,4,Week 16,Week 16
168,2145,1,Yes,YES,4,Week 16,Week 16
168,2252,1,Yes,YES,4,Week 16,Week 16
168,2614,2,Yes,YES,4,Week 16,Week 16
168,2641,1,Yes,YES,4,Week 16,Week 16
168,3563,2,Yes,YES,4,Week 16,Week 16
168,3810,3,No,No,4,Week 16,Week 16
168,4612,2,Yes,YES,4,Week 16,Week 16
170,2068,1,Yes,YES,4,Week 16,Week 16
170,2096,3,No,NO,3,Week 16,Week 16
