DC,Banner,Category,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12
6042,SAMS,EGGS,8340,8640,8760,8670,8220,2220
6042,WM,EGGS,20111,20230,21303,20872,25536,5031
6047,SAMS,EGGS,15522,15984,15300,17040,15426,3954
6047,WM,EGGS,26368,26538,28355,27989,33083,6117
6055,SAMS,EGGS,20550,20580,20070,21930,20370,5310
6055,WM,EGGS,34420,33164,33618,34082,43260,8580
6056,SAMS,EGGS,33300,32850,32130,34920,32460,8460
6057,SAMS,EGGS,13200,13110,13290,13800,13080,3480
6057,WM,EGGS,23920,24481,25402,24139,29196,5806
6059,SAMS,EGGS,7895,7893,7473,8158,7499,2177
6059,WM,EGGS,15870,15795,16369,16197,20338,3735
6062,WM,EGGS,34413,33484,34524,34349,43815,8499
6064,WM,EGGS,22266,21935,22906,22668,27781,5466
6065,SAMS,EGGS,12558,12150,12030,12678,12180,3078
6065,WM,EGGS,16355,16129,16594,16819,20664,3971
6071,WM,EGGS,51901,52580,53218,51528,65819,12328
6072,WM,EGGS,26725,26041,26923,26326,33502,6337
6073,WM,EGGS,29003,28696,29210,28890,35759,6784
6074,SAMS,EGGS,6570,6210,6300,6750,6300,1830
6074,WM,EGGS,4152,4118,4255,4297,5664,1042
6077,WM,EGGS,23045,22784,23563,23135,29216,5141
6082,WM,EGGS,26145,26266,27452,26315,32179,6281
6083,WM,EGGS,44089,44547,46314,46165,54632,11403
6084,WM,EGGS,33194,32894,34524,34491,42134,8397
6085,WM,EGGS,24905,24736,25862,26260,32510,6065
6090,WM,EGGS,31704,31860,32890,32555,42682,7718
6091,SAMS,EGGS,20370,21306,19932,22272,19866,5328
6091,WM,EGGS,23223,22814,23545,22907,27190,5479
6095,WM,EGGS,29420,28240,28344,28208,35250,6827
6096,SAMS,EGGS,24840,24450,23040,27360,24540,6390
6096,WM,EGGS,25229,25673,27342,27373,33588,6152
6097,WM,EGGS,28371,28091,29118,29029,36531,6902
6099,WM,EGGS,34920,34275,34982,34845,43941,8336
6858,WM,EGGS,31567,30328,30827,30787,38354,7469
7010,WM,EGGS,43663,43734,45214,44668,55355,11071
7012,SAMS,EGGS,6102,6463,6730,6501,6552,1793
7012,WM,EGGS,18547,18523,19126,19158,23895,4375
7013,WM,EGGS,48844,48972,52298,50161,61469,11569
7014,WM,EGGS,17780,18150,19663,19534,23658,4477
7015,WM,EGGS,22216,22398,23441,22829,28376,5473
7016,WM,EGGS,39929,39739,41311,41488,51284,10162
7017,WM,EGGS,27249,27363,28108,28121,34829,6082
7018,WM,EGGS,22269,21871,22848,22074,27910,5167
7019,WM,EGGS,24751,25119,24745,23155,29222,5490
7021,WM,EGGS,7323,7014,7435,8001,7173,2297
7023,WM,EGGS,60463,60354,61802,59421,72742,14281
7024,SAMS,EGGS,7279,7333,7086,7835,7391,1836
7024,WM,EGGS,36978,36772,38553,39871,48385,9256
7030,SAMS,EGGS,1050,1080,1140,1230,1050,300
7030,WM,EGGS,63318,63735,68826,69458,82041,15728
7055,WM,EGGS,33259,32682,33709,34430,43795,8233
7077,SAMS,EGGS,1998,1906,1962,2156,1846,575
7077,WM,EGGS,4243,4252,4537,4449,5369,1048
7079,SAMS,EGGS,2490,2490,2400,2700,2310,660
7079,WM,EGGS,30701,30215,31156,32255,39693,7499
8348,WM,EGGS,47316,46992,49007,48771,59773,12234
8397,SAMS,EGGS,45408,45096,43188,48738,44610,11814
8851,SAMS,EGGS,33240,33360,34800,33450,32190,7740
8851,WM,EGGS,24974,25050,25325,24693,29975,5978
